Rank,Company,Symbol,Weight,Price,Chg,% Chg
1,Microsoft Corporation,MSFT,6.152096,207.78,-5.89,-2.76
2,Apple Inc.,AAPL,5.938255,382.01,-1.67,-0.44
3,Amazon.com Inc.,AMZN,5.09466,"3,101.00",-99.0,-3.09
4,Facebook Inc. Class A,FB,2.239202,239.55,-5.52,-2.25
5,Alphabet Inc. Class A,GOOGL,1.754667,"1,513.00",-26.01,-1.69
6,Alphabet Inc. Class C,GOOG,1.713336,"1,511.00",-30.74,-1.99
7,Johnson & Johnson,JNJ,1.42529,145.19,2.82,1.98
8,Berkshire Hathaway Inc. Class B,BRK.B,1.351242,184.13,1.23,0.67
9,Visa Inc. Class A,V,1.234404,189.27,-3.28,-1.7
10,Procter & Gamble Company,PG,1.165097,124.37,0.48,0.39
11,JPMorgan Chase & Co.,JPM,1.114639,97.47,1.2,1.25
12,UnitedHealth Group Incorporated,UNH,1.049524,300.00,8.77,3.01
13,Home Depot Inc.,HD,1.022161,250.50,0.39,0.16
14,Mastercard Incorporated Class A,MA,0.991376,290.48,-5.2,-1.76
15,NVIDIA Corporation,NVDA,0.979764,403.48,-15.69,-3.74
16,Intel Corporation,INTC,0.957759,59.00,-0.53,-0.89
17,Netflix Inc.,NFLX,0.917025,537.50,-11.23,-2.05
18,Verizon Communications Inc.,VZ,0.856794,54.18,-0.31,-0.57
19,Adobe Inc.,ADBE,0.852384,443.89,-22.31,-4.79
20,Walt Disney Company,DIS,0.819104,116.20,-3.14,-2.63
21,AT&T Inc.,T,0.815744,29.75,-0.38,-1.26
22,PayPal Holdings Inc,PYPL,0.795965,171.70,-6.7,-3.76
23,Cisco Systems Inc.,CSCO,0.751918,46.18,-0.48,-1.03
24,Merck & Co. Inc.,MRK,0.735717,78.00,1.27,1.66
25,Pfizer Inc.,PFE,0.714073,35.40,1.57,4.64
26,Bank of America Corp,BAC,0.712666,24.10,0.08,0.33
27,PepsiCo Inc.,PEP,0.708154,135.02,0.56,0.42
28,Walmart Inc.,WMT,0.703128,129.50,-1.18,-0.9
29,Comcast Corporation Class A,CMCSA,0.701121,40.50,-0.01,-0.02
30,Exxon Mobil Corporation,XOM,0.685245,42.50,-0.15,-0.35
31,salesforce.com inc.,CRM,0.680894,189.81,-9.07,-4.56
32,Coca-Cola Company,KO,0.663165,45.21,0.06,0.13
33,AbbVie Inc.,ABBV,0.64844,98.04,1.21,1.25
34,Abbott Laboratories,ABT,0.625357,93.30,0.26,0.28
35,Chevron Corporation,CVX,0.604647,85.27,0.04,0.05
36,Thermo Fisher Scientific Inc.,TMO,0.574144,378.93,-3.64,-0.95
37,Amgen Inc.,AMGN,0.556687,251.18,2.14,0.86
38,Costco Wholesale Corporation,COST,0.54733,323.19,-3.04,-0.93
39,Accenture Plc Class A,ACN,0.533164,215.72,-4.54,-2.06
40,McDonald's Corporation,MCD,0.522359,185.44,0.56,0.3
41,Eli Lilly and Company,LLY,0.521319,161.00,-2.36,-1.44
42,Bristol-Myers Squibb Company,BMY,0.493782,57.63,0.2,0.35
43,Broadcom Inc.,AVGO,0.485269,311.75,-7.69,-2.41
44,NextEra Energy Inc.,NEE,0.482815,253.88,-5.72,-2.2
45,Medtronic Plc,MDT,0.462761,93.77,2.96,3.26
46,NIKE Inc. Class B,NKE,0.461156,96.79,-1.2,-1.22
47,Texas Instruments Incorporated,TXN,0.455212,129.25,-1.28,-0.98
48,Oracle Corporation,ORCL,0.453893,57.12,-0.27,-0.47
49,Linde plc,LIN,0.450929,225.82,-0.13,-0.06
50,American Tower Corporation,AMT,0.445298,256.84,-7.51,-2.84
51,Danaher Corporation,DHR,0.439166,182.41,-1.26,-0.69
52,Philip Morris International Inc.,PM,0.431699,73.60,0.64,0.88
53,Union Pacific Corporation,UNP,0.42903,169.17,2.78,1.67
54,Citigroup Inc.,C,0.416495,52.20,-0.45,-0.85
55,International Business Machines Corporation,IBM,0.399294,119.20,0.85,0.72
56,QUALCOMM Incorporated,QCOM,0.395438,91.41,-1.1,-1.19
57,Lowe's Companies Inc.,LOW,0.39427,135.60,-1.83,-1.33
58,Honeywell International Inc.,HON,0.379901,143.85,1.4,0.98
59,Gilead Sciences Inc.,GILD,0.36489,76.85,0.53,0.69
60,Boeing Company,BA,0.363506,177.80,-0.64,-0.36
61,Wells Fargo & Company,WFC,0.361096,25.36,-0.11,-0.43
62,3M Company,MMM,0.334077,155.00,2.15,1.41
63,Raytheon Technologies Corporation,RTX,0.333316,59.40,-0.24,-0.4
64,Starbucks Corporation,SBUX,0.329744,72.98,-1.31,-1.76
65,Lockheed Martin Corporation,LMT,0.327599,353.00,3.75,1.07
66,BlackRock Inc.,BLK,0.324785,558.19,4.11,0.74
67,S&P Global Inc.,SPGI,0.322041,346.09,-5.72,-1.63
68,Fidelity National Information Services Inc.,FIS,0.32136,135.50,-1.38,-1.01
69,CVS Health Corporation,CVS,0.311169,62.60,-0.05,-0.08
70,Charter Communications Inc. Class A,CHTR,0.308054,534.85,-3.07,-0.57
71,United Parcel Service Inc. Class B,UPS,0.30788,113.74,-1.33,-1.16
72,ServiceNow Inc.,NOW,0.306458,402.00,-20.91,-4.94
73,Intuit Inc.,INTU,0.304752,298.61,-8.94,-2.91
74,Vertex Pharmaceuticals Incorporated,VRTX,0.290099,284.39,-10.06,-3.42
75,Becton Dickinson and Company,BDX,0.286738,255.97,-1.4,-0.54
76,Altria Group Inc,MO,0.284347,40.08,-0.19,-0.47
77,Mondelez International Inc. Class A,MDLZ,0.279896,51.50,0.06,0.12
78,Crown Castle International Corp,CCI,0.271585,167.00,-4.5,-2.62
79,Booking Holdings Inc.,BKNG,0.265539,"1,690.06",-17.34,-1.02
80,Prologis Inc.,PLD,0.264569,93.74,-1.08,-1.14
81,Caterpillar Inc.,CAT,0.26327,130.50,2.49,1.95
82,Intuitive Surgical Inc.,ISRG,0.255197,574.00,-1.87,-0.32
83,Advanced Micro Devices Inc.,AMD,0.24703,53.80,-2.08,-3.72
84,Zoetis Inc. Class A,ZTS,0.246635,138.00,0.9,0.66
85,Cigna Corporation,CI,0.246049,176.17,0.63,0.36
86,Anthem Inc.,ANTM,0.244391,257.60,2.6,1.02
87,Goldman Sachs Group Inc.,GS,0.241765,209.48,3.92,1.91
88,Equinix Inc.,EQIX,0.24103,640.00,-76.59,-10.69
89,Automatic Data Processing Inc.,ADP,0.240697,145.48,-1.69,-1.15
90,Colgate-Palmolive Company,CL,0.238497,73.85,0.17,0.23
91,Activision Blizzard Inc.,ATVI,0.237942,78.05,-3.22,-3.96
92,Regeneron Pharmaceuticals Inc.,REGN,0.236011,616.20,-4.66,-0.75
93,Dominion Energy Inc,D,0.234647,73.70,0.12,0.16
94,American Express Company,AXP,0.233838,94.00,0.77,0.83
95,TJX Companies Inc,TJX,0.232388,50.29,-0.78,-1.53
96,T-Mobile US Inc.,TMUS,0.231344,104.71,-2.34,-2.19
97,Air Products and Chemicals Inc.,APD,0.227762,275.10,1.91,0.7
98,Duke Energy Corporation,DUK,0.227073,81.40,0.08,0.1
99,Morgan Stanley,MS,0.226608,50.38,0.58,1.16
100,Target Corporation,TGT,0.225766,119.18,0.32,0.27
101,CME Group Inc. Class A,CME,0.222884,165.16,0.57,0.35
102,General Electric Company,GE,0.220665,6.68,-0.01,-0.15
103,Chubb Limited,CB,0.21999,128.31,-0.12,-0.09
104,Applied Materials Inc.,AMAT,0.218498,61.79,-0.8,-1.28
105,Stryker Corporation,SYK,0.216318,179.44,1.55,0.87
106,Micron Technology Inc.,MU,0.214268,49.55,-1.15,-2.27
107,Southern Company,SO,0.213588,53.25,0.02,0.04
108,Marsh & McLennan Companies Inc.,MMC,0.212225,108.76,-0.7,-0.64
109,Illumina Inc.,ILMN,0.205549,364.95,-5.3,-1.43
110,Fiserv Inc.,FISV,0.205101,94.45,-1.53,-1.59
111,Autodesk Inc.,ADSK,0.202919,233.36,-10.88,-4.45
112,CSX Corporation,CSX,0.196453,68.70,1.16,1.72
113,Intercontinental Exchange Inc.,ICE,0.192443,91.83,-0.72,-0.78
114,Humana Inc.,HUM,0.190831,381.87,0.29,0.08
115,Illinois Tool Works Inc.,ITW,0.190153,174.78,0.72,0.41
116,U.S. Bancorp,USB,0.1898,36.51,0.07,0.19
117,Deere & Company,DE,0.189206,163.55,4.46,2.8
118,Newmont Corporation,NEM,0.188715,59.72,-2.16,-3.49
119,Ecolab Inc.,ECL,0.1885,200.30,-0.36,-0.18
120,Boston Scientific Corporation,BSX,0.188272,34.40,-0.28,-0.81
121,Global Payments Inc.,GPN,0.186849,162.34,-2.2,-1.34
122,Lam Research Corporation,LRCX,0.186006,337.23,-2.75,-0.81
123,Kimberly-Clark Corporation,KMB,0.185732,142.74,-0.5,-0.35
124,Dollar General Corporation,DG,0.181144,186.48,-1.76,-0.94
125,Truist Financial Corporation,TFC,0.180231,35.50,0.3,0.85
126,Moody's Corporation,MCO,0.17977,285.56,-7.36,-2.51
127,Sherwin-Williams Company,SHW,0.179197,576.04,-7.76,-1.33
128,Progressive Corporation,PGR,0.178574,80.33,-0.43,-0.53
129,Aon Plc Class A,AON,0.174849,197.06,-0.5,-0.25
130,Analog Devices Inc.,ADI,0.173302,117.60,-6.9,-5.54
131,Northrop Grumman Corporation,NOC,0.172991,293.00,1.0,0.34
132,Biogen Inc.,BIIB,0.172931,278.88,0.0,0.0
133,Norfolk Southern Corporation,NSC,0.166315,175.13,4.28,2.51
134,Baxter International Inc.,BAX,0.164345,83.46,-1.77,-2.08
135,PNC Financial Services Group Inc.,PNC,0.163791,103.25,1.65,1.62
136,Estee Lauder Companies Inc. Class A,EL,0.162022,189.74,0.05,0.03
137,ConocoPhillips,COP,0.161742,39.66,-0.03,-0.08
138,Edwards Lifesciences Corporation,EW,0.159897,68.39,0.57,0.84
139,American Electric Power Company Inc.,AEP,0.157096,84.50,0.35,0.42
140,Electronic Arts Inc.,EA,0.155374,135.50,-5.31,-3.77
141,DexCom Inc.,DXCM,0.154178,404.34,-35.3,-8.03
142,Roper Technologies Inc.,ROP,0.153868,386.25,-5.68,-1.45
143,Waste Management Inc.,WM,0.153044,104.26,0.44,0.42
144,Charles Schwab Corporation,SCHW,0.150373,34.43,-0.37,-1.06
145,Digital Realty Trust Inc.,DLR,0.15027,142.37,-5.02,-3.41
146,eBay Inc.,EBAY,0.14876,58.30,-0.97,-1.64
147,DuPont de Nemours Inc.,DD,0.146253,52.34,0.1,0.19
148,General Mills Inc.,GIS,0.145169,62.80,-0.75,-1.18
149,FedEx Corporation,FDX,0.143224,155.85,-2.74,-1.73
150,Centene Corporation,CNC,0.138178,63.53,0.69,1.1
151,Exelon Corporation,EXC,0.137321,37.47,0.08,0.21
152,Emerson Electric Co.,EMR,0.135697,60.83,1.06,1.77
153,L3Harris Technologies Inc,LHX,0.133301,161.60,-0.91,-0.56
154,Sempra Energy,SRE,0.132469,120.17,1.0,0.84
155,Eaton Corp. Plc,ETN,0.131383,87.43,0.99,1.15
156,SBA Communications Corp. Class A,SBAC,0.129547,291.73,-12.69,-4.17
157,Xcel Energy Inc.,XEL,0.126296,64.17,0.4,0.63
158,General Dynamics Corporation,GD,0.125731,142.00,0.03,0.02
159,KLA Corporation,KLAC,0.120573,199.00,-3.26,-1.61
160,MSCI Inc. Class A,MSCI,0.118993,363.68,-7.27,-1.96
161,O'Reilly Automotive Inc.,ORLY,0.118632,421.00,0.24,0.06
162,Bank of New York Mellon Corporation,BK,0.117512,39.00,0.62,1.62
163,Ross Stores Inc.,ROST,0.11717,85.00,-1.79,-2.06
164,Constellation Brands Inc. Class A,STZ,0.116911,179.80,-5.13,-2.77
165,General Motors Company,GM,0.115997,24.84,0.45,1.85
166,Cognizant Technology Solutions Corporation Class A,CTSH,0.115364,56.44,0.66,1.18
167,IHS Markit Ltd.,INFO,0.114855,75.81,0.17,0.22
168,Dow Inc.,DOW,0.114234,41.24,0.48,1.18
169,Synopsys Inc.,SNPS,0.113457,194.15,-3.86,-1.95
170,Walgreens Boots Alliance Inc,WBA,0.112302,39.55,-0.57,-1.42
171,T. Rowe Price Group,TROW,0.110047,128.12,0.85,0.67
172,Public Storage,PSA,0.10975,192.89,-1.54,-0.79
173,IDEXX Laboratories Inc.,IDXX,0.109657,335.20,-3.05,-0.9
174,Travelers Companies Inc.,TRV,0.109341,114.24,0.4,0.35
175,Eversource Energy,ES,0.109228,85.94,0.5,0.59
176,MetLife Inc.,MET,0.109126,37.50,0.56,1.52
177,Clorox Company,CLX,0.108992,225.25,-4.51,-1.96
178,Chipotle Mexican Grill Inc.,CMG,0.108024,"1,091.00",-27.04,-2.42
179,Verisk Analytics Inc,VRSK,0.107455,172.85,-1.32,-0.76
180,Cadence Design Systems Inc.,CDNS,0.107004,98.75,-2.22,-2.2
181,Amphenol Corporation Class A,APH,0.106362,94.46,-0.47,-0.5
182,Twitter Inc.,TWTR,0.105543,33.90,-1.5,-4.24
183,Capital One Financial Corporation,COF,0.105194,61.25,0.45,0.74
184,Agilent Technologies Inc.,A,0.104754,89.79,0.37,0.41
185,WEC Energy Group Inc,WEC,0.104456,87.72,-0.33,-0.37
186,Kinder Morgan Inc Class P,KMI,0.104309,14.19,-0.05,-0.35
187,Allstate Corporation,ALL,0.103809,87.85,0.88,1.01
188,ResMed Inc.,RMD,0.103579,188.09,-4.0,-2.08
189,Monster Beverage Corporation,MNST,0.101754,70.24,-1.41,-1.97
190,Phillips 66,PSX,0.101287,60.27,-0.79,-1.29
191,Kroger Co.,KR,0.101085,33.27,-0.17,-0.51
192,Sysco Corporation,SYY,0.100805,52.00,-0.31,-0.59
193,EOG Resources Inc.,EOG,0.099824,44.95,-0.45,-0.99
194,Yum! Brands Inc.,YUM,0.099664,87.00,-0.24,-0.28
195,TE Connectivity Ltd.,TEL,0.09951,79.79,1.02,1.29
196,Microchip Technology Incorporated,MCHP,0.099382,105.90,-0.71,-0.67
197,American International Group Inc.,AIG,0.098797,29.75,-0.35,-1.16
198,AutoZone Inc.,AZO,0.098759,"1,108.33",-5.26,-0.47
199,Willis Towers Watson Public Limited Company,WLTW,0.098275,201.47,-0.86,-0.43
200,PACCAR Inc,PCAR,0.097932,75.64,0.4,0.53
201,ANSYS Inc.,ANSS,0.097554,295.56,-6.09,-2.02
202,Cummins Inc.,CMI,0.09743,177.14,3.34,1.92
203,IQVIA Holdings Inc,IQV,0.097253,141.28,-1.4,-0.98
204,HCA Healthcare Inc,HCA,0.096711,96.83,0.11,0.11
205,Public Service Enterprise Group Inc,PEG,0.096195,51.81,1.22,2.41
206,Johnson Controls International plc,JCI,0.095738,34.00,0.13,0.38
207,PPG Industries Inc.,PPG,0.095577,109.38,2.34,2.19
208,Aflac Incorporated,AFL,0.095044,34.90,0.03,0.09
209,Schlumberger NV,SLB,0.093065,17.40,-0.39,-2.19
210,Zimmer Biomet Holdings Inc.,ZBH,0.09282,121.00,1.57,1.31
211,Fastenal Company,FAST,0.092753,43.75,0.72,1.67
212,HP Inc.,HPQ,0.092317,17.08,0.09,0.53
213,Prudential Financial Inc.,PRU,0.092105,61.00,0.46,0.76
214,Rockwell Automation Inc.,ROK,0.092031,211.80,0.9,0.43
215,Xilinx Inc.,XLNX,0.091608,97.91,-1.23,-1.24
216,Alexion Pharmaceuticals Inc.,ALXN,0.091199,107.03,-1.79,-1.64
217,Consolidated Edison Inc.,ED,0.091122,71.86,-0.62,-0.86
218,American Water Works Company Inc.,AWK,0.090823,132.97,-0.42,-0.31
219,Marriott International Inc. Class A,MAR,0.090715,87.33,-1.18,-1.33
220,Ford Motor Company,F,0.08999,6.10,0.0,0.0
221,Ball Corporation,BLL,0.08974,71.63,-0.77,-1.06
222,Marathon Petroleum Corporation,MPC,0.088823,35.30,-0.9,-2.49
223,Paychex Inc.,PAYX,0.08826,72.15,-1.15,-1.57
224,McKesson Corporation,MCK,0.087345,144.98,1.96,1.37
225,Otis Worldwide Corporation,OTIS,0.087295,56.68,-0.3,-0.53
226,McCormick & Company Incorporated,MKC,0.085754,182.50,-3.41,-1.83
227,State Street Corporation,STT,0.085753,64.59,0.47,0.73
228,Parker-Hannifin Corporation,PH,0.085091,176.00,0.6,0.34
229,Williams Companies Inc.,WMB,0.084501,18.56,0.01,0.05
230,FirstEnergy Corp.,FE,0.084349,40.84,-0.43,-1.04
231,Cintas Corporation,CTAS,0.083821,264.00,-2.88,-1.08
232,Valero Energy Corporation,VLO,0.083211,52.62,-1.03,-1.92
233,Trane Technologies plc,TT,0.083184,92.09,0.45,0.49
234,Motorola Solutions Inc.,MSI,0.083158,131.06,2.64,2.06
235,Skyworks Solutions Inc.,SWKS,0.083157,129.60,-1.62,-1.23
236,Archer-Daniels-Midland Company,ADM,0.082796,39.76,0.38,0.96
237,Dollar Tree Inc.,DLTR,0.082274,92.30,0.43,0.47
238,VeriSign Inc.,VRSN,0.082201,201.00,-8.99,-4.28
239,Stanley Black & Decker Inc.,SWK,0.081945,142.04,2.12,1.52
240,Cerner Corporation,CERN,0.080876,69.39,-0.54,-0.77
241,FLEETCOR Technologies Inc.,FLT,0.080555,248.30,-4.71,-1.86
