,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,389.06,399.82,381.03,381.91,381.91,47033200.0,0.0,1.0
2020-07-10,381.34,383.92,378.82,383.68,383.68,22564300.0,0.0,1.0
2020-07-09,385.05,385.27,378.69,383.01,383.01,31420400.0,0.0,1.0
2020-07-08,376.72,381.5,376.36,381.37,381.37,29274500.0,0.0,1.0
2020-07-07,375.41,378.62,372.23,372.69,372.69,28207000.0,0.0,1.0
2020-07-06,370.0,375.78,369.87,373.85,373.85,29745900.0,0.0,1.0
2020-07-02,367.85,370.47,363.64,364.11,364.11,28814500.0,0.0,1.0
2020-07-01,365.12,367.36,363.91,364.11,364.11,27690500.0,0.0,1.0
2020-06-30,360.08,365.98,360.0,364.8,364.8,35055800.0,0.0,1.0
2020-06-29,353.25,362.17,351.28,361.78,361.78,32661500.0,0.0,1.0
2020-06-26,364.41,365.32,353.02,353.63,353.63,51314211.0,0.0,1.0
2020-06-25,360.7,365.0,357.57,364.84,364.84,34380628.0,0.0,1.0
2020-06-24,365.0,368.79,358.52,360.06,360.06,48155849.0,0.0,1.0
2020-06-23,364.0,372.38,362.2701,366.53,366.53,53038869.0,0.0,1.0
2020-06-22,351.34,359.46,351.15,358.87,358.87,33861316.0,0.0,1.0
2020-06-19,354.635,356.56,345.15,349.72,349.72,66118952.0,0.0,1.0
2020-06-18,351.41,353.45,349.22,351.73,351.73,24205096.0,0.0,1.0
2020-06-17,355.15,355.4,351.09,351.59,351.59,28601626.0,0.0,1.0
2020-06-16,351.46,353.2,344.72,352.08,352.08,41357182.0,0.0,1.0
2020-06-15,333.25,345.68,332.58,342.99,342.99,34702230.0,0.0,1.0
2020-06-12,344.72,347.8,334.2233,338.8,338.8,50036513.0,0.0,1.0
2020-06-11,349.31,351.06,335.48,335.9,335.9,50415613.0,0.0,1.0
2020-06-10,347.9,354.77,346.09,352.84,352.84,41662938.0,0.0,1.0
2020-06-09,332.14,345.61,332.01,343.99,343.99,36928091.0,0.0,1.0
2020-06-08,330.25,333.6,327.32,333.46,333.46,23913634.0,0.0,1.0
2020-06-05,323.35,331.75,323.23,331.5,331.5,34312550.0,0.0,1.0
2020-06-04,324.39,325.62,320.78,322.32,322.32,21890091.0,0.0,1.0
2020-06-03,324.66,326.2,322.3,325.12,325.12,26122804.0,0.0,1.0
2020-06-02,320.745,323.44,318.93,323.34,323.34,21910704.0,0.0,1.0
2020-06-01,317.75,322.35,317.21,321.85,321.85,20254653.0,0.0,1.0
2020-05-29,319.25,321.15,316.47,317.94,317.94,38399532.0,0.0,1.0
2020-05-28,316.77,323.44,315.63,318.25,318.25,33449103.0,0.0,1.0
2020-05-27,316.14,318.71,313.09,318.11,318.11,28236274.0,0.0,1.0
2020-05-26,323.5,324.24,316.5,316.73,316.73,31380454.0,0.0,1.0
2020-05-22,315.77,319.23,315.35,318.89,318.89,20450754.0,0.0,1.0
2020-05-21,318.66,320.89,315.87,316.85,316.85,25672211.0,0.0,1.0
2020-05-20,316.68,319.52,316.2,319.23,319.23,27876215.0,0.0,1.0
2020-05-19,315.03,318.52,313.01,313.14,313.14,25432385.0,0.0,1.0
2020-05-18,313.17,316.5,310.3241,314.96,314.96,33843125.0,0.0,1.0
2020-05-15,300.35,307.9,300.21,307.71,307.71,41587094.0,0.0,1.0
2020-05-14,304.51,309.79,301.53,309.54,309.54,39732269.0,0.0,1.0
2020-05-13,312.15,315.95,303.21,307.65,307.65,50155639.0,0.0,1.0
2020-05-12,317.83,319.688,310.91,311.41,311.41,40575263.0,0.0,1.0
