,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,97.36,99.56,96.92,97.86,97.86,8503400.0,0.0,1.0
2020-07-10,98.06,98.33,96.36,96.83,96.83,6209800.0,0.0,1.0
2020-07-09,99.08,99.78,96.81,97.94,97.94,5810400.0,0.0,1.0
2020-07-08,99.75,100.57,98.55,99.28,99.28,6154100.0,0.0,1.0
2020-07-07,98.68,100.69,98.56,99.35,99.35,6351800.0,0.0,1.0
2020-07-06,99.64,99.8,97.95,99.01,99.01,7037000.0,0.0,1.0
2020-07-02,99.45,99.99,97.86,98.88,98.88,6586100.0,0.0,1.0
2020-07-01,98.5,99.66,97.5,99.14,99.14,6527000.0,0.0,1.0
2020-06-30,95.97,98.88,95.83,98.18,98.18,8110300.0,0.0,1.0
2020-06-29,96.5,97.33,95.68,96.44,96.44,6674000.0,0.0,1.0
2020-06-26,96.89,97.03,95.04,96.13,96.13,14567128.0,0.0,1.0
2020-06-25,95.18,97.07,94.32,96.99,96.99,6405582.0,0.0,1.0
2020-06-24,96.46,97.16,94.35,95.14,95.14,9024239.0,0.0,1.0
2020-06-23,98.42,99.1,97.05,97.31,97.31,6713343.0,0.0,1.0
2020-06-22,96.64,97.3,95.815,97.27,97.27,6002554.0,0.0,1.0
2020-06-19,97.72,98.2,95.75,96.71,96.71,9153438.0,0.0,1.0
2020-06-18,95.56,96.45,95.26,96.23,96.23,4569496.0,0.0,1.0
2020-06-17,96.85,97.1,95.27,95.74,95.74,6210890.0,0.0,1.0
2020-06-16,94.86,96.2,93.48,96.06,96.06,9364971.0,0.0,1.0
2020-06-15,91.27,94.025,90.78,93.08,93.08,7120219.0,0.0,1.0
2020-06-12,93.74,94.74,91.03,92.46,92.46,8009053.0,0.0,1.0
2020-06-11,95.69,96.8894,92.03,92.26,92.26,12575098.0,0.0,1.0
2020-06-10,96.99,99.3474,96.8,96.9,96.9,11126493.0,0.0,1.0
2020-06-09,94.95,96.66,94.76,96.17,96.17,9553518.0,0.0,1.0
2020-06-08,92.91,95.01,92.81,94.59,94.59,6618207.0,0.0,1.0
2020-06-05,93.5,95.54,92.81,93.85,93.85,9627342.0,0.0,1.0
2020-06-04,90.28,93.48,90.25,93.04,93.04,9523527.0,0.0,1.0
2020-06-03,91.47,91.5,89.6,90.89,90.89,8584992.0,0.0,1.0
2020-06-02,90.97,91.6974,90.05,91.04,91.04,9410732.0,0.0,1.0
2020-06-01,92.05,93.06,90.69,90.7,90.7,8483116.0,0.0,1.0
2020-05-29,91.0,92.885,89.6,92.67,92.67,13758733.0,0.0,1.0
2020-05-28,90.87,91.19,90.0,90.03,90.03,8765907.0,0.0,1.0
2020-05-27,90.54,91.0,88.56,89.98,89.98,12528416.0,0.0,1.0
2020-05-26,93.45,93.57,90.31,90.71,90.71,11867570.0,0.0,1.0
2020-05-22,92.87,93.01,91.73,92.1,92.1,5505076.0,0.0,1.0
2020-05-21,91.28,93.13,90.35,93.02,93.02,10391367.0,0.0,1.0
2020-05-20,92.13,92.54,89.9,91.19,91.19,10659052.0,0.0,1.0
2020-05-19,91.26,91.65,89.56,91.2,91.2,9889913.0,0.0,1.0
2020-05-18,92.0,93.66,91.31,91.47,91.47,16300249.0,0.0,1.0
2020-05-15,90.01,91.15,89.42,90.71,90.71,13625066.0,0.0,1.0
2020-05-14,87.62,90.48,87.4276,89.94,89.94,13370560.0,0.0,1.0
2020-05-13,90.74,92.24,87.7347,88.87,88.87,23558050.0,0.0,1.0
2020-05-12,90.0,92.23,88.47,90.46,90.46,23453079.0,0.0,1.0
2020-05-11,85.08,88.4605,83.98,87.9,87.9,19213187.0,0.0,1.0
2020-05-08,84.42,84.66,82.45,83.96,83.96,20187009.0,0.0,1.0
2020-05-07,86.52,86.84,83.56,84.22,84.22,11929115.0,0.0,1.0
2020-05-06,86.28,88.145,85.2467,85.42,85.42,17039829.0,0.0,1.0
2020-05-05,82.95,86.48,82.595,85.37,85.37,10870241.0,0.0,1.0
2020-05-04,82.22,82.84,81.12,81.86,81.86,6830154.0,0.0,1.0
2020-05-01,81.95,84.23,80.5,82.84,82.84,12704110.0,0.0,1.0
2020-04-30,82.97,83.26,81.23,82.2,82.2,15524452.0,0.0,1.0
2020-04-29,83.72,84.75,82.14,83.76,83.76,8229150.0,0.0,1.0
2020-04-28,85.7,85.97,82.37,82.76,82.76,8339115.0,0.0,1.0
2020-04-27,84.03,84.92,83.779,84.69,84.69,9208205.0,0.0,1.0
2020-04-24,82.87,83.67,82.35,83.59,83.59,6770560.0,0.0,1.0
2020-04-23,82.18,83.83,81.96,82.04,82.04,7889431.0,0.0,1.0
2020-04-22,81.23,82.45,80.73,81.47,81.47,7032990.0,0.0,1.0
2020-04-21,82.51,82.97,80.02,80.36,80.36,9624197.0,0.0,1.0
2020-04-20,83.54,85.3299,82.63,83.99,83.99,9124909.0,0.0,1.0
2020-04-17,84.0,84.79,82.5,83.45,83.45,10732946.0,0.0,1.0
2020-04-16,82.73,83.72,81.58,81.86,81.86,10308816.0,0.0,1.0
2020-04-15,80.51,83.04,79.62,81.82,81.82,8977210.0,0.0,1.0
2020-04-14,80.62,82.85,80.29,82.13,82.13,11070801.0,1.18,1.0
2020-04-13,80.66,81.33,78.66,80.3,79.1626,9287895.0,0.0,1.0
2020-04-09,78.56,80.08,78.56,79.75,78.6204,9422158.0,0.0,1.0
2020-04-08,76.44,78.98,74.7819,78.56,77.4473,12214277.0,0.0,1.0
2020-04-07,78.38,78.575,75.25,75.39,74.3222,11589415.0,0.0,1.0
2020-04-06,75.74,77.26,74.03,75.73,74.6574,10257770.0,0.0,1.0
2020-04-03,74.65,75.44,72.55,73.37,72.3308,8059146.0,0.0,1.0
2020-04-02,72.78,75.5,71.46,75.13,74.0659,8067036.0,0.0,1.0
2020-04-01,72.12,73.99,71.43,73.42,72.3801,12941950.0,0.0,1.0
2020-03-31,75.4,77.92,74.44,76.19,75.1108,20472563.0,0.0,1.0
2020-03-30,73.52,76.24,73.47,75.24,74.1743,10669167.0,0.0,1.0
2020-03-27,71.63,75.06,70.71,72.67,71.6407,12289695.0,0.0,1.0
2020-03-26,68.82,74.3142,68.76,73.83,72.7843,15978894.0,0.0,1.0
2020-03-25,67.92,70.675,65.55,67.91,66.9481,20010683.0,0.0,1.0
2020-03-24,68.16,71.82,67.09,67.49,66.5341,18364705.0,0.0,1.0
2020-03-23,67.38,67.75,62.55,64.5,63.5864,19201245.0,0.0,1.0
2020-03-20,73.0,73.0,66.81,68.82,67.8452,18841246.0,0.0,1.0
2020-03-19,69.1,74.85,65.33,71.06,70.0535,19735362.0,0.0,1.0
2020-03-18,70.0,71.39,64.685,71.03,70.0239,23790341.0,0.0,1.0
2020-03-17,75.71,77.71,69.99,73.02,71.9857,23197550.0,0.0,1.0
2020-03-16,79.0,82.18,73.58,74.27,73.218,20875831.0,0.0,1.0
2020-03-13,83.36,86.32,80.695,85.37,84.1608,21854772.0,0.0,1.0
2020-03-12,78.85,81.29,77.06,78.61,77.4966,19868088.0,0.0,1.0
2020-03-11,85.8,86.64,83.57,84.85,83.6482,10381336.0,0.0,1.0
2020-03-10,88.19,88.22,83.76,87.53,86.2902,12957580.0,0.0,1.0
2020-03-09,84.0,87.34,82.43,85.27,84.0622,15800684.0,0.0,1.0
2020-03-06,88.73,89.76,87.26,88.82,87.562,12660275.0,0.0,1.0
2020-03-05,90.06,91.712,89.43,90.61,89.3266,9687353.0,0.0,1.0
