,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,93.14,95.62,92.79,93.09,93.09,4296600.0,0.0,1.0
2020-07-10,93.47,93.8,92.32,93.04,93.04,2923100.0,0.0,1.0
2020-07-09,92.74,94.88,91.85,93.67,93.67,4575900.0,0.0,1.0
2020-07-08,92.84,93.67,91.5,92.58,92.58,3815700.0,0.0,1.0
2020-07-07,92.46,93.4,92.09,92.46,92.46,3389200.0,0.0,1.0
2020-07-06,92.76,93.97,92.45,92.97,92.97,5918400.0,0.0,1.0
2020-07-02,92.5,93.06,91.93,92.23,92.23,3845600.0,0.0,1.0
2020-07-01,91.98,91.98,90.43,91.64,91.64,3393200.0,0.0,1.0
2020-06-30,88.75,91.9,88.44,91.43,91.43,5220800.0,0.0,1.0
2020-06-29,89.58,89.7,88.09,89.01,89.01,4666300.0,0.0,1.0
2020-06-26,89.82,89.95,87.94,88.71,88.71,8521862.0,0.0,1.0
2020-06-25,87.24,89.81,86.16,89.62,89.62,5781100.0,0.0,1.0
2020-06-24,90.63,90.73,86.822,87.3,87.3,6140726.0,0.0,1.0
2020-06-23,91.11,92.3,90.79,91.3,91.3,4156936.0,0.0,1.0
2020-06-22,90.33,90.65,89.16,90.34,90.34,5071192.0,0.0,1.0
2020-06-19,91.67,92.4,90.61,90.68,90.68,9473307.0,0.0,1.0
2020-06-18,90.5,91.34,89.57,90.28,90.28,5877867.0,0.0,1.0
2020-06-17,90.42,91.6723,90.1,90.9,90.9,4359078.0,0.0,1.0
2020-06-16,90.62,91.76,89.14,89.74,89.74,6143306.0,0.0,1.0
2020-06-15,87.52,90.35,87.05,89.55,89.55,5666045.0,0.0,1.0
2020-06-12,89.25,90.19,87.59,89.02,89.02,5590268.0,0.0,1.0
2020-06-11,92.17,92.5,86.94,87.78,87.78,8166344.0,0.0,1.0
2020-06-10,90.85,92.75,90.64,92.16,92.16,5828446.0,0.0,1.0
2020-06-09,92.32,92.82,90.24,90.27,90.27,4855702.0,0.0,1.0
2020-06-08,88.98,92.61,88.91,92.56,92.56,5425755.0,0.0,1.0
2020-06-05,88.47,89.96,87.32,89.86,89.86,11874292.0,0.0,1.0
2020-06-04,91.05,91.335,88.235,88.25,88.25,9111006.0,0.0,1.0
2020-06-03,92.56,92.7,90.56,91.4,91.4,8052501.0,0.0,1.0
2020-06-02,92.92,93.15,91.76,92.62,92.62,6394128.0,0.0,1.0
2020-06-01,92.95,93.96,92.0419,93.01,93.01,5451193.0,0.0,1.0
2020-05-29,92.9,95.59,90.75,94.92,94.92,10138477.0,0.0,1.0
2020-05-28,91.95,93.325,91.21,92.1,92.1,5316326.0,0.0,1.0
2020-05-27,89.28,90.78,88.17,90.76,90.76,5420584.0,0.0,1.0
2020-05-26,92.95,93.29,89.17,89.48,89.48,6242815.0,0.0,1.0
2020-05-22,90.42,91.54,89.71,91.47,91.47,5182655.0,0.0,1.0
2020-05-21,89.64,90.61,88.38,90.39,90.39,6180830.0,0.0,1.0
2020-05-20,89.58,90.42,88.031,90.09,90.09,7488783.0,0.0,1.0
2020-05-19,90.33,90.5,88.11,88.22,88.22,7691365.0,0.0,1.0
2020-05-18,91.9,93.0,90.02,90.27,90.27,7646517.0,0.0,1.0
2020-05-15,89.96,91.16,88.79,89.89,89.89,13605613.0,0.0,1.0
2020-05-14,90.5,91.78,89.34,91.78,91.78,8174111.0,0.0,1.0
2020-05-13,93.27,94.665,90.84,92.16,92.16,11612046.0,0.0,1.0
2020-05-12,96.46,96.68,93.73,93.8,93.8,5376588.0,0.0,1.0
2020-05-11,93.22,96.49,93.14,96.07,96.07,7236440.0,0.0,1.0
2020-05-08,94.84,94.94,92.895,93.7,93.7,6167595.0,0.0,1.0
2020-05-07,92.14,94.54,91.81,93.99,93.99,7254904.0,0.0,1.0
2020-05-06,93.15,93.43,91.03,91.08,91.08,4242943.0,0.0,1.0
2020-05-05,90.95,93.66,90.39,93.03,93.03,6745272.0,0.0,1.0
2020-05-04,89.79,90.16,88.71,89.83,89.83,5033385.0,0.0,1.0
2020-05-01,91.0,91.3575,88.75,89.85,89.85,6834998.0,0.0,1.0
2020-04-30,91.85,93.77,91.85,92.09,92.09,7972622.0,0.0,1.0
2020-04-29,92.09,93.05,91.0705,92.28,92.28,7059500.0,0.0,1.0
2020-04-28,94.88,95.15,91.335,91.46,91.46,7799430.0,0.0,1.0
2020-04-27,95.48,95.9,94.02,94.95,94.95,6834753.0,0.0,1.0
2020-04-24,94.5,94.58,92.775,94.06,94.06,9016057.0,0.0,1.0
2020-04-23,95.87,97.45,93.35,93.94,93.94,10574455.0,0.0,1.0
2020-04-22,94.28,95.98,92.79,95.48,95.48,8341549.0,0.0,1.0
2020-04-21,96.1,96.97,93.62,94.05,94.05,12015847.0,0.0,1.0
2020-04-20,94.82,100.0,94.65,98.0,98.0,17217172.0,0.0,1.0
2020-04-17,97.45,97.75,94.24,96.01,96.01,16062581.0,0.0,1.0
2020-04-16,92.6,96.985,91.14,96.0,96.0,26956892.0,0.0,1.0
2020-04-15,90.01,91.9,88.51,90.94,90.94,14065376.0,0.0,1.0
2020-04-14,87.0,89.537,86.5,89.14,89.14,9848217.0,0.36,1.0
2020-04-13,86.32,86.48,83.52,85.85,85.5047,6628959.0,0.0,1.0
2020-04-09,85.0,86.5,82.95,86.04,85.6939,10465284.0,0.0,1.0
2020-04-08,82.5,85.39,81.05,84.95,84.6083,9260631.0,0.0,1.0
2020-04-07,83.45,84.48,81.7679,81.93,81.6004,10862460.0,0.0,1.0
2020-04-06,81.08,83.12,79.605,82.73,82.3972,12365596.0,0.0,1.0
2020-04-03,78.79,79.99,78.18,79.45,79.1304,9128727.0,0.0,1.0
2020-04-02,76.12,79.6565,76.0,79.44,79.1205,10158402.0,0.0,1.0
2020-04-01,77.0,77.38,75.35,76.57,76.262,12198224.0,0.0,1.0
2020-03-31,81.43,81.49,78.56,78.91,78.5926,23724192.0,0.0,1.0
2020-03-30,82.83,84.4,78.47,79.34,79.0209,47188125.0,0.0,1.0
2020-03-27,77.5,77.5,73.612,74.56,74.2601,8337903.0,0.0,1.0
2020-03-26,71.08,75.97,71.0,75.81,75.5051,10500949.0,0.0,1.0
2020-03-25,68.95,72.6272,68.15,70.75,70.4654,9350991.0,0.0,1.0
2020-03-24,64.91,69.97,64.5,69.69,69.4097,10900888.0,0.0,1.0
2020-03-23,67.07,67.49,61.61,62.82,62.5673,13032018.0,0.0,1.0
2020-03-20,74.05,74.86,67.95,68.0,67.7265,15118925.0,0.0,1.0
2020-03-19,81.36,81.81,73.55,74.5,74.2003,14474315.0,0.0,1.0
2020-03-18,74.98,81.99,74.39,79.26,78.9412,17521875.0,0.0,1.0
2020-03-17,75.52,79.79,73.34,79.49,79.1703,13312835.0,0.0,1.0
2020-03-16,70.65,79.25,70.0,73.66,73.3637,14358919.0,0.0,1.0
2020-03-13,77.91,82.67,74.83,81.65,81.3216,18316924.0,0.0,1.0
2020-03-12,73.28,78.15,72.01,74.74,74.4394,13875031.0,0.0,1.0
2020-03-11,78.53,79.07,76.35,78.09,77.7759,11170130.0,0.0,1.0
2020-03-10,79.23,81.0,75.93,80.88,80.5547,9417312.0,0.0,1.0
2020-03-09,76.61,79.34,75.1,77.02,76.7102,10283749.0,0.0,1.0
2020-03-06,78.6,82.3,78.09,81.74,81.4112,10647611.0,0.0,1.0
2020-03-05,80.29,81.47,79.13,80.52,80.1961,9288681.0,0.0,1.0
2020-03-04,80.66,82.33,79.46,82.09,81.7598,8659982.0,0.0,1.0
2020-03-03,81.58,83.5,77.26,77.99,77.6763,9509961.0,0.0,1.0
2020-03-02,77.88,81.68,77.25,81.61,81.2817,11482075.0,0.0,1.0
2020-02-28,77.12,78.1626,74.02,77.03,76.7202,16671866.0,0.0,1.0
2020-02-27,80.4,82.03,79.16,79.19,78.8715,8654811.0,0.0,1.0
2020-02-26,82.13,82.88,81.11,81.36,81.0327,7380110.0,0.0,1.0
2020-02-25,84.93,85.37,80.7777,81.13,80.8037,7020747.0,0.0,1.0
2020-02-24,85.45,85.67,84.07,84.63,84.2896,5549762.0,0.0,1.0
2020-02-21,88.04,88.25,87.16,87.45,87.0982,5570900.0,0.0,1.0
2020-02-20,89.1,89.56,88.04,88.46,88.1042,3657471.0,0.0,1.0
2020-02-19,88.83,89.93,88.69,89.36,89.0006,3464882.0,0.0,1.0
