,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,221.33,221.87,215.23,215.74,215.74,2090000.0,0.0,1.0
2020-07-10,219.0,220.86,217.67,220.26,220.26,1373600.0,0.0,1.0
2020-07-09,218.47,220.61,216.23,219.31,219.31,1756700.0,0.0,1.0
2020-07-08,217.47,219.15,216.34,218.89,218.89,1750700.0,0.0,1.0
2020-07-07,216.32,219.87,216.12,216.33,216.33,1783800.0,0.0,1.0
2020-07-06,217.76,219.66,216.31,217.55,217.55,1934500.0,0.0,1.0
2020-07-02,216.57,218.45,214.9,215.72,215.72,2003400.0,0.0,1.0
2020-07-01,214.5,216.9,213.88,214.59,214.59,2126000.0,0.0,1.0
2020-06-30,212.37,215.64,212.13,214.72,214.72,3136400.0,0.0,1.0
2020-06-29,210.15,213.39,210.15,212.72,212.72,2247900.0,0.0,1.0
2020-06-26,216.78,216.93,211.07,212.47,212.47,3348420.0,0.0,1.0
2020-06-25,213.0,217.89,211.5,217.32,217.32,4689669.0,0.0,1.0
2020-06-24,205.51,207.4,200.5,201.84,201.84,2752563.0,0.0,1.0
2020-06-23,205.37,209.68,205.37,207.4,207.4,2203796.0,0.0,1.0
2020-06-22,200.8,204.0799,199.47,202.6,202.6,2453578.0,0.0,1.0
2020-06-19,207.54,208.285,201.52,201.55,201.55,3710043.0,0.0,1.0
2020-06-18,201.73,203.17,199.29,202.93,202.93,2227265.0,0.0,1.0
2020-06-17,206.03,206.33,203.65,205.2,205.2,1594775.0,0.0,1.0
2020-06-16,203.36,206.88,202.12,204.4,204.4,2153965.0,0.0,1.0
2020-06-15,196.49,200.74,194.83,199.79,199.79,2310793.0,0.0,1.0
2020-06-12,201.1,202.43,197.31,201.59,201.59,2590091.0,0.0,1.0
2020-06-11,205.52,205.95,195.88,195.95,195.95,4046634.0,0.0,1.0
2020-06-10,207.26,210.83,205.9,209.43,209.43,2076570.0,0.0,1.0
2020-06-09,209.39,209.79,205.5001,207.34,207.34,2269473.0,0.0,1.0
2020-06-08,207.51,211.32,207.0,211.28,211.28,1626898.0,0.0,1.0
2020-06-05,205.99,209.72,204.79,208.49,208.49,2537902.0,0.0,1.0
2020-06-04,206.09,207.79,202.33,203.1,203.1,2451436.0,0.0,1.0
2020-06-03,204.42,207.83,204.31,207.28,207.28,1605416.0,0.0,1.0
2020-06-02,204.09,205.79,202.34,205.78,205.78,1939145.0,0.0,1.0
2020-06-01,201.54,203.75,199.87,203.38,203.38,1530749.0,0.0,1.0
2020-05-29,201.49,202.41,198.69,201.62,201.62,2535390.0,0.0,1.0
2020-05-28,200.01,204.18,200.01,201.67,201.67,2280638.0,0.0,1.0
2020-05-27,198.38,199.95,196.21,199.93,199.93,2000474.0,0.0,1.0
2020-05-26,199.42,199.99,196.03,196.4,196.4,2408717.0,0.0,1.0
