,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,469.77,470.61,440.64,442.47,442.47,3478277.0,0.0,1.0
2020-07-10,460.83,467.21,455.48,466.2,466.2,3676500.0,0.0,1.0
2020-07-09,460.44,463.8,451.88,460.84,460.84,2270000.0,0.0,1.0
2020-07-08,453.76,458.24,452.0,457.68,457.68,1999200.0,0.0,1.0
2020-07-07,452.59,459.44,448.72,449.36,449.36,2684600.0,0.0,1.0
2020-07-06,448.0,455.53,444.69,452.59,452.59,2761200.0,0.0,1.0
2020-07-02,445.0,448.16,441.36,442.95,442.95,2503351.0,0.0,1.0
2020-07-01,434.8,442.045,433.621,439.81,439.81,2582693.0,0.0,1.0
2020-06-30,426.68,436.91,423.86,435.31,435.31,2945149.0,0.0,1.0
2020-06-29,427.11,428.48,416.032,424.2,424.2,2623877.0,0.0,1.0
2020-06-26,436.0,438.18,424.7129,426.92,426.92,3829731.0,0.0,1.0
2020-06-25,430.01,437.99,427.5801,436.95,436.95,2275241.0,0.0,1.0
2020-06-24,440.0,442.67,427.47,431.68,431.68,3329423.0,0.0,1.0
2020-06-23,440.07,446.15,436.01,440.55,440.55,3065927.0,0.0,1.0
2020-06-22,428.96,438.95,428.54,438.64,438.64,3156280.0,0.0,1.0
2020-06-19,423.76,429.27,419.65,428.01,428.01,3931569.0,0.0,1.0
2020-06-18,413.5,420.84,413.0,420.46,420.46,2578409.0,0.0,1.0
2020-06-17,414.0,417.46,411.36,413.49,413.49,2112320.0,0.0,1.0
2020-06-16,407.83,414.68,405.475,411.67,411.67,3766685.0,0.0,1.0
2020-06-15,398.8,406.11,397.0,401.34,401.34,3783968.0,0.0,1.0
2020-06-12,409.3,411.72,395.41,406.54,406.54,8332571.0,0.0,1.0
2020-06-11,400.0,404.2,387.37,387.67,387.67,4123651.0,0.0,1.0
2020-06-10,399.59,409.98,399.49,406.82,406.82,3611582.0,0.0,1.0
2020-06-09,397.03,402.31,394.15,397.16,397.16,2279327.0,0.0,1.0
2020-06-08,391.0,398.1,385.84,397.78,397.78,2592963.0,0.0,1.0
2020-06-05,384.64,396.17,382.0,392.9,392.9,2793982.0,0.0,1.0
2020-06-04,389.5,395.7201,382.28,385.8,385.8,2422986.0,0.0,1.0
2020-06-03,390.82,391.14,387.46,389.92,389.92,2537092.0,0.0,1.0
2020-06-02,389.92,390.91,382.03,390.44,390.44,2509555.0,0.0,1.0
2020-06-01,387.08,389.99,382.895,389.68,389.68,2035186.0,0.0,1.0
2020-05-29,382.62,389.05,377.075,386.6,386.6,5937467.0,0.0,1.0
2020-05-28,372.5,386.9,372.5,379.83,379.83,2904450.0,0.0,1.0
2020-05-27,373.24,375.7,361.44,375.17,375.17,3553278.0,0.0,1.0
2020-05-26,391.0,391.27,374.8103,376.63,376.63,3525983.0,0.0,1.0
2020-05-22,381.39,386.52,380.95,385.26,385.26,1688159.0,0.0,1.0
2020-05-21,382.0,385.12,380.6,382.17,382.17,2261384.0,0.0,1.0
2020-05-20,377.21,384.4,377.06,383.63,383.63,2824862.0,0.0,1.0
2020-05-19,369.88,376.0,368.89,372.2,372.2,2753685.0,0.0,1.0
2020-05-18,371.59,375.49,367.21,367.97,367.97,2352319.0,0.0,1.0
2020-05-15,351.57,365.48,351.53,365.3,365.3,2626904.0,0.0,1.0
2020-05-14,354.0,357.0,348.01,355.39,355.39,2752031.0,0.0,1.0
2020-05-13,366.45,367.43,352.71,358.56,358.56,3365501.0,0.0,1.0
2020-05-12,371.46,372.72,364.55,365.1,365.1,2071782.0,0.0,1.0
2020-05-11,365.84,373.63,364.5,371.42,371.42,2266282.0,0.0,1.0
2020-05-08,370.0,371.0999,365.41,367.51,367.51,2548366.0,0.0,1.0
2020-05-07,368.82,369.5,365.501,366.78,366.78,2466063.0,0.0,1.0
2020-05-06,357.92,366.79,357.1301,362.52,362.52,2319702.0,0.0,1.0
2020-05-05,353.38,359.7,352.39,356.13,356.13,2377555.0,0.0,1.0
2020-05-04,340.74,350.596,340.0,349.11,349.11,2372392.0,0.0,1.0
2020-05-01,347.24,350.3099,340.26,343.84,343.84,2578615.0,0.0,1.0
2020-04-30,348.01,356.23,346.55,353.64,353.64,3902173.0,0.0,1.0
2020-04-29,339.53,351.25,335.44,349.17,349.17,5006415.0,0.0,1.0
2020-04-28,353.09,353.45,332.57,333.45,333.45,3895571.0,0.0,1.0
2020-04-27,348.8,349.96,345.12,348.5,348.5,2375636.0,0.0,1.0
2020-04-24,338.0,344.7,333.5011,344.1,344.1,2146162.0,0.0,1.0
2020-04-23,338.9,341.75,334.8,335.37,335.37,2120251.0,0.0,1.0
2020-04-22,337.41,339.38,332.8006,336.77,336.77,2231819.0,0.0,1.0
2020-04-21,340.9,342.763,325.21,328.99,328.99,3548202.0,0.0,1.0
2020-04-20,340.79,348.5,338.75,344.88,344.88,2771970.0,0.0,1.0
2020-04-17,350.091,350.38,340.5,344.11,344.11,3342418.0,0.0,1.0
2020-04-16,339.71,345.515,336.035,342.7,342.7,3918632.0,0.0,1.0
2020-04-15,335.34,339.2242,329.645,332.55,332.55,2818631.0,0.0,1.0
2020-04-14,328.77,342.095,328.47,340.765,340.765,3858854.0,0.0,1.0
2020-04-13,315.94,320.9,313.75,320.65,320.65,1838954.0,0.0,1.0
2020-04-09,318.65,320.78,310.79,318.7,318.7,3300177.0,0.0,1.0
2020-04-08,313.88,317.72,308.2,317.18,317.18,4002545.0,0.0,1.0
2020-04-07,327.41,328.32,306.3,308.93,308.93,5422270.0,0.0,1.0
2020-04-06,306.56,320.51,299.955,319.13,319.13,5145092.0,0.0,1.0
2020-04-03,302.06,303.47,289.71,293.61,293.61,3934718.0,0.0,1.0
2020-04-02,297.76,306.5,293.18,303.96,303.96,3590071.0,0.0,1.0
2020-04-01,307.0,309.6105,298.32,301.21,301.21,3902957.0,0.0,1.0
2020-03-31,316.41,326.3344,312.68,318.24,318.24,6414549.0,0.0,1.0
2020-03-30,308.89,322.97,308.01,318.39,318.39,4340463.0,0.0,1.0
2020-03-27,311.7,314.2872,300.63,305.83,305.83,4862124.0,0.0,1.0
2020-03-26,305.99,324.43,305.69,322.67,322.67,4534399.0,0.0,1.0
2020-03-25,308.0,317.65,298.13,305.91,305.91,4830363.0,0.0,1.0
2020-03-24,322.96,326.99,301.59,310.0,310.0,6592213.0,0.0,1.0
2020-03-23,296.67,312.49,287.78,307.27,307.27,6016822.0,0.0,1.0
2020-03-20,312.92,324.8,293.77,295.34,295.34,7461753.0,0.0,1.0
2020-03-19,291.77,318.705,281.1,307.51,307.51,6023835.0,0.0,1.0
2020-03-18,290.0,296.87,255.1314,294.61,294.61,7278981.0,0.0,1.0
2020-03-17,291.2,312.95,278.35,311.81,311.81,6189140.0,0.0,1.0
2020-03-16,288.3558,307.11,283.25,286.03,286.03,7140139.0,0.0,1.0
2020-03-13,312.88,336.0,298.0001,335.5,335.5,8935220.0,0.0,1.0
2020-03-12,290.41,310.13,283.0001,285.0,285.0,7230152.0,0.0,1.0
2020-03-11,324.32,326.357,309.0,315.23,315.23,4874326.0,0.0,1.0
2020-03-10,318.98,332.94,309.31,332.38,332.38,5973672.0,0.0,1.0
2020-03-09,311.68,322.44,305.33,305.79,305.79,5291910.0,0.0,1.0
2020-03-06,340.45,344.1599,326.6,336.77,336.77,5622911.0,0.0,1.0
2020-03-05,355.06,360.45,347.19,351.03,351.03,3199006.0,0.0,1.0
2020-03-04,354.38,364.27,350.08,363.85,363.85,4146282.0,0.0,1.0
2020-03-03,361.76,364.95,344.04,348.34,348.34,4204501.0,0.0,1.0
2020-03-02,349.81,360.75,342.61,360.28,360.28,5398135.0,0.0,1.0
2020-02-28,324.42,345.46,324.0,345.12,345.12,6469131.0,0.0,1.0
2020-02-27,340.0,352.2396,337.27,337.52,337.52,4737676.0,0.0,1.0
2020-02-26,349.4,360.07,348.6,351.34,351.34,3494105.0,0.0,1.0
2020-02-25,361.0,363.97,346.28,347.8,347.8,4188112.0,0.0,1.0
2020-02-24,355.39,363.46,349.0,357.41,357.41,3924013.0,0.0,1.0
2020-02-21,378.02,378.34,368.75,372.95,372.95,2743135.0,0.0,1.0
2020-02-20,384.0,386.745,373.48,378.96,378.96,3789340.0,0.0,1.0
2020-02-19,383.83,385.0,381.48,383.28,383.28,2580455.0,0.0,1.0
2020-02-18,380.2,382.59,378.59,378.85,378.85,2074715.0,0.0,1.0
2020-02-14,376.28,379.83,375.85,379.67,379.67,1690561.0,0.0,1.0
2020-02-13,372.56,377.71,372.39,374.84,374.84,1917119.0,0.0,1.0
2020-02-12,370.64,374.425,367.1538,374.29,374.29,2355797.0,0.0,1.0
2020-02-11,373.03,373.7,367.25,369.28,369.28,2005005.0,0.0,1.0
2020-02-10,365.44,370.81,365.22,370.0,370.0,2427076.0,0.0,1.0
2020-02-07,366.0,369.34,364.38,366.09,366.09,2092872.0,0.0,1.0
2020-02-06,366.16,368.25,363.01,367.46,367.46,2224882.0,0.0,1.0
2020-02-05,373.99,374.475,362.31,365.55,365.55,2463385.0,0.0,1.0
2020-02-04,363.43,367.444,360.45,366.74,366.74,3052967.0,0.0,1.0
2020-02-03,353.41,358.67,352.29,358.0,358.0,2693989.0,0.0,1.0
2020-01-31,355.84,355.84,348.296,351.14,351.14,3692938.0,0.0,1.0
