,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,249.83,255.43,249.28,250.04,250.04,2511500.0,0.0,1.0
2020-07-10,250.65,251.57,247.07,249.04,249.04,1326200.0,0.0,1.0
2020-07-09,250.25,253.83,248.84,251.66,251.66,1739600.0,0.0,1.0
2020-07-08,253.15,253.98,249.25,251.59,251.59,1993700.0,0.0,1.0
2020-07-07,253.6,258.91,252.09,253.15,253.15,2365900.0,0.0,1.0
2020-07-06,260.03,264.97,253.9,256.25,256.25,3460400.0,0.0,1.0
2020-07-02,252.87,261.46,252.87,258.24,258.24,3338100.0,0.0,1.0
2020-07-01,235.52,256.23,232.58,255.12,255.12,6577000.0,0.0,1.0
2020-06-30,233.31,237.32,231.8,235.86,235.86,2589200.0,0.0,1.0
2020-06-29,233.4,234.14,229.98,231.56,231.56,1938200.0,0.0,1.0
2020-06-26,235.37,236.86,231.8227,232.84,232.84,3613263.0,0.0,1.0
2020-06-25,231.5,235.44,230.385,235.11,235.11,2080292.0,0.0,1.0
2020-06-24,235.21,237.0,231.4,232.51,232.51,1973255.0,0.0,1.0
2020-06-23,234.87,239.17,233.435,235.75,235.75,2171491.0,0.0,1.0
2020-06-22,236.31,237.65,233.06,234.19,234.19,2337012.0,0.0,1.0
2020-06-19,233.38,239.07,231.31,238.7,238.7,5319517.0,0.0,1.0
2020-06-18,226.86,231.48,225.68,230.32,230.32,2469861.0,0.0,1.0
2020-06-17,228.54,228.81,224.53,225.97,225.97,2751198.0,0.0,1.0
2020-06-16,222.83,228.875,222.62,226.87,226.87,2582329.0,0.0,1.0
2020-06-15,215.81,221.0,213.8601,219.78,219.78,2471769.0,0.0,1.0
2020-06-12,221.1,222.35,214.2,217.9,217.9,2426695.0,0.0,1.0
2020-06-11,228.06,229.78,218.67,218.9,218.9,3900729.0,0.0,1.0
2020-06-10,226.68,229.49,225.52,227.12,227.12,2851314.0,0.0,1.0
2020-06-09,226.0,228.31,224.57,224.9,224.9,2403581.0,0.0,1.0
2020-06-08,223.27,226.25,221.75,225.75,225.75,2270543.0,0.0,1.0
2020-06-05,219.7,225.9499,218.2,225.67,225.67,3714949.0,0.0,1.0
2020-06-04,220.77,223.45,219.21,220.88,220.88,2392798.0,0.0,1.0
2020-06-03,223.49,224.285,218.25,221.0,221.0,3660542.0,0.0,1.0
2020-06-02,225.8,226.36,222.58,223.72,223.72,3198896.0,0.0,1.0
2020-06-01,228.89,230.54,225.7083,226.91,226.91,1817709.0,0.0,1.0
2020-05-29,225.0,230.57,222.06,229.7,229.7,4251215.0,0.0,1.0
2020-05-28,226.26,226.62,222.25,224.13,224.13,2591060.0,0.0,1.0
2020-05-27,222.32,225.13,217.465,224.81,224.81,2932075.0,0.0,1.0
2020-05-26,227.53,228.35,221.73,222.4,222.4,2397794.0,0.0,1.0
2020-05-22,224.17,226.77,223.61,226.43,226.43,2334329.0,0.0,1.0
2020-05-21,228.11,228.24,224.0,224.78,224.78,2377709.0,0.0,1.0
2020-05-20,229.27,230.12,225.64,227.87,227.87,3714620.0,0.0,1.0
2020-05-19,232.64,233.435,227.17,227.43,227.43,3835753.0,0.0,1.0
2020-05-18,243.66,244.39,231.795,233.19,233.19,5631628.0,0.0,1.0
2020-05-15,234.43,240.43,233.8936,240.2,240.2,3111458.0,1.6,1.0
2020-05-14,235.95,238.97,233.8,237.98,236.4053,3322788.0,0.0,1.0
2020-05-13,235.22,243.94,235.22,236.83,235.2629,2292659.0,0.0,1.0
2020-05-12,242.68,244.5,237.05,237.21,235.6404,2240986.0,0.0,1.0
2020-05-11,233.07,243.49,232.51,242.74,241.1338,2163904.0,0.0,1.0
2020-05-08,234.95,235.73,231.6,234.82,233.2662,1534384.0,0.0,1.0
2020-05-07,236.9,237.965,232.1,233.33,231.786,2451212.0,0.0,1.0
2020-05-06,237.31,239.68,235.69,236.59,235.0245,1980563.0,0.0,1.0
2020-05-05,231.28,237.975,229.17,236.36,234.796,1975551.0,0.0,1.0
2020-05-04,232.44,232.92,228.1,230.91,229.3821,2035913.0,0.0,1.0
2020-05-01,233.0,237.05,228.0,230.98,229.4516,3045498.0,0.0,1.0
2020-04-30,236.02,240.07,231.91,239.22,237.6371,5704522.0,0.0,1.0
2020-04-29,238.9,239.31,235.24,235.69,234.1304,3365329.0,0.0,1.0
2020-04-28,243.0,244.95,236.86,237.67,236.0973,2548919.0,0.0,1.0
2020-04-27,236.63,243.0,235.0,242.43,240.8258,2472687.0,0.0,1.0
2020-04-24,234.04,236.93,230.8,236.28,234.7165,1946281.0,0.0,1.0
2020-04-23,229.09,235.65,228.8801,232.49,230.9516,3226457.0,0.0,1.0
2020-04-22,233.35,234.0,227.59,229.29,227.7728,2845168.0,0.0,1.0
2020-04-21,235.0,235.77,229.0006,230.75,229.2231,2672870.0,0.0,1.0
2020-04-20,234.2,239.56,232.39,236.6,235.0344,2824060.0,0.0,1.0
2020-04-17,236.83,236.99,229.215,234.97,233.4152,2864273.0,0.0,1.0
2020-04-16,225.0,232.1,223.22,230.9,229.3721,2617328.0,0.0,1.0
2020-04-15,224.99,225.5072,219.305,221.8,220.3323,3107124.0,0.0,1.0
2020-04-14,221.01,228.32,220.25,226.8,225.2993,3028974.0,0.0,1.0
2020-04-13,216.98,219.18,215.15,218.27,216.8257,2168055.0,0.0,1.0
2020-04-09,217.4,219.35,215.7,218.21,216.7661,2503361.0,0.0,1.0
2020-04-08,208.9,219.82,207.34,219.19,217.7396,2861876.0,0.0,1.0
2020-04-07,213.45,215.18,207.33,208.78,207.3985,2447461.0,0.0,1.0
2020-04-06,212.0,212.71,206.85,211.58,210.18,3702502.0,0.0,1.0
2020-04-03,207.43,209.75,203.03,205.41,204.0508,2281426.0,0.0,1.0
2020-04-02,196.2909,209.53,194.21,208.88,207.4978,3867332.0,0.0,1.0
2020-04-01,197.56,201.38,194.99,197.81,196.5011,2747906.0,0.0,1.0
2020-03-31,203.49,207.245,200.7,202.73,201.3885,2929128.0,0.0,1.0
2020-03-30,204.4732,209.45,200.05,208.48,207.1005,3218998.0,0.0,1.0
2020-03-27,194.42,205.87,194.01,198.27,196.958,4119780.0,0.0,1.0
2020-03-26,193.12,199.72,190.5,198.49,197.1766,5162547.0,0.0,1.0
2020-03-25,197.77,201.36,190.01,193.14,191.862,5301004.0,0.0,1.0
2020-03-24,191.47,202.85,190.01,202.34,201.0011,5288247.0,0.0,1.0
2020-03-23,188.89,191.955,177.05,185.93,184.6997,4396603.0,0.0,1.0
2020-03-20,198.89,201.97,186.0,188.25,187.0043,5727006.0,0.0,1.0
2020-03-19,201.0,208.75,195.27,198.76,197.4448,4796717.0,0.0,1.0
2020-03-18,198.56,210.9,196.7375,204.88,203.5243,5596663.0,0.0,1.0
2020-03-17,192.21,210.91,191.6532,207.8,206.425,5912873.0,0.0,1.0
2020-03-16,184.67,204.715,182.96,188.68,187.4315,4932563.0,0.0,1.0
2020-03-13,189.76,203.17,188.52,202.1,200.7627,6903858.0,0.0,1.0
2020-03-12,184.63,196.26,181.765,182.24,181.0341,4902612.0,0.0,1.0
2020-03-11,201.0,203.92,195.81,198.65,197.3355,3777570.0,0.0,1.0
2020-03-10,203.36,207.1,194.67,206.8,205.4316,3928777.0,0.0,1.0
2020-03-09,197.74,203.62,190.75,198.37,197.0574,4065565.0,0.0,1.0
2020-03-06,203.97,211.61,203.82,210.65,209.2561,3100544.0,0.0,1.0
2020-03-05,207.66,216.39,207.58,212.12,210.7164,3185407.0,0.0,1.0
2020-03-04,209.53,215.29,207.62,215.11,213.6866,3880450.0,0.0,1.0
2020-03-03,210.34,216.16,202.66,204.42,203.0673,3975261.0,0.0,1.0
2020-03-02,199.9,212.37,198.71,212.2,210.7959,4245732.0,0.0,1.0
2020-02-28,198.05,203.0,195.18,199.73,198.4084,5316456.0,0.0,1.0
2020-02-27,214.92,215.28,203.22,203.5,202.1534,4071060.0,0.0,1.0
2020-02-26,216.18,216.7,212.02,214.54,213.1204,3313975.0,0.0,1.0
2020-02-25,218.08,219.56,209.82,210.38,208.9879,3915518.0,0.0,1.0
2020-02-24,219.88,223.99,215.76,217.88,216.4383,3049587.0,0.0,1.0
2020-02-21,222.24,223.8,220.99,222.79,221.3158,2047484.0,0.0,1.0
2020-02-20,223.2,223.4795,218.51,222.14,220.6701,1637976.0,0.0,1.0
2020-02-19,222.94,224.05,222.05,222.96,221.4847,1322884.0,0.0,1.0
2020-02-18,224.15,224.35,220.92,221.69,220.2231,1936402.0,0.0,1.0
2020-02-14,222.93,223.49,221.34,223.48,222.0012,1611960.0,0.0,1.0
2020-02-13,224.99,226.52,222.82,223.04,221.5641,1946511.0,1.6,1.0
2020-02-12,229.47,230.23,225.88,227.0,223.8918,2501250.0,0.0,1.0
2020-02-11,227.7,229.465,226.795,228.96,225.825,1934539.0,0.0,1.0
2020-02-10,228.15,228.96,226.26,227.42,224.3061,2144696.0,0.0,1.0
2020-02-07,231.41,232.18,227.67,229.33,226.1899,2295149.0,0.0,1.0
2020-02-06,233.72,233.89,229.34,231.45,228.2809,2007526.0,0.0,1.0
2020-02-05,223.74,234.64,223.74,231.94,228.7642,3669477.0,0.0,1.0
2020-02-04,220.77,223.85,220.48,221.81,218.7729,2765342.0,0.0,1.0
2020-02-03,216.39,219.62,215.56,216.88,213.9104,2565440.0,0.0,1.0
2020-01-31,218.7635,219.08,210.01,216.05,213.0918,5968931.0,0.0,1.0
2020-01-30,226.0,226.97,223.31,226.15,223.0535,2581606.0,0.0,1.0
2020-01-29,225.5,228.93,225.0,227.15,224.0398,2001389.0,0.0,1.0
2020-01-28,223.57,226.7,222.85,224.84,221.7614,2103970.0,0.0,1.0
2020-01-27,223.68,224.93,221.17,222.95,219.8973,2843551.0,0.0,1.0
2020-01-24,235.8,235.88,224.5,225.59,222.5011,5020236.0,0.0,1.0
2020-01-23,237.06,237.06,233.07,235.04,231.8217,2088691.0,0.0,1.0
2020-01-22,238.75,239.7,235.755,236.75,233.5083,1998233.0,0.0,1.0
2020-01-21,240.97,242.01,237.26,237.6,234.3467,3071079.0,0.0,1.0
2020-01-17,242.11,242.14,239.27,241.49,238.1834,2582849.0,0.0,1.0
2020-01-16,242.18,243.85,239.845,240.5,237.207,2085686.0,0.0,1.0
2020-01-15,240.67,242.6,240.05,241.7,238.3905,1920726.0,0.0,1.0
2020-01-14,235.8,240.68,235.17,240.0,236.7138,2239061.0,0.0,1.0
2020-01-13,238.26,238.33,234.79,236.92,233.676,1971237.0,0.0,1.0
2020-01-10,238.68,240.93,237.61,238.26,234.9976,1777614.0,0.0,1.0
2020-01-09,239.69,239.69,237.97,238.93,235.6585,1628950.0,0.0,1.0
2020-01-08,237.93,239.58,236.61,238.22,234.9582,2214850.0,0.0,1.0
2020-01-07,239.31,240.0,237.59,238.04,234.7807,1522109.0,0.0,1.0
2020-01-06,237.2,240.45,236.56,240.3,237.0097,1802823.0,0.0,1.0
2020-01-03,237.1635,240.26,236.2435,238.47,235.2048,1879024.0,0.0,1.0
2020-01-02,243.0,243.19,238.98,240.1,236.8125,1901323.0,0.0,1.0
2019-12-31,240.28,241.46,238.5,241.07,237.7692,1748329.0,0.0,1.0
2019-12-30,241.4,242.98,239.4,240.27,236.9801,1454466.0,0.0,1.0
2019-12-27,242.24,242.99,240.16,241.53,238.2229,1084967.0,0.0,1.0
2019-12-26,242.72,243.64,241.32,241.9,238.5878,1098813.0,0.0,1.0
2019-12-24,242.82,243.1,241.72,242.33,239.0119,612809.0,0.0,1.0
2019-12-23,243.98,244.0,241.59,243.03,239.7023,1686220.0,0.0,1.0
2019-12-20,244.57,244.57,240.7,243.06,239.7319,5093604.0,0.0,1.0
2019-12-19,242.78,243.3,239.93,241.84,238.5286,2305894.0,0.0,1.0
2019-12-18,242.21,243.22,241.015,241.94,238.6273,2956658.0,0.0,1.0
2019-12-17,243.58,244.99,241.28,242.84,239.5149,2382462.0,0.0,1.0
2019-12-16,239.5,244.53,239.5,243.2,239.87,3047750.0,0.0,1.0
2019-12-13,235.6,238.12,235.14,236.74,233.4985,2041194.0,0.0,1.0
2019-12-12,234.58,237.24,234.06,235.99,232.7587,1851696.0,0.0,1.0
2019-12-11,234.03,234.97,233.03,234.01,230.8058,1754093.0,0.0,1.0
2019-12-10,231.92,235.12,231.51,233.84,230.6382,1494839.0,0.0,1.0
2019-12-09,234.96,235.05,232.63,232.82,229.6321,1912994.0,0.0,1.0
2019-12-06,234.68,235.0,233.19,233.77,230.5691,1860926.0,0.0,1.0
2019-12-05,233.69,233.765,231.46,233.41,230.2141,2083616.0,0.0,1.0
2019-12-04,232.73,234.89,232.0,233.88,230.6776,1908545.0,0.0,1.0
2019-12-03,231.48,233.18,230.78,232.77,229.5828,1933600.0,0.0,1.0
