,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,262.74,264.69,254.51,255.93,255.93,1791700.0,0.0,1.0
2020-07-10,266.5,267.6,263.1,264.35,264.35,911400.0,0.0,1.0
2020-07-09,262.98,266.97,260.41,265.6,265.6,1143400.0,0.0,1.0
2020-07-08,266.83,269.37,261.53,264.7,264.7,1389000.0,0.0,1.0
2020-07-07,264.02,269.73,262.59,265.97,265.97,1289800.0,0.0,1.0
2020-07-06,268.0,268.95,264.57,265.97,265.97,1502600.0,0.0,1.0
2020-07-02,268.05,268.63,262.53,264.21,264.21,1175700.0,0.0,1.0
2020-07-01,259.32,266.71,258.15,265.39,265.39,1229900.0,0.0,1.0
2020-06-30,254.25,259.12,253.12,258.54,258.54,1980300.0,0.0,1.0
2020-06-29,250.04,254.46,247.5,253.8,253.8,1638200.0,0.0,1.0
2020-06-26,254.07,258.09,244.02,246.48,246.48,3267794.0,0.0,1.0
2020-06-25,254.28,255.94,250.581,254.36,254.36,2648736.0,0.0,1.0
2020-06-24,262.25,263.178,250.27,254.18,254.18,3474068.0,0.0,1.0
2020-06-23,266.13,266.82,262.01,264.5,264.5,1941449.0,0.0,1.0
2020-06-22,264.16,266.84,261.12,264.6,264.6,2034301.0,0.0,1.0
2020-06-19,261.51,265.87,256.4235,265.6,265.6,6193121.0,0.0,1.0
2020-06-18,260.51,262.03,256.5375,257.6,257.6,1775524.0,1.1,1.0
2020-06-17,267.15,268.4,263.78,263.97,262.8476,1380070.0,0.0,1.0
2020-06-16,268.58,268.8,261.0,264.78,263.6541,1837503.0,0.0,1.0
2020-06-15,252.11,263.08,252.0,262.49,261.3739,1532428.0,0.0,1.0
2020-06-12,256.72,259.0,253.96,258.08,256.9826,1436528.0,0.0,1.0
2020-06-11,262.82,263.5899,251.07,251.51,250.4406,2548854.0,0.0,1.0
2020-06-10,266.51,269.03,263.2291,265.34,264.2118,1602632.0,0.0,1.0
2020-06-09,266.7,267.08,264.35,265.76,264.63,2690951.0,0.0,1.0
2020-06-08,265.0,269.12,264.3,266.88,265.7452,2095606.0,0.0,1.0
2020-06-05,263.73,265.91,260.58,264.89,263.7637,2336800.0,0.0,1.0
2020-06-04,264.09,266.91,256.51,259.72,258.6157,1997589.0,0.0,1.0
2020-06-03,264.93,269.25,263.6,267.39,266.253,1802204.0,0.0,1.0
2020-06-02,264.51,265.5896,259.7375,263.59,262.4692,1809774.0,0.0,1.0
2020-06-01,258.03,266.781,255.52,264.31,263.1861,2035018.0,0.0,1.0
2020-05-29,257.16,258.97,254.085,258.17,257.0723,2138616.0,0.0,1.0
2020-05-28,255.62,259.47,253.52,258.12,257.0225,2190919.0,0.0,1.0
2020-05-27,245.61,252.94,241.83,252.01,250.9384,2310884.0,0.0,1.0
2020-05-26,248.59,248.6754,240.14,243.93,242.8928,2833641.0,0.0,1.0
2020-05-22,228.54,242.6,227.41,242.43,241.3992,2812237.0,0.0,1.0
2020-05-21,229.39,230.48,227.12,228.16,227.1899,1263221.0,0.0,1.0
2020-05-20,231.98,232.66,228.92,230.14,229.1614,1346594.0,0.0,1.0
2020-05-19,235.08,236.8505,229.66,229.97,228.9922,1542336.0,0.0,1.0
2020-05-18,236.07,238.14,232.07,236.03,235.0264,1792845.0,0.0,1.0
2020-05-15,228.35,229.97,223.83,229.58,228.6038,2246813.0,0.0,1.0
2020-05-14,229.38,231.0,224.76,229.62,228.6436,2112424.0,0.0,1.0
2020-05-13,231.26,237.08,229.39,231.15,230.1671,2200639.0,0.0,1.0
2020-05-12,239.36,240.25,230.74,231.69,230.7048,1852479.0,0.0,1.0
2020-05-11,236.08,242.93,234.48,238.23,237.217,2040604.0,0.0,1.0
2020-05-08,237.65,240.25,236.68,238.36,237.3465,1879699.0,0.0,1.0
2020-05-07,239.18,239.67,235.03,235.25,234.2497,2548933.0,0.0,1.0
2020-05-06,240.86,242.24,236.79,237.26,236.2512,1441421.0,0.0,1.0
2020-05-05,237.68,243.55,237.68,240.26,239.2384,1421209.0,0.0,1.0
2020-05-04,237.39,237.5,228.11,236.63,235.6238,1642733.0,0.0,1.0
2020-05-01,233.24,235.9,232.59,234.2,233.2042,1896830.0,0.0,1.0
2020-04-30,234.11,239.09,232.71,238.0,236.988,3409752.0,0.0,1.0
2020-04-29,251.02,251.02,235.67,236.81,235.8031,3505682.0,0.0,1.0
2020-04-28,255.25,255.8,242.72,243.53,242.4945,2091889.0,0.0,1.0
2020-04-27,247.0,252.29,245.24,250.22,249.1561,1557452.0,0.0,1.0
2020-04-24,250.28,251.49,243.77,244.61,243.5699,1775554.0,0.0,1.0
2020-04-23,252.19,254.8114,248.14,248.6,247.5429,1419157.0,0.0,1.0
2020-04-22,246.23,255.11,245.56,252.98,251.9043,2041449.0,0.0,1.0
2020-04-21,245.21,245.87,239.1,242.0,240.971,1925355.0,0.0,1.0
2020-04-20,252.03,253.0,248.51,248.68,247.6226,1281769.0,0.0,1.0
2020-04-17,256.56,257.77,248.08,254.06,252.9797,2327891.0,0.0,1.0
2020-04-16,249.59,252.72,247.55,251.78,250.7094,1640591.0,0.0,1.0
2020-04-15,252.93,252.98,243.21,247.49,246.4377,1909737.0,0.0,1.0
2020-04-14,255.08,257.66,252.52,255.1,254.0153,2011656.0,0.0,1.0
2020-04-13,256.7,257.35,246.76,249.76,248.698,1830203.0,1.08,1.0
2020-04-09,248.5,260.43,248.1958,259.6,257.3832,4330804.0,0.0,1.0
2020-04-08,229.64,249.65,228.0,249.25,247.1216,3327432.0,0.0,1.0
2020-04-07,241.11,243.88,227.03,227.77,225.825,2226096.0,0.0,1.0
2020-04-06,228.02,236.22,227.0,235.18,233.1717,3050323.0,0.0,1.0
2020-04-03,219.16,223.75,216.82,222.8,220.8975,2857967.0,0.0,1.0
2020-04-02,207.0,221.09,205.59,220.75,218.865,3993125.0,0.0,1.0
2020-04-01,205.81,213.4,202.03,206.97,205.2026,3771958.0,0.0,1.0
2020-03-31,228.46,230.0,215.915,217.75,215.8906,4629660.0,0.0,1.0
2020-03-30,222.68,231.97,221.34,230.58,228.611,2581577.0,0.0,1.0
2020-03-27,216.19,222.04,211.73,218.48,216.6143,3367099.0,0.0,1.0
2020-03-26,198.15,226.2925,198.0,222.2,220.3026,3413331.0,0.0,1.0
2020-03-25,188.9,208.54,186.025,199.26,197.5585,3200537.0,0.0,1.0
2020-03-24,187.79,193.85,179.25,190.27,188.6452,4221419.0,0.0,1.0
2020-03-23,196.0,196.27,174.32,179.09,177.5607,3890145.0,0.0,1.0
2020-03-20,207.0,209.9999,192.37,195.39,193.7215,3940906.0,0.0,1.0
2020-03-19,217.57,219.78,201.5221,209.0,207.2153,3847773.0,0.0,1.0
2020-03-18,210.0,235.84,206.17,217.14,215.2858,4175964.0,0.0,1.0
2020-03-17,210.17,234.9,203.63,227.53,225.5871,4527105.0,0.0,1.0
