,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,321.68,323.53,310.58,311.31,311.31,2114200.0,0.0,1.0
2020-07-10,321.91,322.99,315.44,319.44,319.44,1328100.0,0.0,1.0
2020-07-09,320.01,324.33,315.25,321.5,321.5,2522800.0,0.0,1.0
2020-07-08,316.14,319.84,314.12,319.57,319.57,1802300.0,0.0,1.0
2020-07-07,317.34,318.16,312.55,313.12,313.12,1615300.0,0.0,1.0
2020-07-06,320.0,320.99,317.34,318.79,318.79,1756100.0,0.0,1.0
2020-07-02,317.75,319.38,314.66,315.47,315.47,1666600.0,0.0,1.0
2020-07-01,315.11,316.85,311.94,312.73,312.73,1566800.0,0.0,1.0
2020-06-30,309.95,317.07,306.75,315.61,315.61,2512500.0,0.0,1.0
2020-06-29,308.07,310.41,304.45,309.78,309.78,1451600.0,0.0,1.0
2020-06-26,314.42,315.7799,303.15,307.41,307.41,3142534.0,0.0,1.0
2020-06-25,306.06,309.48,303.0,308.85,308.85,1503011.0,0.0,1.0
2020-06-24,309.2,310.97,304.51,306.97,306.97,1909729.0,0.0,1.0
2020-06-23,315.06,317.44,311.29,311.3,311.3,2241898.0,0.0,1.0
2020-06-22,305.5,314.18,303.53,313.54,313.54,2719472.0,0.0,1.0
2020-06-19,317.68,318.1,302.77,302.77,302.77,5846464.0,3.25,1.0
2020-06-18,312.12,319.1184,311.52,318.71,315.3252,3362457.0,0.0,1.0
2020-06-17,313.42,316.71,311.79,313.44,310.1112,2027921.0,0.0,1.0
2020-06-16,310.0,314.55,304.0,310.72,307.4201,3040010.0,0.0,1.0
2020-06-15,295.0,306.75,292.41,304.09,300.8605,2987229.0,0.0,1.0
2020-06-12,302.82,303.95,292.73,300.25,297.0613,3943917.0,0.0,1.0
2020-06-11,307.62,308.55,293.4,293.75,290.6303,4511477.0,0.0,1.0
2020-06-10,316.65,319.21,314.7,315.04,311.6942,2591365.0,0.0,1.0
2020-06-09,312.0,318.88,311.57,315.32,311.9712,2233477.0,0.0,1.0
2020-06-08,317.5,318.84,313.36,317.52,314.1479,2391610.0,0.0,1.0
2020-06-05,319.7,328.11,315.09,317.08,313.7125,5096195.0,0.0,1.0
2020-06-04,305.75,313.0,302.1,308.89,305.6095,3499739.0,0.0,1.0
2020-06-03,301.05,310.85,300.51,309.53,306.2427,3192583.0,0.0,1.0
2020-06-02,291.03,298.32,290.09,298.06,294.8945,3184692.0,0.0,1.0
2020-06-01,290.42,291.1,287.37,289.99,286.9102,1844788.0,0.0,1.0
2020-05-29,282.9,292.0,281.91,291.27,288.1766,2732383.0,0.0,1.0
2020-05-28,285.0,289.3,282.43,283.14,280.133,1855517.0,0.0,1.0
2020-05-27,283.02,287.8,280.0,287.59,284.5357,2281161.0,0.0,1.0
2020-05-26,285.0,287.09,281.39,282.02,279.0249,2357286.0,0.0,1.0
2020-05-22,273.74,277.25,270.505,276.65,273.7119,1745284.0,0.0,1.0
2020-05-21,278.92,279.5,274.65,274.8,271.8816,1484895.0,0.0,1.0
