,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,24.37,24.51,23.855,24.19,24.19,73479199.0,0.0,1.0
2020-07-10,22.71,24.05,22.68,24.02,24.02,81054500.0,0.0,1.0
2020-07-09,22.94,23.16,22.39,22.77,22.77,79270400.0,0.0,1.0
2020-07-08,23.03,23.19,22.7,23.1,23.1,52872000.0,0.0,1.0
2020-07-07,23.38,23.39,22.9,23.01,23.01,60581900.0,0.0,1.0
2020-07-06,23.82,24.08,23.46,23.66,23.66,60131500.0,0.0,1.0
2020-07-02,23.84,23.99,23.22,23.29,23.29,55921997.0,0.0,1.0
2020-07-01,24.03,24.07,23.23,23.26,23.26,57266040.0,0.0,1.0
2020-06-30,23.2,23.91,23.0999,23.75,23.75,61636299.0,0.0,1.0
2020-06-29,23.41,23.835,23.1,23.39,23.39,66077872.0,0.0,1.0
2020-06-26,24.09,24.11,23.02,23.15,23.15,117996699.0,0.0,1.0
2020-06-25,23.7,24.77,23.55,24.72,24.72,64677053.0,0.0,1.0
2020-06-24,24.54,24.54,23.68,23.81,23.81,75325328.0,0.0,1.0
2020-06-23,25.01,25.41,24.76,24.79,24.79,45950552.0,0.0,1.0
2020-06-22,24.89,25.025,24.61,24.62,24.62,55325897.0,0.0,1.0
2020-06-19,25.44,25.49,24.49,25.25,25.25,124877103.0,0.0,1.0
2020-06-18,24.7,25.49,24.58,25.04,25.04,53235870.0,0.0,1.0
2020-06-17,25.9,25.9,24.92,25.0,25.0,58198883.0,0.0,1.0
2020-06-16,26.18,26.24,24.86,25.8,25.8,96665514.0,0.0,1.0
2020-06-15,23.76,25.17,23.69,25.15,25.15,76340692.0,0.0,1.0
2020-06-12,25.03,25.05,24.04,24.78,24.78,73676135.0,0.0,1.0
2020-06-11,24.98,25.69,23.68,23.93,23.93,149662157.0,0.0,1.0
2020-06-10,27.97,28.1,26.51,26.6,26.6,90001015.0,0.0,1.0
2020-06-09,27.72,28.54,27.55,28.22,28.22,77626623.0,0.0,1.0
2020-06-08,28.59,28.9,28.14,28.54,28.54,79384297.0,0.0,1.0
2020-06-05,28.95,29.01,27.88,28.11,28.11,118686441.0,0.0,1.0
2020-06-04,25.71,26.83,25.57,26.78,26.78,94415472.0,0.18,1.0
2020-06-03,25.5,26.14,25.385,25.99,25.8165,86567025.0,0.0,1.0
2020-06-02,24.96,25.39,24.56,24.84,24.6742,70987997.0,0.0,1.0
2020-06-01,24.28,24.87,24.05,24.61,24.4457,58374271.0,0.0,1.0
2020-05-29,24.42,24.91,24.06,24.12,23.959,113805249.0,0.0,1.0
2020-05-28,26.08,26.14,24.79,24.86,24.694,84327068.0,0.0,1.0
2020-05-27,26.07,26.17,24.97,25.98,25.8065,117473564.0,0.0,1.0
2020-05-26,23.75,24.6,23.67,24.28,24.1179,119384595.0,0.0,1.0
