,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,57.57,58.49,57.5,57.75,57.75,9884600.0,0.0,1.0
2020-07-10,58.0,58.09,57.16,57.43,57.43,8769200.0,0.0,1.0
2020-07-09,59.66,60.14,57.83,58.11,58.11,12779800.0,0.0,1.0
2020-07-08,60.32,60.68,59.28,59.56,59.56,10506200.0,0.0,1.0
2020-07-07,59.76,60.61,59.52,60.29,60.29,12766600.0,0.0,1.0
2020-07-06,59.6,60.58,58.87,60.19,60.19,8810100.0,0.0,1.0
2020-07-02,59.3,59.64,58.75,59.14,59.14,11362900.0,0.45,1.0
2020-07-01,59.19,59.73,58.88,59.43,58.9812,11738300.0,0.0,1.0
2020-06-30,57.86,59.2,57.5,58.8,58.356,12137800.0,0.0,1.0
2020-06-29,57.99,58.14,57.31,57.8,57.3635,9827800.0,0.0,1.0
2020-06-26,57.96,58.02,56.67,57.54,57.1055,26131800.0,0.0,1.0
2020-06-25,58.01,58.47,57.7,58.18,57.7406,15266500.0,0.0,1.0
2020-06-24,58.11,58.21,57.11,57.76,57.3238,11171900.0,0.0,1.0
2020-06-23,57.94,59.1,57.82,58.38,57.9391,15555000.0,0.0,1.0
2020-06-22,56.24,57.69,55.92,57.56,57.1253,18712800.0,0.0,1.0
2020-06-19,56.7,56.83,54.73,56.41,55.984,54134600.0,0.0,1.0
2020-06-18,56.57,56.62,55.58,55.97,55.5473,14106000.0,0.0,1.0
2020-06-17,57.21,57.36,56.71,56.95,56.5199,13636900.0,0.0,1.0
2020-06-16,55.93,57.29,55.5,57.06,56.6291,16973600.0,0.0,1.0
2020-06-15,55.64,55.78,54.07,55.1,54.6839,21584600.0,0.0,1.0
2020-06-12,57.59,57.65,55.59,56.17,55.7458,14860400.0,0.0,1.0
2020-06-11,59.9,60.28,56.4,56.71,56.2817,17367200.0,0.0,1.0
2020-06-10,61.24,61.42,59.9,60.16,59.7057,13321700.0,0.0,1.0
2020-06-09,61.75,62.17,60.93,60.93,60.4699,12159200.0,0.0,1.0
2020-06-08,60.6,61.43,60.4,61.43,60.9661,12548100.0,0.0,1.0
