,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-10,178.26,182.96,178.09,182.9,182.9,5491500.0,0.0,1.0
2020-07-09,181.79,181.88,177.77,178.8,178.8,5420400.0,0.0,1.0
2020-07-08,180.42,182.31,179.77,181.2,181.2,5546900.0,0.0,1.0
2020-07-07,182.02,182.49,180.6,181.15,181.15,4952100.0,0.0,1.0
2020-07-06,183.1,183.52,181.59,182.72,182.72,6443100.0,0.0,1.0
2020-07-02,180.45,180.94,178.24,178.83,178.83,5163155.0,0.0,1.0
2020-07-01,178.41,180.45,177.34,177.99,177.99,4626037.0,0.0,1.0
2020-06-30,176.75,179.12,176.51,178.51,178.51,6763796.0,0.0,1.0
2020-06-29,175.9,177.22,175.33,177.19,177.19,5218147.0,0.0,1.0
2020-06-26,176.71,178.7,174.63,175.37,175.37,14772081.0,0.0,1.0
2020-06-25,176.58,179.7195,176.06,178.85,178.85,6379875.0,0.0,1.0
2020-06-24,179.61,179.65,177.26,177.53,177.53,8080667.0,0.0,1.0
2020-06-23,181.87,182.39,180.4,181.01,181.01,6376793.0,0.0,1.0
2020-06-22,179.55,181.8,178.87,180.17,180.17,5815214.0,0.0,1.0
2020-06-19,183.5,183.88,179.01,179.72,179.72,8767923.0,0.0,1.0
2020-06-18,179.9,181.36,179.04,180.73,180.73,4920395.0,0.0,1.0
2020-06-17,183.03,183.15,180.11,180.86,180.86,6448220.0,0.0,1.0
2020-06-16,186.55,186.7,179.75,182.3,182.3,9405821.0,0.0,1.0
2020-06-15,177.0,181.7699,176.05,181.55,181.55,8100581.0,0.0,1.0
2020-06-12,184.02,184.02,178.22,181.21,181.21,9476707.0,0.0,1.0
2020-06-11,185.0,186.9296,177.93,178.02,178.02,15370445.0,0.0,1.0
2020-06-10,195.85,196.34,191.37,191.51,191.51,7337198.0,0.0,1.0
2020-06-09,197.15,198.79,195.83,196.07,196.07,7711518.0,0.0,1.0
2020-06-08,202.34,203.33,199.56,201.56,201.56,6692733.0,0.0,1.0
2020-06-05,197.88,201.49,196.22,200.66,200.66,10390227.0,0.0,1.0
2020-06-04,190.41,192.11,189.69,192.05,192.05,5809751.0,0.0,1.0
2020-06-03,188.75,191.62,187.81,190.82,190.82,6706647.0,0.0,1.0
2020-06-02,183.99,186.44,183.99,185.94,185.94,5802525.0,0.0,1.0
2020-06-01,185.53,185.71,183.185,183.84,183.84,5718660.0,0.0,1.0
2020-05-29,183.08,185.87,182.53,185.58,185.58,10627904.0,0.0,1.0
2020-05-28,187.24,187.28,183.92,185.1,185.1,6313082.0,0.0,1.0
2020-05-27,184.665,185.98,183.8,185.77,185.77,7409617.0,0.0,1.0
2020-05-26,179.99,181.69,178.68,180.34,180.34,7107621.0,0.0,1.0
2020-05-22,174.86,175.12,173.21,174.93,174.93,3584419.0,0.0,1.0
2020-05-21,175.74,176.65,174.47,174.94,174.94,4058688.0,0.0,1.0
2020-05-20,174.61,176.87,174.29,176.02,176.02,5454962.0,0.0,1.0
2020-05-19,174.12,174.87,172.34,172.49,172.49,5574853.0,0.0,1.0
2020-05-18,174.0,176.87,172.3091,175.46,175.46,7458882.0,0.0,1.0
2020-05-15,169.82,170.66,168.52,169.25,169.25,5935801.0,0.0,1.0
2020-05-14,168.8,171.4,167.0401,170.93,170.93,7013498.0,0.0,1.0
2020-05-13,172.0,172.61,169.44,170.57,170.57,10258727.0,0.0,1.0
2020-05-12,175.2,175.7149,172.73,172.81,172.81,6468070.0,0.0,1.0
2020-05-11,175.23,175.96,173.61,174.64,174.64,9234381.0,0.0,1.0
2020-05-08,176.71,177.26,174.28,176.83,176.83,5793077.0,0.0,1.0
2020-05-07,173.4,175.38,173.05,173.48,173.48,6697430.0,0.0,1.0
2020-05-06,176.94,177.04,172.34,172.38,172.38,9002090.0,0.0,1.0
2020-05-05,180.045,180.23,175.93,176.03,176.03,9015576.0,0.0,1.0
2020-05-04,179.78,180.36,176.3401,177.95,177.95,9446043.0,0.0,1.0
2020-05-01,185.21,185.89,181.64,182.67,182.67,7539739.0,0.0,1.0
2020-04-30,188.3,189.87,186.71,187.36,187.36,8214501.0,0.0,1.0
2020-04-29,190.64,192.68,188.93,189.61,189.61,7643565.0,0.0,1.0
2020-04-28,190.54,191.0,187.0,187.12,187.12,6673426.0,0.0,1.0
2020-04-27,187.78,189.37,186.35,187.46,187.46,6621264.0,0.0,1.0
2020-04-24,187.08,187.28,184.42,186.52,186.52,5205268.0,0.0,1.0
2020-04-23,186.99,187.35,184.5,185.63,185.63,6211830.0,0.0,1.0
2020-04-22,186.46,187.37,185.34,186.58,186.58,5469905.0,0.0,1.0
2020-04-21,184.17,185.78,183.28,183.48,183.48,5881738.0,0.0,1.0
2020-04-20,188.72,189.35,187.3,188.75,188.75,6474710.0,0.0,1.0
2020-04-17,192.89,192.9,189.02,191.2,191.2,8271714.0,0.0,1.0
2020-04-16,188.9,188.99,185.8,187.96,187.96,6226325.0,0.0,1.0
2020-04-15,188.56,189.59,187.47,188.57,188.57,6138282.0,0.0,1.0
2020-04-14,193.88,194.16,190.82,192.94,192.94,7031471.0,0.0,1.0
2020-04-13,193.85,193.85,186.08,188.77,188.77,7879055.0,0.0,1.0
2020-04-09,194.0,197.23,191.45,193.84,193.84,10519489.0,0.0,1.0
2020-04-08,187.55,191.42,185.14,191.01,191.01,6108569.0,0.0,1.0
2020-04-07,191.99,192.0,184.9,185.25,185.25,8148080.0,0.0,1.0
2020-04-06,184.61,186.41,180.49,185.24,185.24,9934828.0,0.0,1.0
2020-04-03,178.59,180.22,175.44,178.34,178.34,6642964.0,0.0,1.0
2020-04-02,175.0,180.31,174.225,179.73,179.73,7271318.0,0.0,1.0
2020-04-01,176.18,178.67,174.19,175.95,175.95,8681716.0,0.0,1.0
2020-03-31,182.05,186.17,180.57,182.83,182.83,8995618.0,0.0,1.0
2020-03-30,180.04,184.11,178.0,183.18,183.18,7672228.0,0.0,1.0
2020-03-27,178.5,184.24,176.72,179.66,179.66,10258794.0,0.0,1.0
2020-03-26,181.29,184.96,179.59,183.9,183.9,14126526.0,0.0,1.0
2020-03-25,180.01,189.07,175.17,180.47,180.47,13842256.0,0.0,1.0
2020-03-24,170.91,179.14,169.53,178.2,178.2,14063092.0,0.0,1.0
2020-03-23,165.3,166.69,159.5,162.13,162.13,16499448.0,0.0,1.0
2020-03-20,176.3,177.18,167.2945,170.06,170.06,15213212.0,0.0,1.0
2020-03-19,170.21,176.18,166.0,174.68,174.68,12487528.0,0.0,1.0
2020-03-18,177.29,181.39,167.0,172.44,172.44,16667224.0,0.0,1.0
2020-03-17,181.88,187.81,177.0,187.6,187.6,15071785.0,0.0,1.0
2020-03-16,174.0,188.38,173.62,177.77,177.77,14167115.0,0.0,1.0
2020-03-13,187.45,196.5,178.41,196.4,196.4,14853193.0,0.0,1.0
2020-03-12,183.6,187.6699,175.0,175.97,175.97,22290153.0,0.0,1.0
2020-03-11,197.32,198.13,192.87,194.64,194.64,9525417.0,0.0,1.0
2020-03-10,201.35,202.86,195.0517,202.73,202.73,10929047.0,0.0,1.0
2020-03-09,195.0,198.479,192.26,193.13,193.13,13948049.0,0.0,1.0
2020-03-06,203.48,207.41,202.35,205.98,205.98,9442997.0,0.0,1.0
2020-03-05,212.55,212.75,207.01,208.96,208.96,8112657.0,0.0,1.0
2020-03-04,212.14,218.34,209.26,217.86,217.86,7408382.0,0.0,1.0
2020-03-03,217.39,218.15,206.2,208.81,208.81,10716012.0,0.0,1.0
2020-03-02,207.25,218.8,204.4339,217.63,217.63,10395757.0,0.0,1.0
2020-02-28,201.92,206.44,199.68,206.34,206.34,15147022.0,0.0,1.0
2020-02-27,212.9,214.38,207.28,207.67,207.67,10938925.0,0.0,1.0
2020-02-26,219.65,220.63,215.94,216.06,216.06,6901167.0,0.0,1.0
2020-02-25,222.2,223.24,216.76,218.05,218.05,8558625.0,0.0,1.0
2020-02-24,221.31,223.94,220.27,221.69,221.69,7932200.0,0.0,1.0
2020-02-21,227.53,230.07,226.98,229.33,229.33,4698517.0,0.0,1.0
2020-02-20,229.76,229.79,227.15,228.17,228.17,3547661.0,0.0,1.0
2020-02-19,227.68,229.71,226.93,229.24,229.24,3186980.0,0.0,1.0
2020-02-18,226.39,227.38,225.27,226.77,226.77,3153010.0,0.0,1.0
2020-02-14,226.49,227.14,225.52,226.8,226.8,2506197.0,0.0,1.0
2020-02-13,226.53,227.4,226.1,226.47,226.47,2838518.0,0.0,1.0
2020-02-12,227.6,228.84,226.91,227.44,227.44,3785196.0,0.0,1.0
2020-02-11,228.59,228.59,227.02,227.33,227.33,2916350.0,0.0,1.0
2020-02-10,227.17,227.7503,225.13,227.11,227.11,2944362.0,0.0,1.0
2020-02-07,228.07,228.62,226.67,227.38,227.38,2882771.0,0.0,1.0
2020-02-06,229.56,230.08,228.53,229.61,229.61,2799362.0,0.0,1.0
2020-02-05,226.91,228.68,226.75,228.65,228.65,3360489.0,0.0,1.0
2020-02-04,226.15,226.94,224.79,225.08,225.08,3642630.0,0.0,1.0
2020-02-03,225.48,226.32,223.0,223.47,223.47,3524666.0,0.0,1.0
2020-01-31,226.49,226.97,223.43,224.43,224.43,3948166.0,0.0,1.0
2020-01-30,223.11,228.08,222.48,227.88,227.88,3350235.0,0.0,1.0
2020-01-29,224.75,226.4,224.31,224.5,224.5,2310334.0,0.0,1.0
2020-01-28,223.44,225.35,223.16,224.03,224.03,3609316.0,0.0,1.0
2020-01-27,223.7,223.9,221.11,222.45,222.45,5448954.0,0.0,1.0
2020-01-24,229.4,229.41,226.04,226.86,226.86,4022497.0,0.0,1.0
2020-01-23,229.43,229.77,227.3492,229.38,229.38,4750027.0,0.0,1.0
2020-01-22,229.0,230.38,228.41,229.54,229.54,3164268.0,0.0,1.0
2020-01-21,229.85,231.13,227.95,228.63,228.63,5840695.0,0.0,1.0
2020-01-17,230.13,231.61,229.55,230.2,230.2,6603813.0,0.0,1.0
2020-01-16,229.34,230.03,228.52,229.73,229.73,3036377.0,0.0,1.0
2020-01-15,226.8,228.64,226.78,228.35,228.35,2662310.0,0.0,1.0
2020-01-14,227.85,228.3899,226.88,227.17,227.17,3355368.0,0.0,1.0
2020-01-13,227.05,228.47,226.1251,228.45,228.45,3284806.0,0.0,1.0
2020-01-10,228.5,228.5308,226.59,226.62,226.62,2572407.0,0.0,1.0
2020-01-09,226.92,228.85,226.92,228.65,228.65,3497060.0,0.0,1.0
2020-01-08,226.03,227.84,225.87,225.99,225.99,3780294.0,0.0,1.0
2020-01-07,227.26,227.26,225.44,225.92,225.92,3520421.0,0.0,1.0
2020-01-06,224.99,227.13,224.7,226.99,226.99,4258156.0,0.0,1.0
2020-01-03,225.69,227.43,225.48,226.18,226.18,3023764.0,0.0,1.0
2020-01-02,227.51,228.39,226.71,228.39,228.39,3763364.0,0.0,1.0
2019-12-31,226.16,226.72,225.14,226.5,226.5,3145193.0,0.0,1.0
2019-12-30,226.14,226.6,224.67,225.76,225.76,2769624.0,0.0,1.0
2019-12-27,226.86,226.97,225.57,226.14,226.14,2769203.0,0.0,1.0
2019-12-26,225.92,226.51,225.64,226.45,226.45,1725681.0,0.0,1.0
2019-12-24,225.24,225.65,224.88,225.47,225.47,961133.0,0.0,1.0
2019-12-23,226.61,226.67,224.93,225.48,225.48,3504126.0,0.0,1.0
2019-12-20,226.24,227.8,225.56,226.31,226.31,11572135.0,0.0,1.0
2019-12-19,224.66,225.66,224.16,225.21,225.21,4432567.0,0.0,1.0
2019-12-18,227.06,227.2,224.89,225.01,225.01,5611224.0,0.0,1.0
2019-12-17,227.27,228.23,226.55,227.05,227.05,4867446.0,0.0,1.0
2019-12-16,226.77,227.81,226.29,226.85,226.85,4278747.0,0.0,1.0
2019-12-13,225.92,226.5,223.96,225.37,225.37,3160534.0,0.0,1.0
2019-12-12,222.88,226.52,222.53,225.92,225.92,5121387.0,0.0,1.0
2019-12-11,221.21,222.65,221.01,222.57,222.57,3352881.0,0.0,1.0
2019-12-10,222.07,222.07,220.21,221.26,221.26,2688916.0,0.0,1.0
2019-12-09,222.71,223.3,221.19,221.38,221.38,2601034.0,0.0,1.0
2019-12-06,221.64,223.0,221.33,222.61,222.61,3447718.0,0.0,1.0
2019-12-05,218.99,219.75,218.05,219.6,219.6,2318930.0,0.0,1.0
2019-12-04,217.95,218.8828,217.54,218.4,218.4,2667654.0,0.0,1.0
2019-12-03,218.82,218.9,216.3952,218.08,218.08,4483381.0,0.0,1.0
2019-12-02,220.6,221.38,220.1101,220.33,220.33,3888037.0,0.0,1.0
2019-11-29,220.5,220.58,219.825,220.3,220.3,2256461.0,0.0,1.0
2019-11-27,219.25,220.59,218.48,220.5,220.5,3945353.0,0.0,1.0
2019-11-26,219.11,219.2,217.72,218.9,218.9,3740071.0,0.0,1.0
2019-11-25,218.74,219.39,218.26,219.06,219.06,3648499.0,0.0,1.0
2019-11-22,216.96,217.99,216.8,217.96,217.96,2392598.0,0.0,1.0
2019-11-21,217.3,217.705,216.3,216.63,216.63,3707611.0,0.0,1.0
2019-11-20,218.01,218.37,216.01,217.48,217.48,4965548.0,0.0,1.0
2019-11-19,219.93,220.0,218.7827,219.03,219.03,3378082.0,0.0,1.0
2019-11-18,219.95,220.05,218.388,219.35,219.35,3894167.0,0.0,1.0
2019-11-15,220.18,220.43,218.74,219.74,219.74,3477016.0,0.0,1.0
2019-11-14,219.77,219.87,217.91,219.36,219.36,2831207.0,0.0,1.0
2019-11-13,219.72,220.27,218.61,219.77,219.77,3190635.0,0.0,1.0
2019-11-12,220.98,222.19,220.54,220.89,220.89,2657668.0,0.0,1.0
