,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,40.47,41.0982,40.18,40.54,40.54,17464675.0,0.0,1.0
2020-07-10,39.23,40.54,39.14,40.51,40.51,19032800.0,0.0,1.0
2020-07-09,39.7,39.72,39.03,39.29,39.29,15335600.0,0.0,1.0
2020-07-08,40.13,40.24,39.52,39.74,39.74,12537000.0,0.0,1.0
2020-07-07,40.04,40.35,40.0,40.07,40.07,19404800.0,0.0,1.0
2020-07-06,39.8,40.37,39.65,40.33,40.33,18051400.0,0.0,1.0
2020-07-02,40.04,40.279,39.165,39.25,39.25,23377481.0,0.0,1.0
2020-07-01,39.61,40.21,39.4,39.7,39.7,18279133.0,0.0,1.0
2020-06-30,38.5,39.13,38.12,38.98,38.98,22169566.0,0.23,1.0
2020-06-29,38.87,39.03,38.39,38.94,38.7116,20573845.0,0.0,1.0
2020-06-26,38.3,38.74,38.03,38.65,38.4233,50945965.0,0.0,1.0
2020-06-25,38.36,38.74,37.77,38.57,38.3438,18159328.0,0.0,1.0
2020-06-24,39.48,39.48,38.13,38.56,38.3338,20958851.0,0.0,1.0
2020-06-23,38.93,39.65,38.69,39.2,38.9701,24917915.0,0.0,1.0
2020-06-22,38.8,39.05,38.315,38.44,38.2145,20800744.0,0.0,1.0
2020-06-19,39.85,40.46,38.87,39.1,38.8706,35341312.0,0.0,1.0
2020-06-18,39.19,39.6,38.95,39.44,39.2087,17008164.0,0.0,1.0
2020-06-17,39.78,39.89,39.115,39.22,38.9899,18935713.0,0.0,1.0
2020-06-16,40.54,41.05,39.14,39.75,39.5168,21215422.0,0.0,1.0
2020-06-15,39.29,40.085,38.54,39.83,39.5964,16585939.0,0.0,1.0
2020-06-12,39.59,39.97,38.515,39.46,39.2285,18507274.0,0.0,1.0
2020-06-11,40.91,41.27,39.19,39.25,39.0198,22805910.0,0.0,1.0
2020-06-10,42.1,42.12,41.13,41.36,41.1174,15634594.0,0.0,1.0
2020-06-09,42.67,42.89,41.88,42.15,41.9028,14414134.0,0.0,1.0
2020-06-08,41.93,43.18,41.9022,43.12,42.8671,17211969.0,0.0,1.0
2020-06-05,42.13,43.1,41.99,42.09,41.8431,20271636.0,0.0,1.0
2020-06-04,40.97,41.38,40.84,41.29,41.0478,12756585.0,0.0,1.0
2020-06-03,41.15,41.575,40.99,41.3,41.0577,17141879.0,0.0,1.0
2020-06-02,40.13,40.825,40.12,40.78,40.5408,19060091.0,0.0,1.0
2020-06-01,39.54,40.27,39.4,40.18,39.9443,13351638.0,0.0,1.0
2020-05-29,39.56,39.82,38.8,39.6,39.3677,20301645.0,0.0,1.0
2020-05-28,39.97,40.13,39.44,39.55,39.318,18254638.0,0.0,1.0
2020-05-27,39.63,40.47,39.62,39.93,39.6958,20654980.0,0.0,1.0
2020-05-26,39.45,40.13,39.395,39.52,39.2882,21584997.0,0.0,1.0
2020-05-22,38.67,39.0,38.465,38.74,38.5128,12383112.0,0.0,1.0
2020-05-21,38.84,39.185,38.56,38.95,38.7215,20573911.0,0.0,1.0
2020-05-20,38.61,39.24,38.5,39.17,38.9402,23123561.0,0.0,1.0
2020-05-19,37.83,38.66,37.33,38.21,37.9859,27763208.0,0.0,1.0
2020-05-18,36.94,38.35,36.83,38.09,37.8666,24829561.0,0.0,1.0
2020-05-15,35.3102,35.98,34.85,35.92,35.7093,31571618.0,0.0,1.0
2020-05-14,34.7838,35.835,34.165,35.76,35.5502,24334887.0,0.0,1.0
2020-05-13,35.1704,35.3,34.425,34.97,34.7649,30898648.0,0.0,1.0
2020-05-12,36.07,36.23,35.34,35.35,35.1426,17133010.0,0.0,1.0
2020-05-11,36.2597,36.3,35.54,36.16,35.9479,21758149.0,0.0,1.0
2020-05-08,36.2111,36.65,36.0,36.535,36.3207,12979665.0,0.0,1.0
2020-05-07,35.58,35.88,35.37,35.58,35.3713,17466640.0,0.0,1.0
2020-05-06,36.22,36.255,35.1,35.14,34.9339,20151891.0,0.0,1.0
2020-05-05,36.39,36.49,35.99,36.05,35.8385,18784050.0,0.0,1.0
