,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,326.3,329.11,321.5,322.92,322.92,2515600.0,0.0,1.0
2020-07-10,326.0,327.4,323.11,326.23,326.23,2484100.0,0.0,1.0
2020-07-09,320.0,328.98,319.68,325.54,325.54,5313600.0,0.0,1.0
2020-07-08,317.14,318.05,314.01,316.32,316.32,2364500.0,0.0,1.0
2020-07-07,310.02,318.05,309.72,316.23,316.23,3346600.0,0.0,1.0
2020-07-06,307.53,311.56,307.24,311.49,311.49,2332400.0,0.0,1.0
2020-07-02,306.0,308.92,304.6,305.74,305.74,2540900.0,0.0,1.0
2020-07-01,302.5,305.58,300.75,304.75,304.75,1907300.0,0.0,1.0
2020-06-30,301.01,304.62,300.14,303.21,303.21,2392000.0,0.0,1.0
2020-06-29,297.44,301.63,296.83,301.59,301.59,1841700.0,0.0,1.0
2020-06-26,300.41,302.1173,295.95,296.56,296.56,2865999.0,0.0,1.0
2020-06-25,297.06,301.15,295.4,300.53,300.53,2274283.0,0.0,1.0
2020-06-24,300.77,301.28,296.6,298.02,298.02,2398089.0,0.0,1.0
2020-06-23,301.73,304.9,300.73,301.29,301.29,2409639.0,0.0,1.0
2020-06-22,299.7,301.48,298.25,300.45,300.45,2094436.0,0.0,1.0
2020-06-19,300.18,301.8999,298.64,299.9,299.9,3432670.0,0.0,1.0
2020-06-18,300.0,300.8062,297.79,299.57,299.57,1881774.0,0.0,1.0
2020-06-17,301.02,302.0,298.9,299.61,299.61,2188401.0,0.0,1.0
2020-06-16,301.35,302.74,299.22,301.36,301.36,2641785.0,0.0,1.0
2020-06-15,297.05,298.07,293.8394,297.18,297.18,3273164.0,0.0,1.0
2020-06-12,302.67,305.15,296.25,298.7,298.7,4020006.0,0.0,1.0
2020-06-11,306.99,309.2,300.64,300.83,300.83,3443012.0,0.0,1.0
2020-06-10,306.48,308.63,305.65,307.33,307.33,2713706.0,0.0,1.0
2020-06-09,307.5,308.6,305.17,305.55,305.55,3155845.0,0.0,1.0
2020-06-08,310.66,311.2911,306.46,307.19,307.19,3764466.0,0.0,1.0
2020-06-05,313.13,313.6283,307.29,312.04,312.04,4375602.0,0.0,1.0
2020-06-04,310.85,315.35,309.09,310.75,310.75,4553928.0,0.0,1.0
2020-06-03,307.5,308.2,305.92,306.64,306.64,2165864.0,0.0,1.0
2020-06-02,307.95,309.02,304.72,307.09,307.09,2528938.0,0.0,1.0
2020-06-01,307.9,309.74,306.46,308.29,308.29,2295127.0,0.0,1.0
2020-05-29,304.2,308.88,302.35,308.47,308.47,4986799.0,0.0,1.0
2020-05-28,307.25,311.0,306.9,309.56,309.56,4331638.0,0.0,1.0
2020-05-27,304.56,306.31,299.47,306.01,306.01,2980169.0,0.0,1.0
2020-05-26,306.0999,306.9,303.5278,304.8,304.8,3234571.0,0.0,1.0
2020-05-22,302.01,303.94,300.83,302.43,302.43,2366382.0,0.0,1.0
2020-05-21,304.79,305.04,301.25,301.97,301.97,2478530.0,0.0,1.0
2020-05-20,306.77,307.918,303.2005,304.91,304.91,2826982.0,0.0,1.0
2020-05-19,304.62,309.025,303.15,304.63,304.63,3522987.0,0.0,1.0
2020-05-18,301.7206,303.19,299.92,302.76,302.76,3989551.0,0.0,1.0
2020-05-15,299.07,299.835,295.86,299.21,299.21,4577214.0,0.0,1.0
2020-05-14,301.01,302.88,294.535,299.74,299.74,3718907.0,0.0,1.0
2020-05-13,304.84,306.4,300.12,302.14,302.14,2954935.0,0.0,1.0
2020-05-12,310.84,311.545,304.79,304.84,304.84,2264914.0,0.0,1.0
2020-05-11,305.64,311.83,305.0,310.33,310.33,1865889.0,0.0,1.0
2020-05-08,305.9,307.18,303.7,305.94,305.94,2339313.0,0.0,1.0
2020-05-07,309.34,309.87,304.53,305.0,305.0,2606254.0,0.0,1.0
2020-05-06,309.92,311.04,306.54,308.89,308.89,2406651.0,0.0,1.0
2020-05-05,305.06,309.8,303.44,307.92,307.92,2461329.0,0.0,1.0
2020-05-04,303.0,305.53,300.07,304.49,304.49,2477537.0,0.0,1.0
2020-05-01,301.78,304.8199,300.18,301.92,301.92,2525566.0,0.0,1.0
2020-04-30,306.15,307.895,302.57,303.0,303.0,3794292.0,0.7,1.0
2020-04-29,304.95,308.6832,301.1206,307.09,306.3822,3667703.0,0.0,1.0
2020-04-28,310.825,311.27,304.28,304.95,304.2471,2425940.0,0.0,1.0
2020-04-27,313.05,313.29,307.59,308.78,308.0683,2287280.0,0.0,1.0
2020-04-24,307.33,310.83,305.5117,310.55,309.8342,2020576.0,0.0,1.0
2020-04-23,307.0335,309.635,304.79,305.4,304.6961,2625238.0,0.0,1.0
2020-04-22,304.0,311.13,302.04,309.42,308.7068,2971194.0,0.0,1.0
2020-04-21,311.14,311.89,299.345,301.33,300.6355,3832994.0,0.0,1.0
2020-04-20,317.95,318.38,311.53,312.08,311.3607,3156287.0,0.0,1.0
2020-04-17,321.31,322.1344,314.02,317.92,317.1872,3688002.0,0.0,1.0
2020-04-16,314.73,322.63,312.04,321.56,320.8188,3940021.0,0.0,1.0
2020-04-15,311.64,313.75,306.82,310.27,309.5549,2937330.0,0.0,1.0
2020-04-14,302.75,314.75,301.25,314.14,313.4159,4288349.0,0.0,1.0
2020-04-13,298.58,303.95,297.66,299.62,298.9294,3120354.0,0.0,1.0
2020-04-09,299.45,304.35,297.575,300.01,299.3185,6492651.0,0.0,1.0
2020-04-08,305.11,307.42,302.28,305.97,305.2648,3964434.0,0.0,1.0
2020-04-07,306.5,310.0,303.22,303.63,302.9302,4036513.0,0.0,1.0
2020-04-06,293.0,305.49,289.57,305.12,304.4167,5272534.0,0.0,1.0
2020-04-03,289.1604,292.34,285.8,288.65,287.9847,2650063.0,0.0,1.0
2020-04-02,284.38,292.78,282.82,291.48,290.8082,3500595.0,0.0,1.0
2020-04-01,282.36,288.8,280.9,286.78,286.119,3745783.0,0.0,1.0
2020-03-31,287.42,291.52,284.0,285.13,284.4728,5623886.0,0.0,1.0
2020-03-30,287.49,291.68,285.84,291.12,290.449,4395977.0,0.0,1.0
2020-03-27,287.13,293.49,283.33,284.33,283.6746,4250350.0,0.0,1.0
2020-03-26,281.34,293.7297,280.86,292.3,291.6263,5471961.0,0.0,1.0
2020-03-25,284.21,290.7176,279.21,280.86,280.2126,5639577.0,0.0,1.0
2020-03-24,294.59,297.35,282.8305,284.94,284.2832,7124190.0,0.0,1.0
2020-03-23,292.01,295.6721,278.4238,285.53,284.8719,5646352.0,0.0,1.0
2020-03-20,307.92,308.01,287.02,290.42,289.7506,6581183.0,0.0,1.0
2020-03-19,310.41,313.8526,302.63,305.22,304.5165,5429502.0,0.0,1.0
2020-03-18,298.0,318.0,296.0,307.5,306.7912,6701800.0,0.0,1.0
2020-03-17,289.0,307.19,286.3,306.99,306.2824,7170645.0,0.0,1.0
2020-03-16,281.83,299.53,279.51,283.18,282.5273,5465540.0,0.0,1.0
2020-03-13,288.83,303.245,278.27,302.27,301.5733,6100115.0,0.0,1.0
2020-03-12,279.4339,295.625,276.34,279.85,279.205,7307637.0,0.0,1.0
2020-03-11,300.86,307.79,294.19,297.43,296.7445,3625906.0,0.0,1.0
2020-03-10,307.97,309.73,294.42,309.4,308.6869,4245488.0,0.0,1.0
2020-03-09,295.85,310.33,293.0,301.98,301.284,5203087.0,0.0,1.0
2020-03-06,312.14,317.49,302.75,311.34,310.6224,6185520.0,0.0,1.0
2020-03-05,315.7701,324.51,313.2,315.76,315.0322,6407662.0,0.0,1.0
2020-03-04,308.29,320.97,305.0201,320.74,320.0007,4219326.0,0.0,1.0
2020-03-03,308.8579,314.165,301.03,302.73,302.0322,5131419.0,0.0,1.0
2020-03-02,294.44,309.51,291.377,309.14,308.4275,7563779.0,0.0,1.0
2020-02-28,285.25,287.335,271.28,281.14,280.492,7096587.0,0.0,1.0
2020-02-27,301.98,305.0,293.0,293.13,292.4544,3625276.0,0.0,1.0
2020-02-26,307.55,311.3,304.68,305.69,304.9854,2239556.0,0.0,1.0
2020-02-25,315.0,316.565,304.4,304.87,304.1673,2881835.0,0.0,1.0
2020-02-24,315.5,320.0,313.26,313.62,312.8971,2300379.0,0.0,1.0
2020-02-21,322.56,325.26,321.03,321.95,321.2079,2239230.0,0.0,1.0
2020-02-20,322.32,325.07,321.01,324.08,323.333,1427524.0,0.0,1.0
2020-02-19,322.08,324.5294,321.73,323.02,322.2755,1413768.0,0.0,1.0
2020-02-18,319.0,323.48,318.61,322.05,321.3077,1547929.0,0.0,1.0
2020-02-14,318.87,319.81,316.95,318.31,317.5763,1113716.0,0.0,1.0
2020-02-13,314.85,318.79,313.535,318.2,317.4666,1438248.0,0.0,1.0
2020-02-12,310.77,315.48,310.77,315.12,314.3937,1384611.0,0.0,1.0
2020-02-11,314.03,314.43,310.47,310.68,309.9639,2047510.0,0.0,1.0
2020-02-10,313.76,316.9445,312.6,313.79,313.0667,2336523.0,0.0,1.0
2020-02-07,310.0,313.81,309.1248,313.63,312.9071,1903467.0,0.0,1.0
2020-02-06,309.35,311.8387,307.85,310.61,309.8941,1917896.0,0.65,1.0
2020-02-05,307.0,309.59,305.4,308.95,307.5942,1731802.0,0.0,1.0
2020-02-04,304.57,305.9083,302.7622,304.9,303.562,1982323.0,0.0,1.0
2020-02-03,306.6387,308.58,301.67,302.0,300.6747,2817541.0,0.0,1.0
2020-01-31,308.55,309.18,304.56,305.52,304.1793,1836994.0,0.0,1.0
2020-01-30,308.84,309.64,306.665,309.47,308.1119,1232855.0,0.0,1.0
2020-01-29,310.86,311.97,309.385,309.58,308.2214,1714823.0,0.0,1.0
2020-01-28,310.51,311.71,309.1,310.85,309.4859,1571672.0,0.0,1.0
2020-01-27,306.15,311.77,305.65,309.45,308.092,2265350.0,0.0,1.0
2020-01-24,314.02,314.28,309.1,310.51,309.1474,1986279.0,0.0,1.0
2020-01-23,312.02,313.4,310.7307,312.88,311.507,1535973.0,0.0,1.0
2020-01-22,313.4,313.56,310.21,311.89,310.5213,2219022.0,0.0,1.0
2020-01-21,306.2,313.34,305.76,313.26,311.8853,3539260.0,0.0,1.0
2020-01-17,303.4,305.3,303.03,304.68,303.3429,2506588.0,0.0,1.0
2020-01-16,301.39,304.06,300.975,303.03,301.7002,1758762.0,0.0,1.0
2020-01-15,298.35,301.04,298.044,300.82,299.4999,1604433.0,0.0,1.0
2020-01-14,299.25,301.0,298.58,299.75,298.4346,1460562.0,0.0,1.0
2020-01-13,296.92,300.6495,296.8,299.87,298.5541,1540097.0,0.0,1.0
2020-01-10,300.0,300.27,296.66,297.24,295.9356,2025220.0,0.0,1.0
2020-01-09,298.55,301.96,297.71,299.42,298.106,3262225.0,0.0,1.0
2020-01-08,290.99,295.48,290.5,294.69,293.3968,2495438.0,0.0,1.0
2020-01-07,291.32,291.69,289.279,291.35,290.0714,1971494.0,0.0,1.0
2020-01-06,290.55,292.07,288.62,291.81,290.5294,2655433.0,0.0,1.0
2020-01-03,290.05,292.9,289.33,291.73,290.4498,1926624.0,0.0,1.0
2020-01-02,294.06,294.58,291.0,291.49,290.2108,2052922.0,0.0,1.0
2019-12-31,295.0,295.45,292.18,293.92,292.6302,1551191.0,0.0,1.0
2019-12-30,294.2,295.612,293.66,295.14,293.8448,1238990.0,0.0,1.0
2019-12-27,296.22,296.3,293.18,294.11,292.8193,1439479.0,0.0,1.0
2019-12-26,294.49,295.73,293.9,295.73,294.4322,1103034.0,0.0,1.0
2019-12-24,293.91,294.45,293.36,294.23,292.9388,543581.0,0.0,1.0
2019-12-23,294.91,295.31,293.03,293.31,292.0228,1309886.0,0.0,1.0
2019-12-20,293.85,295.02,292.78,294.83,293.5362,4866674.0,0.0,1.0
2019-12-19,292.06,293.81,291.5,293.71,292.4211,2595501.0,0.0,1.0
2019-12-18,295.99,296.36,291.82,291.87,290.5892,3311187.0,0.0,1.0
2019-12-17,293.5,296.3,292.75,295.55,294.253,2474762.0,0.0,1.0
2019-12-16,293.03,294.46,292.85,293.5,292.212,2410244.0,0.0,1.0
2019-12-13,294.64,295.0,289.1,291.87,290.5892,5204305.0,0.0,1.0
2019-12-12,295.27,297.76,294.12,297.34,296.0352,2754453.0,0.0,1.0
2019-12-11,296.0,296.3479,293.05,295.3,294.0041,1752457.0,0.0,1.0
2019-12-10,296.03,296.69,294.545,295.78,294.482,1566311.0,0.0,1.0
2019-12-09,295.0,297.19,294.545,295.16,293.8647,1986336.0,0.0,1.0
2019-12-06,294.98,295.99,294.26,294.945,293.6507,1462553.0,0.0,1.0
2019-12-05,297.13,297.13,292.5,293.1,291.8138,1941250.0,0.0,1.0
2019-12-04,296.04,297.16,295.15,296.52,295.2188,1742589.0,0.0,1.0
2019-12-03,295.13,296.19,292.7,295.67,294.3725,1962133.0,0.0,1.0
2019-12-02,299.75,300.2,294.27,297.39,296.0849,2706951.0,0.0,1.0
2019-11-29,300.82,300.89,299.66,299.81,298.4943,981610.0,0.0,1.0
2019-11-27,301.82,302.79,300.57,300.76,299.4402,1907095.0,0.0,1.0
2019-11-26,299.26,301.35,298.82,301.24,299.918,3360612.0,0.0,1.0
2019-11-25,300.29,300.626,297.55,299.05,297.7377,1613126.0,0.0,1.0
2019-11-22,301.94,301.94,297.23,299.31,297.9965,1277594.0,0.0,1.0
2019-11-21,300.69,301.87,299.52,300.27,298.9523,1303042.0,0.0,1.0
2019-11-20,302.44,303.17,298.0108,300.57,299.251,1979783.0,0.0,1.0
2019-11-19,304.5,304.6446,301.45,302.24,300.9137,1761832.0,0.0,1.0
2019-11-18,303.11,306.38,302.75,304.54,303.2036,1242504.0,0.0,1.0
2019-11-15,305.31,305.44,301.6,303.66,302.3274,1707125.0,0.0,1.0
2019-11-14,304.39,305.8884,302.265,304.59,303.2533,1337458.0,0.0,1.0
2019-11-13,300.18,304.0,299.52,302.9,301.5708,1554889.0,0.0,1.0
2019-11-12,300.83,302.73,298.66,300.5,299.1813,1540974.0,0.0,1.0
2019-11-11,301.55,302.33,299.7,300.84,299.5198,1160960.0,0.0,1.0
2019-11-08,302.74,304.29,301.28,302.62,301.292,1502221.0,0.0,1.0
2019-11-07,303.93,307.1,302.48,305.21,303.8706,2399391.0,0.0,1.0
2019-11-06,299.97,301.65,297.925,301.57,300.2466,1675008.0,0.0,1.0
2019-11-05,297.09,299.6925,295.805,299.18,297.8671,2204542.0,0.0,1.0
2019-11-04,297.16,298.22,295.17,296.82,295.5174,1651608.0,0.0,1.0
2019-11-01,297.99,298.415,295.5,296.09,294.7906,1364483.0,0.0,1.0
2019-10-31,298.36,299.622,294.55,297.11,295.8062,2277444.0,0.65,1.0
2019-10-30,296.92,300.25,295.97,299.84,297.8725,1264263.0,0.0,1.0
2019-10-29,298.21,298.94,295.81,295.86,293.9186,1295287.0,0.0,1.0
2019-10-28,295.7,299.09,295.21,298.94,296.9784,1614402.0,0.0,1.0
