,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,200.0,200.26,188.03,188.34,188.34,5367400.0,0.0,1.0
2020-07-10,200.06,200.73,197.08,198.88,198.88,3782200.0,0.0,1.0
2020-07-09,202.02,202.82,195.64,200.74,200.74,6061300.0,0.0,1.0
2020-07-08,198.0,201.2,197.35,200.28,200.28,4226400.0,0.0,1.0
2020-07-07,197.66,200.22,196.21,196.38,196.38,5430200.0,0.0,1.0
2020-07-06,194.44,199.45,193.84,197.72,197.72,5793300.0,0.0,1.0
2020-07-02,193.16,195.39,192.29,192.53,192.53,4199700.0,0.0,1.0
2020-07-01,188.1,192.82,187.46,191.89,191.89,4754700.0,0.0,1.0
2020-06-30,183.45,187.89,183.13,187.33,187.33,4478200.0,0.0,1.0
2020-06-29,183.32,183.71,180.0,183.33,183.33,3970500.0,0.0,1.0
2020-06-26,188.0,188.22,183.02,183.17,183.17,7594654.0,0.0,1.0
2020-06-25,186.14,188.7661,184.44,188.34,188.34,4006779.0,0.0,1.0
2020-06-24,187.51,189.3,184.04,185.55,185.55,4899732.0,0.0,1.0
2020-06-23,192.0,194.09,188.59,189.06,189.06,6944773.0,0.0,1.0
2020-06-22,187.03,192.5,187.0,191.65,191.65,6245949.0,0.0,1.0
2020-06-19,189.5,191.25,185.49,186.95,186.95,11838930.0,0.0,1.0
2020-06-18,181.91,189.0,181.615,187.66,187.66,8670573.0,0.0,1.0
2020-06-17,180.97,182.745,180.68,181.4,181.4,5036728.0,0.0,1.0
2020-06-16,180.01,182.5,178.01,180.48,180.48,5824013.0,0.0,1.0
2020-06-15,172.0,178.9,171.27,178.61,178.61,5999506.0,0.0,1.0
2020-06-12,175.9,177.69,171.86,175.11,175.11,5439048.0,0.0,1.0
2020-06-11,176.64,178.43,172.0,172.05,172.05,6518468.0,0.0,1.0
2020-06-10,176.25,182.5,176.05,182.1,182.1,8119900.0,0.0,1.0
2020-06-09,176.0,176.0,173.53,174.56,174.56,4019755.0,0.0,1.0
2020-06-08,173.63,176.57,172.66,176.55,176.55,4591063.0,0.0,1.0
2020-06-05,170.11,174.185,167.0,173.88,173.88,8229577.0,0.0,1.0
2020-06-04,175.0,175.43,170.0,171.44,171.44,7299139.0,0.0,1.0
2020-06-03,174.83,175.93,172.841,174.99,174.99,6000653.0,0.0,1.0
2020-06-02,174.85,174.895,171.22,174.23,174.23,8568384.0,0.0,1.0
2020-06-01,173.1,177.52,172.68,176.36,176.36,5711514.0,0.0,1.0
2020-05-29,174.3,175.0,170.69,174.79,174.79,19588441.0,0.0,1.0
2020-05-28,180.0,184.8,177.1,181.1,181.1,10244630.0,0.0,1.0
2020-05-27,176.29,176.61,171.37,176.6,176.6,6309050.0,0.0,1.0
2020-05-26,182.0,182.0,176.22,176.52,176.52,8351340.0,0.0,1.0
2020-05-22,176.6,178.64,175.45,177.85,177.85,4963328.0,0.0,1.0
2020-05-21,176.93,178.292,174.93,175.26,175.26,4428621.0,0.0,1.0
2020-05-20,178.57,179.14,174.9,176.93,176.93,4950184.0,0.0,1.0
2020-05-19,172.75,178.2,172.75,176.04,176.04,5261107.0,0.0,1.0
2020-05-18,174.0,177.0,172.13,172.5,172.5,6398322.0,0.0,1.0
2020-05-15,167.27,171.72,166.18,171.33,171.33,5672911.0,0.0,1.0
2020-05-14,168.44,168.57,164.57,167.0,167.0,7439408.0,0.0,1.0
2020-05-13,175.17,175.21,166.2691,169.64,169.64,12526142.0,0.0,1.0
2020-05-12,183.0,183.02,177.01,177.54,177.54,5901540.0,0.0,1.0
