,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,46.87,46.99,45.78,45.93,45.93,17957350.0,0.0,1.0
2020-07-10,46.73,46.92,46.24,46.66,46.66,13775900.0,0.0,1.0
2020-07-09,46.6,47.2,46.22,46.7,46.7,26028400.0,0.0,1.0
2020-07-08,45.59,46.07,45.32,45.81,45.81,15020800.0,0.0,1.0
2020-07-07,46.12,46.29,45.56,45.63,45.63,17102800.0,0.0,1.0
2020-07-06,46.07,46.49,45.87,46.42,46.42,16194900.0,0.0,1.0
2020-07-02,46.07,46.2182,45.48,45.63,45.63,19635279.0,0.36,1.0
2020-07-01,46.6053,46.72,46.0,46.06,45.6995,17265262.0,0.0,1.0
2020-06-30,46.145,47.01,46.095,46.64,46.2749,21888827.0,0.0,1.0
2020-06-29,46.34,46.45,45.67,46.15,45.7887,23875408.0,0.0,1.0
2020-06-26,45.1193,46.51,44.63,46.31,45.9475,106928267.0,0.0,1.0
2020-06-25,44.77,45.32,44.2,45.22,44.866,19114867.0,0.0,1.0
2020-06-24,45.2875,45.47,44.39,44.75,44.3997,22840139.0,0.0,1.0
2020-06-23,45.92,46.15,45.32,45.47,45.1141,23222359.0,0.0,1.0
2020-06-22,45.11,45.46,44.805,45.16,44.8065,18398599.0,0.0,1.0
2020-06-19,46.26,46.51,45.05,45.32,44.9652,36103238.0,0.0,1.0
2020-06-18,45.79,46.05,45.35,45.83,45.4713,22423457.0,0.0,1.0
2020-06-17,46.75,46.82,45.9,46.17,45.8086,20399076.0,0.0,1.0
2020-06-16,47.41,47.49,45.91,46.48,46.1162,28074579.0,0.0,1.0
2020-06-15,44.12,45.76,43.93,45.35,44.995,21300098.0,0.0,1.0
2020-06-12,44.96,45.86,44.11,45.07,44.7172,26125553.0,0.0,1.0
2020-06-11,46.99,47.0,43.64,43.67,43.3282,35582020.0,0.0,1.0
2020-06-10,47.66,47.83,47.12,47.42,47.0488,18462377.0,0.0,1.0
2020-06-09,48.02,48.24,47.49,48.05,47.6739,18597267.0,0.0,1.0
2020-06-08,47.46,48.16,47.12,48.13,47.7532,17820919.0,0.0,1.0
2020-06-05,47.27,48.29,47.2,47.83,47.4556,22591054.0,0.0,1.0
2020-06-04,46.77,47.25,46.5301,46.86,46.4932,14100662.0,0.0,1.0
2020-06-03,46.98,47.2,46.54,46.94,46.5726,17491951.0,0.0,1.0
2020-06-02,46.4,46.9,45.88,46.89,46.523,17285945.0,0.0,1.0
2020-06-01,47.15,47.285,46.23,46.3,45.9376,18730622.0,0.0,1.0
2020-05-29,46.04,47.82,45.41,47.82,47.4457,43570367.0,0.0,1.0
2020-05-28,45.9,46.46,45.373,45.595,45.2381,20027748.0,0.0,1.0
2020-05-27,45.0424,45.98,44.8,45.96,45.6002,22157156.0,0.0,1.0
2020-05-26,45.78,45.7999,44.68,44.84,44.489,21776880.0,0.0,1.0
2020-05-22,44.67,44.95,44.12,44.9,44.5485,12592805.0,0.0,1.0
2020-05-21,45.45,45.655,44.555,44.64,44.2906,18552548.0,0.0,1.0
2020-05-20,45.05,45.82,45.03,45.44,45.0843,20184456.0,0.0,1.0
2020-05-19,44.83,44.98,44.41,44.605,44.2558,24345423.0,0.0,1.0
2020-05-18,45.21,45.295,44.3301,45.06,44.7073,26980080.0,0.0,1.0
2020-05-15,42.93,44.38,42.85,44.27,43.9235,30573032.0,0.0,1.0
2020-05-14,43.43,44.58,43.26,43.85,43.5068,50417743.0,0.0,1.0
2020-05-13,43.41,43.57,41.31,41.95,41.6216,36986702.0,0.0,1.0
2020-05-12,43.94,44.3,43.19,43.22,42.8817,25817074.0,0.0,1.0
2020-05-11,42.78,43.65,42.605,43.32,42.9809,26182685.0,0.0,1.0
2020-05-08,42.02,43.02,41.7,42.99,42.6535,21962827.0,0.0,1.0
2020-05-07,41.59,41.765,41.215,41.37,41.0462,20173635.0,0.0,1.0
2020-05-06,41.56,41.69,40.97,41.15,40.8279,16040349.0,0.0,1.0
2020-05-05,41.61,41.925,41.39,41.46,41.1355,15060218.0,0.0,1.0
2020-05-04,40.9549,41.41,40.49,41.35,41.0263,15997715.0,0.0,1.0
2020-05-01,41.72,41.81,40.765,40.92,40.5997,22095255.0,0.0,1.0
2020-04-30,43.1677,43.1677,42.17,42.38,42.0483,26679921.0,0.0,1.0
2020-04-29,43.346,43.48,42.93,43.34,43.0007,17430133.0,0.0,1.0
2020-04-28,43.5,43.625,42.41,42.49,42.1574,16427731.0,0.0,1.0
2020-04-27,42.7,43.22,42.58,43.06,42.7229,17937887.0,0.0,1.0
2020-04-24,41.84,42.66,41.65,42.52,42.1872,14641718.0,0.0,1.0
2020-04-23,41.89,42.55,41.53,41.62,41.2942,16100169.0,0.0,1.0
2020-04-22,41.27,42.09,41.11,41.76,41.4331,18337406.0,0.0,1.0
2020-04-21,41.83,41.99,40.41,40.55,40.2326,31661042.0,0.0,1.0
2020-04-20,41.92,43.29,41.79,42.54,42.207,23438799.0,0.0,1.0
2020-04-17,42.25,42.64,41.74,42.48,42.1475,30701461.0,0.0,1.0
2020-04-16,41.76,41.79,40.68,41.5,41.1751,26177970.0,0.0,1.0
2020-04-15,42.2028,42.37,41.23,41.52,41.195,18428791.0,0.0,1.0
2020-04-14,41.91,42.82,41.53,42.78,42.4451,22882368.0,0.0,1.0
2020-04-13,41.04,41.46,40.53,41.22,40.8973,19591971.0,0.0,1.0
2020-04-09,42.09,42.2,40.85,41.2,40.8775,27650195.0,0.0,1.0
2020-04-08,41.17,42.2,40.865,41.74,41.4133,22683517.0,0.0,1.0
2020-04-07,42.66,42.74,40.59,40.64,40.3219,30366068.0,0.0,1.0
2020-04-06,40.46,41.68,39.78,41.43,41.1057,31641428.0,0.0,1.0
2020-04-03,39.82,40.29,38.54,39.06,38.7542,21235157.0,0.0,1.0
2020-04-02,37.84,39.945,37.47,39.8,39.4885,28180489.0,0.36,1.0
2020-04-01,38.17,38.86,37.8742,38.33,37.6891,26790667.0,0.0,1.0
2020-03-31,40.13,40.415,39.11,39.31,38.6527,26019845.0,0.0,1.0
2020-03-30,39.45,40.485,38.96,40.32,39.6458,27120333.0,0.0,1.0
2020-03-27,39.21,40.15,38.41,38.82,38.1709,31278581.0,0.0,1.0
