,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,86.04,86.93,84.81,85.42,85.42,5762200.0,0.0,1.0
2020-07-10,82.5,85.42,82.5,85.23,85.23,6225400.0,0.0,1.0
2020-07-09,85.97,86.32,82.69,82.74,82.74,8829200.0,0.0,1.0
2020-07-08,86.39,87.8,85.89,86.35,86.35,6736300.0,0.0,1.0
2020-07-07,87.82,88.08,86.15,86.31,86.31,5898300.0,0.0,1.0
2020-07-06,89.5,90.25,87.82,88.57,88.57,6747200.0,0.0,1.0
2020-07-02,89.37,90.36,88.16,88.31,88.31,5827800.0,0.0,1.0
2020-07-01,89.28,90.77,87.55,87.62,87.62,6382500.0,0.0,1.0
2020-06-30,86.6,89.99,86.36,89.23,89.23,8263100.0,0.0,1.0
2020-06-29,86.91,88.57,86.6,87.67,87.67,7020300.0,0.0,1.0
2020-06-26,88.78,88.8299,86.18,86.46,86.46,13761743.0,0.0,1.0
2020-06-25,87.31,89.51,87.16,89.21,89.21,7394653.0,0.0,1.0
2020-06-24,89.99,90.13,86.86,87.64,87.64,8968703.0,0.0,1.0
2020-06-23,92.5,93.09,91.175,91.44,91.44,6317166.0,0.0,1.0
2020-06-22,90.32,91.69,89.59,91.59,91.59,5932311.0,0.0,1.0
2020-06-19,94.41,94.41,90.55,90.63,90.63,14838770.0,0.0,1.0
2020-06-18,91.0,93.23,90.1,91.94,91.94,7062639.0,0.0,1.0
2020-06-17,93.83,94.0,91.5,91.54,91.54,6014938.0,0.0,1.0
2020-06-16,94.99,95.58,91.49,94.03,94.03,8726176.0,0.0,1.0
2020-06-15,89.09,92.08,88.21,91.23,91.23,12289351.0,0.0,1.0
2020-06-12,93.62,93.65,90.01,92.39,92.39,9531010.0,0.0,1.0
2020-06-11,92.3,94.19,89.12,89.37,89.37,14930115.0,0.0,1.0
2020-06-10,101.0,101.5,97.56,97.58,97.58,10470029.0,0.0,1.0
2020-06-09,100.7,102.93,99.83,101.53,101.53,10742487.0,0.0,1.0
2020-06-08,102.63,103.59,100.87,103.24,103.24,11085839.0,0.0,1.0
2020-06-05,99.08,102.05,99.05,100.81,100.81,12755180.0,0.0,1.0
2020-06-04,96.78,96.89,95.16,96.28,96.28,6368364.0,0.0,1.0
2020-06-03,95.97,97.73,95.75,97.18,97.18,8434929.0,0.0,1.0
2020-06-02,93.78,95.22,93.285,94.69,94.69,7871541.0,0.0,1.0
2020-06-01,90.94,93.85,90.11,92.79,92.79,7343235.0,0.0,1.0
2020-05-29,90.19,91.89,89.26,91.7,91.7,17009795.0,0.0,1.0
2020-05-28,93.61,93.9,90.79,90.87,90.87,9632806.0,0.0,1.0
2020-05-27,94.68,94.69,92.11,93.9,93.9,7819099.0,0.0,1.0
2020-05-26,92.49,94.34,92.03,93.3,93.3,9422939.0,0.0,1.0
2020-05-22,91.45,91.6,89.465,90.28,90.28,8560331.0,0.0,1.0
2020-05-21,92.77,93.37,91.28,92.04,92.04,8829479.0,0.0,1.0
2020-05-20,91.0,93.47,90.18,93.0,93.0,9156964.0,0.0,1.0
2020-05-19,92.53,92.631,89.53,89.62,89.62,7744245.0,0.0,1.0
2020-05-18,92.4,93.4,91.46,92.55,92.55,12304036.0,1.29,1.0
2020-05-15,90.65,92.06,88.83,89.16,87.9343,10107535.0,0.0,1.0
2020-05-14,87.29,90.93,86.02,90.05,88.8121,10676239.0,0.0,1.0
2020-05-13,89.9,90.0,87.32,88.7,87.4807,12212684.0,0.0,1.0
2020-05-12,93.13,94.03,91.0,91.1,89.8477,8744324.0,0.0,1.0
2020-05-11,94.21,94.6,93.18,93.37,92.0865,7095244.0,0.0,1.0
2020-05-08,95.0,95.56,94.07,95.47,94.1576,8584715.0,0.0,1.0
2020-05-07,92.98,94.06,91.91,92.64,91.3665,9749367.0,0.0,1.0
2020-05-06,92.79,93.46,89.77,90.05,88.8121,11140931.0,0.0,1.0
2020-05-05,94.5,95.3,92.68,92.89,91.6131,13599780.0,0.0,1.0
2020-05-04,88.76,91.62,87.69,91.44,90.183,11190573.0,0.0,1.0
2020-05-01,91.51,92.05,87.04,89.44,88.2105,13249533.0,0.0,1.0
2020-04-30,93.72,95.74,90.58,92.0,90.7353,12216752.0,0.0,1.0
2020-04-29,92.48,95.14,92.29,94.62,93.3193,12330217.0,0.0,1.0
2020-04-28,89.55,90.96,88.83,89.91,88.674,10642702.0,0.0,1.0
