,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,119.94,120.13,115.89,116.22,116.22,15610394.0,0.0,1.0
2020-07-10,116.83,119.44,116.21,119.34,119.34,16203300.0,0.0,1.0
2020-07-09,116.51,117.85,115.38,116.81,116.81,13570400.0,0.0,1.0
2020-07-08,113.48,117.13,112.81,116.66,116.66,13599000.0,0.0,1.0
2020-07-07,113.63,115.08,112.61,113.63,113.63,10821900.0,0.0,1.0
2020-07-06,113.83,114.53,112.9,114.43,114.43,11938400.0,0.0,1.0
2020-07-02,115.0,115.1,112.0,112.18,112.18,10305579.0,0.0,1.0
2020-07-01,112.82,115.6,112.29,113.01,113.01,11928577.0,0.0,1.0
2020-06-30,111.5,112.05,109.93,111.51,111.51,10561066.0,0.0,1.0
2020-06-29,109.0,111.57,108.1001,111.52,111.52,12569427.0,0.0,1.0
2020-06-26,110.95,111.2,108.0221,109.1,109.1,15256468.0,0.0,1.0
2020-06-25,108.99,111.51,108.5,111.36,111.36,17222391.0,0.0,1.0
2020-06-24,115.85,116.0,110.03,112.07,112.07,22227061.0,0.0,1.0
2020-06-23,116.96,117.45,115.97,116.59,116.59,10180185.0,0.0,1.0
2020-06-22,114.19,116.1925,113.11,115.92,115.92,12845639.0,0.0,1.0
2020-06-19,119.98,120.12,114.35,114.35,114.35,23476937.0,0.0,1.0
2020-06-18,116.88,118.53,115.93,118.37,118.37,9571683.0,0.0,1.0
2020-06-17,118.64,119.23,117.14,117.65,117.65,8912775.0,0.0,1.0
2020-06-16,121.24,121.5,116.05,118.44,118.44,12936463.0,0.0,1.0
2020-06-15,112.08,118.12,111.71,117.08,117.08,14139494.0,0.0,1.0
2020-06-12,115.17,117.0,112.89,115.49,115.49,18354848.0,0.0,1.0
2020-06-11,117.6,118.0,112.25,112.64,112.64,26040809.0,0.0,1.0
2020-06-10,124.02,124.1,120.93,122.18,122.18,11421848.0,0.0,1.0
2020-06-09,125.63,125.79,123.51,123.89,123.89,10875870.0,0.0,1.0
2020-06-08,125.1,127.44,123.94,127.28,127.28,13844911.0,0.0,1.0
2020-06-05,126.31,127.82,124.28,124.82,124.82,16572615.0,0.0,1.0
2020-06-04,121.95,124.5,121.85,123.69,123.69,14188361.0,0.0,1.0
2020-06-03,119.99,122.45,119.3201,122.18,122.18,12571114.0,0.0,1.0
2020-06-02,119.0,119.85,117.83,118.75,118.75,10736654.0,0.0,1.0
2020-06-01,117.26,119.6498,116.93,118.77,118.77,10537851.0,0.0,1.0
2020-05-29,116.19,117.75,114.12,117.3,117.3,17743334.0,0.0,1.0
2020-05-28,121.6,121.98,116.0,116.75,116.75,18599295.0,0.0,1.0
2020-05-27,123.68,123.78,119.7112,121.53,121.53,19319667.0,0.0,1.0
2020-05-26,121.05,122.505,120.43,120.95,120.95,16442573.0,0.0,1.0
2020-05-22,117.5,118.57,116.83,118.02,118.02,9279862.0,0.0,1.0
2020-05-21,119.34,120.3,116.5,117.83,117.83,17570565.0,0.0,1.0
2020-05-20,116.42,120.87,116.04,119.92,119.92,25704192.0,0.0,1.0
2020-05-19,115.1,116.47,113.42,114.37,114.37,20302581.0,0.0,1.0
2020-05-18,114.47,119.78,114.47,116.85,116.85,40043845.0,0.0,1.0
2020-05-15,104.98,109.38,104.27,109.05,109.05,29753478.0,0.0,1.0
2020-05-14,101.98,105.92,99.6587,105.91,105.91,21990101.0,0.0,1.0
2020-05-13,104.5,104.54,101.6,102.92,102.92,21070621.0,0.0,1.0
2020-05-12,109.06,109.44,104.49,104.56,104.56,17016554.0,0.0,1.0
2020-05-11,108.4,108.805,106.41,107.77,107.77,20540787.0,0.0,1.0
2020-05-08,109.05,109.18,106.63,109.16,109.16,24076207.0,0.0,1.0
2020-05-07,101.85,105.61,101.83,105.57,105.57,20771545.0,0.0,1.0
2020-05-06,101.48,105.27,98.86,100.88,100.88,51950320.0,0.0,1.0
2020-05-05,101.51,105.18,100.9,101.06,101.06,29766862.0,0.0,1.0
2020-05-04,102.01,103.83,100.55,103.18,103.18,19480646.0,0.0,1.0
2020-05-01,106.21,106.91,104.47,105.5,105.5,13201794.0,0.0,1.0
2020-04-30,109.44,110.31,106.86,108.15,108.15,18618737.0,0.0,1.0
2020-04-29,109.94,112.7,108.56,112.25,112.25,20107833.0,0.0,1.0
2020-04-28,108.79,110.06,105.98,106.21,106.21,16492826.0,0.0,1.0
2020-04-27,102.0,106.52,101.61,106.06,106.06,15509332.0,0.0,1.0
2020-04-24,101.78,101.92,99.52,101.19,101.19,13610369.0,0.0,1.0
2020-04-23,100.65,102.5299,99.46,101.0,101.0,17115301.0,0.0,1.0
2020-04-22,101.8,102.63,100.89,100.99,100.99,11461889.0,0.0,1.0
2020-04-21,100.01,101.51,99.13,100.54,100.54,16077469.0,0.0,1.0
2020-04-20,103.58,104.86,102.0,102.26,102.26,16984734.0,0.0,1.0
2020-04-17,106.21,106.79,104.35,106.63,106.63,17897695.0,0.0,1.0
2020-04-16,103.53,103.7198,100.89,102.02,102.02,17832840.0,0.0,1.0
2020-04-15,104.39,104.88,102.7,103.37,103.37,14135145.0,0.0,1.0
2020-04-14,105.5,107.64,103.9,106.03,106.03,19841446.0,0.0,1.0
2020-04-13,104.71,104.87,99.61,103.5,103.5,17290638.0,0.0,1.0
2020-04-09,107.92,107.99,103.53,104.5,104.5,31447251.0,0.0,1.0
2020-04-08,100.53,102.35,98.65,101.07,101.07,21899762.0,0.0,1.0
2020-04-07,104.86,105.89,100.25,101.24,101.24,22862690.0,0.0,1.0
2020-04-06,97.26,100.19,94.52,99.58,99.58,20386189.0,0.0,1.0
2020-04-03,96.31,96.92,92.71,93.88,93.88,14805542.0,0.0,1.0
2020-04-02,94.2,97.255,94.2,96.97,96.97,13089429.0,0.0,1.0
2020-04-01,93.5,97.4,92.56,94.92,94.92,18287235.0,0.0,1.0
2020-03-31,100.22,103.16,96.16,96.6,96.6,21531677.0,0.0,1.0
2020-03-30,96.0,100.46,92.1,99.8,99.8,23107674.0,0.0,1.0
2020-03-27,101.49,101.49,95.54,96.4,96.4,30568561.0,0.0,1.0
2020-03-26,100.83,107.7319,100.8,105.36,105.36,24515003.0,0.0,1.0
2020-03-25,100.66,105.9199,95.51,100.73,100.73,28509973.0,0.0,1.0
2020-03-24,92.33,99.168,91.8,98.12,98.12,32478192.0,0.0,1.0
2020-03-23,84.49,87.28,81.09,85.76,85.76,32198863.0,0.0,1.0
2020-03-20,95.99,96.99,85.84,85.98,85.98,31924660.0,0.0,1.0
2020-03-19,88.0,97.4,85.11,94.93,94.93,30844124.0,0.0,1.0
2020-03-18,87.59,89.34,79.07,88.8,88.8,43554864.0,0.0,1.0
2020-03-17,95.8,97.4604,91.15,93.53,93.53,27496593.0,0.0,1.0
2020-03-16,91.8,98.28,90.0,95.01,95.01,35326270.0,0.0,1.0
2020-03-13,100.78,102.87,92.25,102.52,102.52,40914584.0,0.0,1.0
2020-03-12,97.62,100.0,91.64,91.81,91.81,40273875.0,0.0,1.0
2020-03-11,108.42,108.9,102.86,105.51,105.51,24680899.0,0.0,1.0
2020-03-10,108.1,111.58,102.43,111.46,111.46,24048509.0,0.0,1.0
2020-03-09,108.69,110.43,104.28,104.35,104.35,26180666.0,0.0,1.0
2020-03-06,110.76,115.87,110.32,115.27,115.27,22887950.0,0.0,1.0
2020-03-05,116.86,116.96,112.11,113.98,113.98,22380107.0,0.0,1.0
2020-03-04,118.96,119.24,115.48,119.18,119.18,13828233.0,0.0,1.0
2020-03-03,121.15,121.78,115.15,116.45,116.45,19514531.0,0.0,1.0
2020-03-02,119.13,119.98,116.03,119.98,119.98,21760231.0,0.0,1.0
2020-02-28,114.51,118.31,113.21,117.65,117.65,35387792.0,0.0,1.0
2020-02-27,119.81,122.9,117.92,118.04,118.04,30787750.0,0.0,1.0
2020-02-26,126.12,128.37,122.13,123.36,123.36,31193566.0,0.0,1.0
2020-02-25,133.75,133.94,127.98,128.19,128.19,20950418.0,0.0,1.0
2020-02-24,132.9,134.4365,131.21,133.01,133.01,19316292.0,0.0,1.0
2020-02-21,139.86,139.88,138.58,138.97,138.97,7720138.0,0.0,1.0
2020-02-20,141.63,141.63,138.85,140.37,140.37,5979169.0,0.0,1.0
2020-02-19,139.63,141.87,139.23,141.3,141.3,7074998.0,0.0,1.0
2020-02-18,139.02,139.66,138.1,139.14,139.14,8214793.0,0.0,1.0
2020-02-14,141.1,141.28,139.13,139.54,139.54,9107260.0,0.0,1.0
2020-02-13,141.17,141.9,140.82,140.9,140.9,7539761.0,0.0,1.0
2020-02-12,141.34,142.22,140.87,141.85,141.85,8160547.0,0.0,1.0
2020-02-11,142.85,142.99,140.46,141.01,141.01,10785127.0,0.0,1.0
2020-02-10,141.03,142.59,140.46,142.59,142.59,8148315.0,0.0,1.0
2020-02-07,141.89,141.9895,140.12,141.02,141.02,10939238.0,0.0,1.0
2020-02-06,141.92,143.945,141.22,142.7,142.7,9499655.0,0.0,1.0
2020-02-05,146.6,147.3,138.57,141.37,141.37,27816970.0,0.0,1.0
2020-02-04,145.49,145.59,143.25,144.73,144.73,23389682.0,0.0,1.0
2020-02-03,139.79,141.82,139.75,141.32,141.32,12620320.0,0.0,1.0
2020-01-31,138.4,138.67,137.06,138.31,138.31,12356927.0,0.0,1.0
2020-01-30,135.09,137.85,134.83,137.81,137.81,11833700.0,0.0,1.0
2020-01-29,138.6,138.68,135.795,136.06,136.06,9381904.0,0.0,1.0
2020-01-28,136.5,138.93,135.86,138.37,138.37,10382604.0,0.0,1.0
2020-01-27,135.86,137.73,135.0,135.9,135.9,12811584.0,0.0,1.0
2020-01-24,141.4,142.25,139.2,140.08,140.08,13069594.0,0.0,1.0
2020-01-23,143.6,143.61,140.65,142.2,142.2,11077968.0,0.0,1.0
2020-01-22,144.45,144.79,143.54,144.01,144.01,7548409.0,0.0,1.0
2020-01-21,144.24,144.59,143.01,143.56,143.56,9247131.0,0.0,1.0
2020-01-17,145.54,145.64,144.01,144.33,144.33,10350186.0,0.0,1.0
2020-01-16,145.09,145.43,144.44,145.12,145.12,6944167.0,0.0,1.0
2020-01-15,145.71,145.71,143.93,144.32,144.32,6808745.0,0.0,1.0
2020-01-14,143.41,146.72,142.29,145.2,145.2,14838554.0,0.0,1.0
2020-01-13,144.75,144.75,143.36,143.88,143.88,9921293.0,0.0,1.0
2020-01-10,145.3,145.5,144.26,144.62,144.62,5152527.0,0.0,1.0
2020-01-09,146.47,146.625,144.61,144.83,144.83,6664102.0,0.0,1.0
2020-01-08,145.49,146.13,144.82,145.4,145.4,6984160.0,0.0,1.0
2020-01-07,145.99,146.8699,145.42,145.7,145.7,6908064.0,0.0,1.0
2020-01-06,145.54,146.03,144.31,145.65,145.65,8257580.0,0.0,1.0
2020-01-03,146.4,147.9,146.0549,146.5,146.5,7320163.0,0.0,1.0
2020-01-02,145.29,148.2,145.1,148.2,148.2,9501159.0,0.0,1.0
2019-12-31,143.67,144.77,143.26,144.63,144.63,5662700.0,0.0,1.0
2019-12-30,145.75,145.87,143.4,143.77,143.77,6602515.0,0.0,1.0
2019-12-27,146.05,146.51,145.45,145.75,145.75,5494304.0,0.0,1.0
2019-12-26,145.4,145.86,145.17,145.7,145.7,4421594.0,0.0,1.0
2019-12-24,144.58,145.43,144.45,145.29,145.29,3508541.0,0.0,1.0
2019-12-23,145.91,146.33,144.33,144.68,144.68,9313340.0,0.0,1.0
2019-12-20,147.15,147.88,145.77,146.88,146.88,12629924.0,0.0,1.0
2019-12-19,146.18,146.7973,145.32,146.15,146.15,10243038.0,0.0,1.0
2019-12-18,147.77,147.95,146.19,146.26,146.26,9465601.0,0.0,1.0
2019-12-17,148.1,148.46,147.62,147.73,147.73,8775779.0,0.0,1.0
2019-12-16,147.59,148.65,146.55,148.46,148.46,9133882.0,0.0,1.0
2019-12-13,147.43,147.8,146.31,146.38,146.38,9350107.0,0.88,1.0
2019-12-12,147.92,148.93,147.25,147.76,146.877,7743607.0,0.0,1.0
2019-12-11,147.39,147.89,146.76,147.59,146.708,6851711.0,0.0,1.0
2019-12-10,145.26,146.85,145.05,146.1,145.2269,7083337.0,0.0,1.0
2019-12-09,147.96,148.515,145.4,146.21,145.3363,11514410.0,0.0,1.0
2019-12-06,148.4,148.6098,147.18,147.66,146.7776,7084901.0,0.0,1.0
2019-12-05,148.69,148.83,147.1,147.44,146.5589,7363230.0,0.0,1.0
2019-12-04,149.3,149.33,148.18,148.28,147.3939,7684268.0,0.0,1.0
2019-12-03,147.74,149.11,146.87,148.58,147.6921,9386499.0,0.0,1.0
2019-12-02,152.94,152.97,149.1,150.62,149.7199,10349951.0,0.0,1.0
2019-11-29,151.48,152.4656,151.01,151.58,150.6742,6284938.0,0.0,1.0
2019-11-27,152.3,152.5693,151.15,151.48,150.5748,6154562.0,0.0,1.0
2019-11-26,151.75,153.41,150.61,151.64,150.7338,24953532.0,0.0,1.0
2019-11-25,148.8,150.21,147.7,149.69,148.7955,11316608.0,0.0,1.0
2019-11-22,147.21,149.44,146.68,148.29,147.4038,9626548.0,0.0,1.0
2019-11-21,147.16,147.4703,146.26,146.9,146.0222,6236601.0,0.0,1.0
2019-11-20,148.09,148.99,146.03,146.93,146.052,9447779.0,0.0,1.0
2019-11-19,148.18,149.48,146.8,148.38,147.4933,11502354.0,0.0,1.0
2019-11-18,144.75,149.04,143.69,147.65,146.7677,15352426.0,0.0,1.0
2019-11-15,147.14,147.2,144.21,144.67,143.8055,13732455.0,0.0,1.0
2019-11-14,148.0,150.63,146.2765,147.15,146.2707,28390016.0,0.0,1.0
