,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,247.0,250.15,238.42,239.0,239.0,24332200.0,0.0,1.0
2020-07-10,243.69,245.49,239.32,245.07,245.07,22982700.0,0.0,1.0
2020-07-09,245.0,246.53,239.24,244.5,244.5,22175100.0,0.0,1.0
2020-07-08,238.11,246.99,236.59,243.58,243.58,29793200.0,0.0,1.0
2020-07-07,239.41,247.65,238.82,240.86,240.86,27887900.0,0.0,1.0
2020-07-06,233.76,240.4,232.27,240.28,240.28,26208500.0,0.0,1.0
2020-07-02,239.0,240.0,232.61,233.42,233.42,30636000.0,0.0,1.0
2020-07-01,228.5,239.0,227.56,237.55,237.55,43403900.0,0.0,1.0
2020-06-30,220.59,227.5,218.47,227.07,227.07,33927100.0,0.0,1.0
2020-06-29,209.75,220.75,207.11,220.64,220.64,58514300.0,0.0,1.0
2020-06-26,232.64,233.09,215.4,216.08,216.08,76343939.0,0.0,1.0
2020-06-25,234.62,237.3,232.74,235.68,235.68,18704339.0,0.0,1.0
2020-06-24,241.2,243.22,232.68,234.02,234.02,20834904.0,0.0,1.0
2020-06-23,241.28,245.1853,239.86,242.24,242.24,24017915.0,0.0,1.0
2020-06-22,238.56,240.7,236.91,239.22,239.22,18917782.0,0.0,1.0
2020-06-19,237.79,240.83,235.55,238.79,238.79,30081291.0,0.0,1.0
2020-06-18,234.99,236.14,232.15,235.94,235.94,15782452.0,0.0,1.0
2020-06-17,235.0,237.59,231.7268,235.53,235.53,19578125.0,0.0,1.0
2020-06-16,237.14,238.46,233.0,235.65,235.65,15236691.0,0.0,1.0
2020-06-15,225.09,233.77,224.8,232.5,232.5,15340264.0,0.0,1.0
2020-06-12,229.9,231.66,224.5,228.58,228.58,22091387.0,0.0,1.0
2020-06-11,229.94,232.89,223.55,224.43,224.43,26708163.0,0.0,1.0
2020-06-10,240.96,241.21,235.28,236.73,236.73,20720709.0,0.0,1.0
2020-06-09,231.52,239.77,230.41,238.67,238.67,27462872.0,0.0,1.0
2020-06-08,229.03,231.55,227.41,231.4,231.4,15466499.0,0.0,1.0
2020-06-05,226.71,231.35,225.3105,230.77,230.77,16750438.0,0.0,1.0
2020-06-04,229.56,231.63,224.61,226.29,226.29,17041481.0,0.0,1.0
2020-06-03,232.11,232.65,228.53,230.16,230.16,15380282.0,0.0,1.0
2020-06-02,230.94,233.0,226.56,232.72,232.72,20919018.0,0.0,1.0
2020-06-01,224.59,232.44,223.5,231.91,231.91,18223839.0,0.0,1.0
2020-05-29,225.2,227.49,222.88,225.09,225.09,23322476.0,0.0,1.0
2020-05-28,224.3,231.6332,224.0,225.46,225.46,29423013.0,0.0,1.0
2020-05-27,229.07,230.56,221.1347,229.14,229.14,34697553.0,0.0,1.0
2020-05-26,239.77,240.9,231.67,232.2,232.2,33178318.0,0.0,1.0
2020-05-22,231.51,235.99,228.74,234.91,234.91,33925564.0,0.0,1.0
2020-05-21,234.72,237.2,231.2,231.39,231.39,47577915.0,0.0,1.0
2020-05-20,223.5,231.34,223.19,229.97,229.97,50162875.0,0.0,1.0
2020-05-19,213.27,220.49,212.83,216.88,216.88,31843152.0,0.0,1.0
2020-05-18,212.15,214.6445,210.94,213.19,213.19,20167443.0,0.0,1.0
2020-05-15,205.27,211.34,204.12,210.88,210.88,19383154.0,0.0,1.0
2020-05-14,202.56,206.93,200.69,206.81,206.81,17178947.0,0.0,1.0
2020-05-13,209.43,210.78,202.11,205.1,205.1,20684559.0,0.0,1.0
2020-05-12,213.29,215.275,210.0,210.1,210.1,14704647.0,0.0,1.0
2020-05-11,210.8865,215.0,210.37,213.18,213.18,12911948.0,0.0,1.0
2020-05-08,212.24,213.21,210.85,212.35,212.35,12524048.0,0.0,1.0
2020-05-07,211.16,211.6,209.04,211.26,211.26,15151976.0,0.0,1.0
2020-05-06,208.12,211.6,206.66,208.47,208.47,21856963.0,0.0,1.0
2020-05-05,207.02,210.38,206.5,207.07,207.07,21071223.0,0.0,1.0
2020-05-04,200.2,205.91,198.7562,205.26,205.26,19250673.0,0.0,1.0
2020-05-01,201.6,207.28,199.0501,202.27,202.27,30415581.0,0.0,1.0
2020-04-30,206.92,209.69,201.5701,204.71,204.71,46230116.0,0.0,1.0
2020-04-29,190.93,196.91,190.0,194.19,194.19,45954521.0,0.0,1.0
2020-04-28,188.66,189.2,182.56,182.91,182.91,21730986.0,0.0,1.0
2020-04-27,192.99,193.75,187.41,187.5,187.5,29197750.0,0.0,1.0
2020-04-24,183.23,190.41,180.825,190.07,190.07,28868528.0,0.0,1.0
2020-04-23,184.08,187.05,183.15,185.13,185.13,21426604.0,0.0,1.0
2020-04-22,178.45,184.78,178.14,182.28,182.28,33369931.0,0.0,1.0
2020-04-21,175.25,175.38,168.3408,170.8,170.8,24850528.0,0.0,1.0
2020-04-20,177.41,180.5,176.77,178.24,178.24,16110664.0,0.0,1.0
2020-04-17,179.2,180.28,176.66,179.24,179.24,20974750.0,0.0,1.0
2020-04-16,177.95,178.05,172.51,176.25,176.25,23593229.0,0.0,1.0
2020-04-15,175.1865,178.19,172.82,176.97,176.97,17423003.0,0.0,1.0
2020-04-14,178.9765,181.225,176.62,178.17,178.17,21011815.0,0.0,1.0
2020-04-13,173.67,175.0,169.45,174.79,174.79,19355355.0,0.0,1.0
2020-04-09,175.9,177.08,171.57,175.19,175.19,23534287.0,0.0,1.0
2020-04-08,171.25,175.0,167.74,174.28,174.28,21664198.0,0.0,1.0
2020-04-07,171.79,173.39,166.01,168.83,168.83,31411919.0,0.0,1.0
2020-04-06,160.15,166.2,158.51,165.55,165.55,28453581.0,0.0,1.0
2020-04-03,157.15,157.91,150.83,154.18,154.18,25983317.0,0.0,1.0
2020-04-02,159.1,161.3509,155.92,158.19,158.19,20886309.0,0.0,1.0
2020-04-01,161.615,164.15,158.035,159.6,159.6,19507559.0,0.0,1.0
2020-03-31,165.48,170.93,164.2,166.8,166.8,23676283.0,0.0,1.0
2020-03-30,159.18,166.75,158.06,165.95,165.95,22515225.0,0.0,1.0
2020-03-27,158.2,160.09,154.75,156.79,156.79,24879869.0,0.0,1.0
2020-03-26,158.25,164.0,157.0201,163.34,163.34,26579021.0,0.0,1.0
2020-03-25,158.92,162.99,153.06,156.21,156.21,35184271.0,0.0,1.0
2020-03-24,155.205,161.31,152.57,160.98,160.98,30440369.0,0.0,1.0
2020-03-23,149.66,152.31,142.25,148.1,148.1,29830765.0,0.0,1.0
2020-03-20,156.02,159.27,148.0,149.73,149.73,32568398.0,0.0,1.0
2020-03-19,146.62,159.9294,144.8,153.13,153.13,39862312.0,0.0,1.0
2020-03-18,139.75,148.18,137.1006,146.96,146.96,37553136.0,0.0,1.0
2020-03-17,150.74,153.94,140.0,149.42,149.42,34255596.0,0.0,1.0
