,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,1550.0,1577.1316,1505.2427,1511.34,1511.34,1845064.0,0.0,1.0
2020-07-10,1506.15,1543.83,1496.54,1541.74,1541.74,1857200.0,0.0,1.0
2020-07-09,1506.45,1522.72,1488.08,1510.99,1510.99,1423300.0,0.0,1.0
2020-07-08,1494.32,1505.88,1485.63,1496.0,1496.0,1249700.0,0.0,1.0
2020-07-07,1490.0,1516.8,1483.55,1485.18,1485.18,1458200.0,0.0,1.0
2020-07-06,1480.06,1506.59,1472.86,1495.7,1495.7,1564000.0,0.0,1.0
2020-07-02,1446.94,1482.95,1446.42,1464.7,1464.7,1859790.0,0.0,1.0
2020-07-01,1411.1,1443.0,1409.82,1438.04,1438.04,1775613.0,0.0,1.0
2020-06-30,1390.44,1418.65,1383.96,1413.61,1413.61,2042381.0,0.0,1.0
2020-06-29,1358.18,1395.6,1347.01,1394.97,1394.97,1810180.0,0.0,1.0
2020-06-26,1431.39,1433.45,1351.99,1359.9,1359.9,4267698.0,0.0,1.0
2020-06-25,1429.9,1442.9,1420.0,1441.33,1441.33,1230474.0,0.0,1.0
2020-06-24,1461.51,1475.42,1429.75,1431.97,1431.97,1756022.0,0.0,1.0
2020-06-23,1455.64,1475.94,1445.24,1464.41,1464.41,1429764.0,0.0,1.0
2020-06-22,1429.0,1452.75,1423.21,1451.86,1451.86,1542440.0,0.0,1.0
2020-06-19,1444.0,1447.8,1421.35,1431.72,1431.72,3157875.0,0.0,1.0
2020-06-18,1449.16,1451.41,1427.01,1435.96,1435.96,1581916.0,0.0,1.0
2020-06-17,1447.16,1460.0,1431.38,1451.12,1451.12,1549615.0,0.0,1.0
2020-06-16,1445.22,1455.02,1425.9,1442.72,1442.72,1711614.0,0.0,1.0
2020-06-15,1390.8,1424.8,1387.92,1419.85,1419.85,1506096.0,0.0,1.0
2020-06-12,1428.49,1437.0,1386.02,1413.18,1413.18,1946367.0,0.0,1.0
2020-06-11,1442.48,1454.47,1402.0,1403.84,1403.84,1991332.0,0.0,1.0
2020-06-10,1459.54,1474.26,1456.27,1465.85,1465.85,1525153.0,0.0,1.0
