,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,251.92,257.86,249.09,249.62,249.62,4435524.0,0.0,1.0
2020-07-10,248.29,250.33,246.64,250.11,250.11,2744800.0,0.0,1.0
2020-07-09,249.66,250.51,246.35,247.96,247.96,2993200.0,0.0,1.0
2020-07-08,247.87,249.79,246.22,249.17,249.17,2291600.0,0.0,1.0
2020-07-07,247.37,250.78,247.07,247.35,247.35,2927200.0,0.0,1.0
2020-07-06,250.27,251.5,247.04,249.55,249.55,3131200.0,0.0,1.0
2020-07-02,251.94,252.3,247.92,248.5,248.5,3368678.0,0.0,1.0
2020-07-01,249.65,250.3295,246.93,248.15,248.15,3678259.0,0.0,1.0
2020-06-30,247.0,251.65,246.09,250.51,250.51,4523479.0,0.0,1.0
2020-06-29,242.66,246.5,240.3401,246.12,246.12,3466426.0,0.0,1.0
2020-06-26,245.35,246.1,240.25,241.01,241.01,4998294.0,0.0,1.0
2020-06-25,244.8,246.35,242.2,245.38,245.38,2936752.0,0.0,1.0
2020-06-24,247.81,250.2873,242.73,246.13,246.13,3870650.0,0.0,1.0
2020-06-23,253.0,253.44,250.13,250.31,250.31,3101037.0,0.0,1.0
2020-06-22,245.7,250.06,245.51,249.16,249.16,3810556.0,0.0,1.0
2020-06-19,253.1,254.3,246.38,246.65,246.65,11113460.0,0.0,1.0
2020-06-18,249.36,251.75,247.13,249.21,249.21,3344278.0,0.0,1.0
2020-06-17,252.77,254.62,250.08,250.85,250.85,4232366.0,0.0,1.0
2020-06-16,249.4,251.65,242.87,249.95,249.95,5291506.0,0.0,1.0
2020-06-15,237.62,242.2199,234.31,241.36,241.36,6250209.0,0.0,1.0
2020-06-12,243.07,246.39,237.05,242.45,242.45,5237248.0,0.0,1.0
2020-06-11,248.86,250.62,238.74,239.47,239.47,6557277.0,0.0,1.0
2020-06-10,257.45,259.2867,254.22,254.45,254.45,3550444.0,0.0,1.0
2020-06-09,255.33,258.29,253.86,256.76,256.76,3715562.0,0.0,1.0
2020-06-08,252.49,256.81,252.26,256.77,256.77,3809737.0,0.0,1.0
2020-06-05,252.34,255.85,250.38,254.9,254.9,5052994.0,0.0,1.0
2020-06-04,249.77,252.173,247.47,248.95,248.95,4756241.0,0.0,1.0
2020-06-03,251.8,252.825,250.3913,251.0,251.0,4635602.0,1.5,1.0
