,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,59.84,60.62,58.39,58.58,58.58,19065095.0,0.0,1.0
2020-07-10,57.95,59.69,57.83,59.53,59.53,17744300.0,0.0,1.0
2020-07-09,58.2,58.75,57.7,58.42,58.42,20683800.0,0.0,1.0
2020-07-08,58.45,58.7,57.93,58.61,58.61,13278900.0,0.0,1.0
2020-07-07,59.07,59.57,58.14,58.31,58.31,15996500.0,0.0,1.0
2020-07-06,58.72,59.62,58.6,59.54,59.54,20578400.0,0.0,1.0
2020-07-02,59.19,59.81,58.97,59.13,59.13,15582782.0,0.0,1.0
2020-07-01,59.91,60.03,58.76,58.81,58.81,14756712.0,0.0,1.0
2020-06-30,58.71,59.98,58.54,59.83,59.83,31542056.0,0.0,1.0
2020-06-29,57.47,58.35,56.76,58.27,58.27,22150266.0,0.0,1.0
2020-06-26,58.49,58.73,57.07,57.5,57.5,38477509.0,0.0,1.0
2020-06-25,58.98,59.09,57.48,58.51,58.51,21906941.0,0.0,1.0
2020-06-24,59.64,59.805,58.67,59.09,59.09,27764482.0,0.0,1.0
2020-06-23,60.19,60.47,59.8612,59.92,59.92,22809579.0,0.0,1.0
2020-06-22,59.73,60.545,58.83,60.09,60.09,22846013.0,0.0,1.0
2020-06-19,60.65,60.89,59.1,59.62,59.62,60324579.0,0.0,1.0
2020-06-18,60.35,60.51,59.32,60.08,60.08,24899699.0,0.0,1.0
2020-06-17,60.74,61.28,60.06,60.49,60.49,20454771.0,0.0,1.0
2020-06-16,61.49,61.65,59.49,60.4,60.4,23226634.0,0.0,1.0
2020-06-15,59.33,60.36,58.58,60.1,60.1,29651719.0,0.0,1.0
2020-06-12,60.11,60.96,58.121,59.33,59.33,30419768.0,0.0,1.0
2020-06-11,63.02,63.3,59.52,59.7,59.7,26998242.0,0.0,1.0
2020-06-10,62.79,64.289,62.75,63.87,63.87,21367845.0,0.0,1.0
2020-06-09,62.9935,63.71,62.9,63.04,63.04,23594133.0,0.0,1.0
2020-06-08,63.97,64.15,62.94,63.67,63.67,21546178.0,0.0,1.0
2020-06-05,63.36,65.11,63.16,64.34,64.34,26813098.0,0.0,1.0
2020-06-04,61.74,63.47,61.3438,62.97,62.97,22010142.0,0.0,1.0
2020-06-03,62.45,62.54,61.53,61.93,61.93,16737271.0,0.0,1.0
2020-06-02,61.7,62.17,60.825,62.12,62.12,20702353.0,0.0,1.0
2020-06-01,62.4851,62.66,61.66,61.86,61.86,14329044.0,0.0,1.0
2020-05-29,61.9,63.66,61.62,62.93,62.93,33395738.0,0.0,1.0
2020-05-28,63.0,63.45,61.49,61.7,61.7,17264131.0,0.0,1.0
2020-05-27,62.32,63.59,61.07,63.56,63.56,19886271.0,0.0,1.0
2020-05-26,63.68,64.14,62.12,62.34,62.34,20933556.0,0.0,1.0
2020-05-22,61.98,62.32,61.42,62.255,62.255,14103013.0,0.0,1.0
2020-05-21,63.095,63.8,61.82,61.98,61.98,20967315.0,0.0,1.0
2020-05-20,61.16,63.489,61.02,63.1,63.1,30583988.0,0.0,1.0
2020-05-19,60.13,61.77,59.85,60.29,60.29,21865009.0,0.0,1.0
2020-05-18,59.8,60.28,59.36,59.92,59.92,20443708.0,0.0,1.0
2020-05-15,57.4,58.37,56.96,58.28,58.28,21373268.0,0.0,1.0
2020-05-14,57.32,59.15,56.1,59.08,59.08,21569352.0,0.0,1.0
2020-05-13,58.45,59.23,56.9,57.74,57.74,21064971.0,0.0,1.0
2020-05-12,60.22,60.64,58.26,58.39,58.39,16754898.0,0.0,1.0
2020-05-11,59.74,60.84,59.71,60.13,60.13,18684439.0,0.0,1.0
2020-05-08,59.6694,59.78,59.05,59.67,59.67,20391091.0,0.0,1.0
2020-05-07,59.93,60.0969,58.92,59.17,59.17,14733519.0,0.0,1.0
2020-05-06,59.04,59.95,58.94,59.18,59.18,17848655.0,0.33,1.0
2020-05-05,58.79,59.3,58.35,58.75,58.4242,17252063.0,0.0,1.0
2020-05-04,57.12,58.07,56.31,57.99,57.6684,18957227.0,0.0,1.0
2020-05-01,58.83,59.32,57.31,57.47,57.1513,21194802.0,0.0,1.0
2020-04-30,61.3666,61.54,59.75,59.98,59.6474,26279877.0,0.0,1.0
2020-04-29,59.44,62.03,59.32,61.8,61.4573,30451541.0,0.0,1.0
2020-04-28,59.99,60.22,58.26,58.75,58.4242,28784707.0,0.0,1.0
2020-04-27,59.709,59.83,58.385,59.47,59.1402,25902236.0,0.0,1.0
2020-04-24,56.2,59.4,56.1,59.26,58.9314,50220505.0,0.0,1.0
2020-04-23,59.6735,60.1,58.81,59.04,58.7126,35091952.0,0.0,1.0
2020-04-22,58.27,60.5,57.81,60.1,59.7667,23443745.0,0.0,1.0
2020-04-21,58.11,58.6,55.93,56.36,56.0475,25248033.0,0.0,1.0
2020-04-20,59.279,60.04,58.89,59.18,58.8518,26420309.0,0.0,1.0
2020-04-17,62.02,62.13,59.825,60.36,60.0253,27385636.0,0.0,1.0
2020-04-16,59.61,60.96,58.81,60.79,60.4529,24433516.0,0.0,1.0
