,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,143.61,146.639,143.28,145.21,145.21,6950755.0,0.0,1.0
2020-07-10,142.75,142.87,141.43,142.37,142.37,4278000.0,0.0,1.0
2020-07-09,142.76,144.43,140.58,142.49,142.49,5737300.0,0.0,1.0
2020-07-08,142.87,143.39,141.7,143.27,143.27,6257400.0,0.0,1.0
2020-07-07,141.39,143.97,141.23,142.85,142.85,5620700.0,0.0,1.0
2020-07-06,142.17,143.77,141.88,142.98,142.98,6153700.0,0.0,1.0
2020-07-02,141.25,141.8386,140.33,140.97,140.97,5150554.0,0.0,1.0
2020-07-01,140.69,141.39,140.06,140.38,140.38,6196949.0,0.0,1.0
2020-06-30,139.4,141.02,137.84,140.63,140.63,7732875.0,0.0,1.0
2020-06-29,138.74,139.7,137.98,139.04,139.04,5307332.0,0.0,1.0
2020-06-26,139.53,139.6,137.02,137.81,137.81,12848714.0,0.0,1.0
2020-06-25,140.57,140.57,137.54,139.67,139.67,7419386.0,0.0,1.0
2020-06-24,141.49,142.19,138.72,139.82,139.82,8208504.0,0.0,1.0
2020-06-23,143.74,144.08,142.68,142.86,142.86,5920721.0,0.0,1.0
2020-06-22,143.47,143.66,142.03,143.39,143.39,5281358.0,0.0,1.0
2020-06-19,145.79,145.88,143.25,143.83,143.83,12206940.0,0.0,1.0
2020-06-18,142.52,144.115,141.87,143.41,143.41,4667086.0,0.0,1.0
2020-06-17,144.9,145.42,143.47,144.02,144.02,5092430.0,0.0,1.0
2020-06-16,144.09,145.4219,142.77,144.46,144.46,7578979.0,0.0,1.0
2020-06-15,141.0,142.397,139.3914,141.25,141.25,8649237.0,0.0,1.0
2020-06-12,142.84,143.7067,140.28,142.15,142.15,8685742.0,0.0,1.0
2020-06-11,148.58,149.17,140.75,140.87,140.87,11906959.0,0.0,1.0
2020-06-10,146.6,150.03,146.6,147.8,147.8,10097406.0,0.0,1.0
2020-06-09,148.25,149.33,145.65,145.96,145.96,8246292.0,0.0,1.0
2020-06-08,145.88,147.61,145.74,146.77,146.77,7552228.0,0.0,1.0
2020-06-05,147.69,149.64,146.6,147.3,147.3,9724303.0,0.0,1.0
2020-06-04,146.8,148.37,145.58,146.73,146.73,8168982.0,0.0,1.0
