,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,98.7303,99.2663,96.225,97.65,97.65,31984843.0,0.0,1.0
2020-07-10,92.0,96.84,91.87,96.27,96.27,28936100.0,0.0,1.0
2020-07-09,93.52,94.12,90.78,91.28,91.28,25537700.0,0.0,1.0
2020-07-08,92.29,93.34,91.8,93.3,93.3,18747100.0,0.0,1.0
2020-07-07,93.82,94.1,92.0,92.32,92.32,25716600.0,0.0,1.0
2020-07-06,94.43,95.2,93.48,95.0,95.0,18591300.0,0.0,1.0
2020-07-02,94.74,94.96,91.931,92.66,92.66,27823420.0,0.9,1.0
2020-07-01,94.89,95.705,93.0301,93.26,92.3629,18813874.0,0.0,1.0
2020-06-30,92.83,94.6598,92.57,94.06,93.1552,19104819.0,0.0,1.0
2020-06-29,93.4,94.49,92.18,93.0,92.1054,18441435.0,0.0,1.0
2020-06-26,95.11,95.37,92.0,92.59,91.6993,41871942.0,0.0,1.0
2020-06-25,94.35,98.21,94.2622,97.96,97.0177,25660076.0,0.0,1.0
2020-06-24,96.75,96.84,94.31,94.66,93.7494,22887863.0,0.0,1.0
2020-06-23,98.97,99.97,97.85,97.93,96.988,15360209.0,0.0,1.0
2020-06-22,97.25,97.95,96.54,96.75,95.8193,16184557.0,0.0,1.0
2020-06-19,100.53,100.6,96.73,97.81,96.8691,40322181.0,0.0,1.0
2020-06-18,98.67,100.52,98.13,98.94,97.9882,16542324.0,0.0,1.0
2020-06-17,102.53,102.54,99.21,99.48,98.5231,15615730.0,0.0,1.0
2020-06-16,105.37,105.68,99.31,102.06,101.0782,22161662.0,0.0,1.0
2020-06-15,96.42,101.43,95.87,101.25,100.276,22123470.0,0.0,1.0
2020-06-12,100.71,101.13,97.33,99.87,98.9093,24847593.0,0.0,1.0
2020-06-11,100.03,101.58,96.54,97.21,96.2749,36188133.0,0.0,1.0
2020-06-10,110.46,110.505,105.85,106.06,105.0398,24808690.0,0.0,1.0
2020-06-09,110.65,111.63,109.01,110.54,109.4767,16998077.0,0.0,1.0
2020-06-08,113.41,114.19,111.94,113.45,112.3587,24849521.0,0.0,1.0
2020-06-05,114.93,115.77,109.53,111.23,110.16,42221859.0,0.0,1.0
2020-06-04,103.82,106.61,102.79,106.44,105.4161,26767072.0,0.0,1.0
2020-06-03,101.58,104.92,101.06,104.27,103.267,25912786.0,0.0,1.0
2020-06-02,100.28,100.42,97.9276,98.93,97.9783,21179324.0,0.0,1.0
2020-06-01,97.75,99.5115,97.38,98.6,97.6515,15175467.0,0.0,1.0
2020-05-29,98.66,99.18,96.775,97.31,96.3739,26524824.0,0.0,1.0
2020-05-28,102.94,102.95,99.4,99.86,98.8994,24710215.0,0.0,1.0
2020-05-27,102.07,102.58,98.8,101.37,100.3949,39352961.0,0.0,1.0
2020-05-26,92.89,97.5,92.61,95.82,94.8983,41212819.0,0.0,1.0
2020-05-22,90.01,90.36,88.72,89.47,88.6093,13548471.0,0.0,1.0
2020-05-21,90.27,91.76,89.67,90.17,89.3026,15026988.0,0.0,1.0
2020-05-20,90.71,92.385,90.37,91.33,90.4515,20542199.0,0.0,1.0
2020-05-19,90.05,91.1987,88.59,88.67,87.817,19577104.0,0.0,1.0
2020-05-18,88.69,91.15,87.88,90.45,89.5799,30503120.0,0.0,1.0
2020-05-15,86.85,87.28,85.3,85.9,85.0737,26086370.0,0.0,1.0
2020-05-14,82.72,88.11,82.4,87.52,86.6781,35081581.0,0.0,1.0
2020-05-13,86.38,86.86,83.4,84.03,83.2217,35428515.0,0.0,1.0
2020-05-12,90.15,90.79,86.9,87.03,86.1928,27897255.0,0.0,1.0
2020-05-11,91.11,91.11,89.33,89.97,89.1045,31870987.0,0.0,1.0
2020-05-08,92.8,94.08,92.11,92.7,91.8083,20487319.0,0.0,1.0
