,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,45.53,45.68,44.96,45.25,45.25,16609900.0,0.0,1.0
2020-07-10,43.88,45.25,43.86,45.15,45.15,15620600.0,0.0,1.0
2020-07-09,45.05,45.05,43.83,43.91,43.91,16080900.0,0.0,1.0
2020-07-08,45.14,45.18,44.47,45.07,45.07,13848600.0,0.0,1.0
2020-07-07,45.0,45.5,44.8,45.21,45.21,13034000.0,0.0,1.0
2020-07-06,45.14,45.27,44.61,45.23,45.23,15139500.0,0.0,1.0
2020-07-02,45.29,45.43,44.8,44.88,44.88,15108100.0,0.0,1.0
2020-07-01,44.93,45.53,44.71,44.82,44.82,14321700.0,0.0,1.0
2020-06-30,44.25,44.83,44.04,44.68,44.68,23675700.0,0.0,1.0
2020-06-29,44.0,44.57,43.55,44.36,44.36,17596400.0,0.0,1.0
2020-06-26,44.92,45.01,43.51,43.57,43.57,21944136.0,0.0,1.0
2020-06-25,44.47,44.98,44.03,44.93,44.93,13824664.0,0.0,1.0
2020-06-24,45.37,45.44,44.5,44.65,44.65,17627883.0,0.0,1.0
2020-06-23,46.0,46.29,45.58,45.64,45.64,14671178.0,0.0,1.0
2020-06-22,46.03,46.15,45.38,45.74,45.74,20870918.0,0.0,1.0
2020-06-19,47.77,47.79,46.02,46.02,46.02,30464581.0,0.0,1.0
2020-06-18,46.3,47.04,46.07,46.99,46.99,9365593.0,0.0,1.0
2020-06-17,46.78,47.06,46.44,46.58,46.58,12599347.0,0.0,1.0
2020-06-16,47.56,47.685,46.19,46.77,46.77,18802753.0,0.0,1.0
2020-06-15,44.57,46.45,44.47,46.3,46.3,15622016.0,0.0,1.0
2020-06-12,46.21,46.25,45.01,45.6,45.6,21813209.0,0.41,1.0
2020-06-11,47.81,47.92,45.46,45.54,45.1342,26056707.0,0.0,1.0
2020-06-10,49.16,49.265,48.57,48.62,48.1867,15675816.0,0.0,1.0
2020-06-09,49.59,49.59,48.68,49.0,48.5634,16707488.0,0.0,1.0
2020-06-08,49.54,49.97,49.47,49.85,49.4058,19889765.0,0.0,1.0
2020-06-05,48.54,49.49,48.46,49.09,48.6526,20499142.0,0.0,1.0
2020-06-04,47.94,48.265,47.38,47.92,47.493,13600561.0,0.0,1.0
2020-06-03,47.27,48.115,47.12,47.9,47.4732,15502059.0,0.0,1.0
2020-06-02,47.16,47.28,46.56,46.9,46.4821,15251495.0,0.0,1.0
2020-06-01,46.66,47.23,46.59,46.99,46.5713,17010571.0,0.0,1.0
2020-05-29,46.68,47.19,46.14,46.68,46.264,51125046.0,0.0,1.0
2020-05-28,47.3,47.46,46.82,47.09,46.6704,16230327.0,0.0,1.0
2020-05-27,47.0,47.09,46.165,46.73,46.3136,18441417.0,0.0,1.0
2020-05-26,46.92,46.93,45.93,46.09,45.6793,22221697.0,0.0,1.0
2020-05-22,45.22,45.305,44.65,45.03,44.6287,13007667.0,0.0,1.0
2020-05-21,46.08,46.09,45.03,45.17,44.7675,13274462.0,0.0,1.0
2020-05-20,45.2,46.17,45.02,45.89,45.4811,22290905.0,0.0,1.0
2020-05-19,45.01,45.33,44.25,44.54,44.1431,17836565.0,0.0,1.0
2020-05-18,44.82,45.39,44.13,44.97,44.5693,26118213.0,0.0,1.0
2020-05-15,43.96,44.69,43.2,43.26,42.8745,31570613.0,0.0,1.0
2020-05-14,43.38,44.06,43.23,43.7,43.3106,17990670.0,0.0,1.0
2020-05-13,44.71,44.78,43.5217,43.94,43.5484,15848600.0,0.0,1.0
2020-05-12,45.6,45.85,44.8,44.82,44.4206,13417868.0,0.0,1.0
2020-05-11,45.69,46.11,45.52,45.54,45.1342,10868383.0,0.0,1.0
2020-05-08,45.08,46.22,44.88,46.11,45.6991,13984960.0,0.0,1.0
2020-05-07,45.15,45.24,44.5,44.6,44.2026,16465906.0,0.0,1.0
2020-05-06,45.4,45.63,44.72,44.75,44.3512,11887313.0,0.0,1.0
2020-05-05,45.36,46.1,45.15,45.4,44.9954,13366645.0,0.0,1.0
2020-05-04,45.32,45.48,44.6,45.14,44.7378,22541047.0,0.0,1.0
2020-05-01,45.62,46.39,45.21,45.6,45.1937,14285377.0,0.0,1.0
2020-04-30,47.0,47.0,45.7,45.89,45.4811,20791279.0,0.0,1.0
2020-04-29,47.27,47.86,46.88,47.12,46.7001,15769630.0,0.0,1.0
2020-04-28,47.9,48.0,46.57,46.74,46.3235,17239191.0,0.0,1.0
2020-04-27,46.0,46.975,45.71,46.78,46.3631,19172598.0,0.0,1.0
2020-04-24,45.5,45.75,45.1201,45.43,45.0252,15174873.0,0.0,1.0
2020-04-23,45.95,46.1,44.97,45.07,44.6684,17659287.0,0.0,1.0
2020-04-22,46.05,46.145,45.5,45.68,45.2729,15811619.0,0.0,1.0
2020-04-21,45.88,46.9014,44.26,45.38,44.9756,26856504.0,0.0,1.0
2020-04-20,47.79,48.0,46.31,46.53,46.1154,18927029.0,0.0,1.0
2020-04-17,48.3,48.3,47.37,48.06,47.6317,19840101.0,0.0,1.0
2020-04-16,47.4,47.85,46.76,47.1,46.6803,17572791.0,0.0,1.0
2020-04-15,47.71,48.4,47.41,47.61,47.1857,12877619.0,0.0,1.0
2020-04-14,47.94,49.25,46.93,48.92,48.4841,21794319.0,0.0,1.0
2020-04-13,48.35,48.64,46.5,46.93,46.5118,19578090.0,0.0,1.0
2020-04-09,48.44,49.73,48.35,49.0,48.5634,19163832.0,0.0,1.0
2020-04-08,46.64,48.09,46.33,47.82,47.3939,18931984.0,0.0,1.0
2020-04-07,48.5,48.6,46.48,46.51,46.0955,21275214.0,0.0,1.0
2020-04-06,45.39,47.01,44.69,46.67,46.2541,22843922.0,0.0,1.0
2020-04-03,43.58,44.335,43.31,43.83,43.4394,14204266.0,0.0,1.0
2020-04-02,42.22,44.19,41.8623,43.95,43.5584,17619683.0,0.0,1.0
2020-04-01,42.48,43.65,41.8,42.12,41.7447,21928902.0,0.0,1.0
2020-03-31,45.07,45.51,44.06,44.25,43.8557,25357374.0,0.0,1.0
2020-03-30,43.04,45.56,43.04,45.0,44.599,23426329.0,0.0,1.0
2020-03-27,43.66,44.03,42.4,42.81,42.4285,23291961.0,0.0,1.0
2020-03-26,42.84,45.27,42.45,44.29,43.8953,37818599.0,0.0,1.0
2020-03-25,40.63,43.45,39.91,41.61,41.2392,42501287.0,0.0,1.0
2020-03-24,41.22,41.4,38.83,39.45,39.0985,49065438.0,0.0,1.0
2020-03-23,38.755,38.8862,36.27,37.56,37.2253,44952445.0,0.0,1.0
2020-03-20,41.95,42.07,37.51,38.3,37.9587,51493270.0,0.0,1.0
2020-03-19,44.36,44.66,41.04,41.83,41.4572,41945862.0,0.0,1.0
2020-03-18,44.74,45.15,41.59,44.85,44.4503,35020842.0,0.0,1.0
2020-03-17,45.88,47.5,45.37,47.18,46.7596,32100035.0,0.0,1.0
2020-03-16,42.24,47.88,41.17,45.26,44.8567,28674815.0,0.0,1.0
2020-03-13,49.51,49.56,46.605,48.47,48.0381,33684332.0,0.41,1.0
2020-03-12,48.54,49.93,46.69,47.16,46.3477,31893748.0,0.0,1.0
2020-03-11,52.35,52.65,51.14,52.21,51.3107,22610926.0,0.0,1.0
2020-03-10,53.22,53.795,51.17,53.66,52.7357,27451551.0,0.0,1.0
2020-03-09,52.05,53.58,51.475,51.86,50.9668,27867037.0,0.0,1.0
2020-03-06,54.94,55.91,53.98,55.26,54.3082,22351990.0,0.0,1.0
2020-03-05,57.8,58.17,56.19,56.74,55.7627,17946121.0,0.0,1.0
2020-03-04,56.41,59.0,56.41,58.92,57.9051,20522577.0,0.0,1.0
2020-03-03,56.76,57.49,55.64,56.06,55.0944,27095185.0,0.0,1.0
2020-03-02,53.93,55.96,53.7,55.92,54.9568,25695354.0,0.0,1.0
2020-02-28,53.83,53.89,51.58,53.49,52.5687,40890378.0,0.0,1.0
