,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,227.92,230.89,225.78,225.78,225.78,1148600.0,0.0,1.0
2020-07-10,224.21,226.59,223.11,225.95,225.95,1448300.0,0.0,1.0
2020-07-09,225.66,226.33,220.27,221.95,221.95,2312400.0,0.0,1.0
2020-07-08,226.31,227.49,218.64,221.52,221.52,3063600.0,0.0,1.0
2020-07-07,222.74,225.88,222.38,224.53,224.53,2171600.0,0.0,1.0
2020-07-06,225.0,225.59,221.62,224.65,224.65,2860600.0,0.0,1.0
2020-07-02,218.52,222.03,218.52,221.26,221.26,2837800.0,0.0,1.0
2020-07-01,211.55,215.65,210.73,214.77,214.77,2127100.0,0.0,1.0
2020-06-30,209.64,213.57,209.45,212.11,212.11,1697400.0,0.0,1.0
2020-06-29,209.92,212.23,208.21,211.28,211.28,1406100.0,0.0,1.0
2020-06-26,208.86,209.11,204.59,206.82,206.82,2794645.0,0.0,1.0
2020-06-25,205.7,209.39,204.02,209.14,209.14,1163272.0,0.0,1.0
2020-06-24,208.99,210.16,204.8,206.07,206.07,2068460.0,0.0,1.0
2020-06-23,214.84,215.2,212.24,212.37,212.37,2044290.0,0.0,1.0
2020-06-22,208.81,210.7,207.73,209.97,209.97,1510764.0,0.0,1.0
2020-06-19,211.72,211.75,205.265,208.05,208.05,4634976.0,0.0,1.0
2020-06-18,208.97,210.2,207.0,208.16,208.16,1563768.0,0.0,1.0
2020-06-17,210.08,210.275,206.84,207.48,207.48,1577362.0,0.0,1.0
2020-06-16,208.12,209.68,204.63,208.28,208.28,1878116.0,0.0,1.0
2020-06-15,198.33,204.51,197.26,203.24,203.24,2142055.0,0.0,1.0
2020-06-12,204.59,204.88,198.31,201.94,201.94,1711890.0,0.0,1.0
2020-06-11,209.37,209.9,198.69,199.11,199.11,2924958.0,0.0,1.0
2020-06-10,216.53,216.58,211.98,213.36,213.36,1748178.0,0.0,1.0
2020-06-09,215.33,217.65,213.705,214.23,214.23,2499401.0,0.0,1.0
2020-06-08,220.54,221.99,214.805,216.43,216.43,2970417.0,0.0,1.0
2020-06-05,220.03,224.32,219.47,221.28,221.28,3525600.0,0.0,1.0
2020-06-04,213.31,214.25,210.66,212.56,212.56,1951502.0,0.0,1.0
2020-06-03,211.0,213.65,208.9224,212.89,212.89,2155288.0,0.0,1.0
2020-06-02,205.03,207.06,204.44,206.26,206.26,1675139.0,0.963,1.0
2020-06-01,202.49,205.92,202.25,205.22,204.2663,1658267.0,0.0,1.0
2020-05-29,201.54,203.12,198.975,202.34,201.3997,2354678.0,0.0,1.0
2020-05-28,197.89,201.93,196.73,200.04,199.1104,1740236.0,0.0,1.0
2020-05-27,194.7,194.75,191.505,193.13,192.2325,1603387.0,0.0,1.0
2020-05-26,194.0,195.0,192.31,193.0,192.1031,2214285.0,0.0,1.0
2020-05-22,192.42,192.705,190.345,190.87,189.983,1675961.0,0.0,1.0
2020-05-21,195.38,195.82,192.51,193.67,192.77,1891572.0,0.0,1.0
2020-05-20,192.8,197.34,192.66,195.99,195.0792,2300438.0,0.0,1.0
2020-05-19,191.45,192.25,189.86,190.25,189.3659,1774436.0,0.0,1.0
2020-05-18,187.91,193.68,187.68,192.25,191.3566,2105201.0,0.0,1.0
