,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,164.61,167.0,161.04,162.15,162.15,2642000.0,0.0,1.0
2020-07-10,166.14,166.14,162.74,163.36,163.36,2245100.0,0.0,1.0
2020-07-09,169.88,170.75,163.71,166.45,166.45,2955300.0,0.0,1.0
2020-07-08,166.84,169.82,166.84,169.13,169.13,2781700.0,0.0,1.0
2020-07-07,166.12,168.38,165.27,166.75,166.75,3273300.0,0.0,1.0
2020-07-06,164.46,168.92,164.01,166.89,166.89,2759400.0,0.0,1.0
2020-07-02,164.07,164.77,162.37,163.87,163.87,1960200.0,0.0,1.0
2020-07-01,164.32,165.47,162.52,163.3,163.3,2066700.0,0.0,1.0
2020-06-30,163.11,165.17,162.3,164.18,164.18,3296300.0,0.0,1.0
2020-06-29,163.85,164.21,161.03,162.72,162.72,2640200.0,0.0,1.0
2020-06-26,162.33,163.7888,160.18,162.83,162.83,5290342.0,0.0,1.0
2020-06-25,157.64,163.39,156.71,162.86,162.86,3735397.0,0.0,1.0
2020-06-24,158.55,159.79,156.33,157.03,157.03,3094895.0,0.0,1.0
2020-06-23,160.89,162.87,158.95,159.34,159.34,2771483.0,0.0,1.0
2020-06-22,159.18,161.48,158.92,160.45,160.45,2647345.0,0.0,1.0
2020-06-19,162.23,162.48,158.26,159.94,159.94,5986290.0,0.0,1.0
2020-06-18,159.2,162.97,158.2,161.07,161.07,3630076.0,0.0,1.0
2020-06-17,164.23,164.36,159.4,159.97,159.97,4709444.0,0.0,1.0
2020-06-16,156.32,167.43,155.0,163.71,163.71,15029199.0,0.0,1.0
2020-06-15,142.0,142.9,139.68,141.52,141.52,3707472.0,0.0,1.0
2020-06-12,145.54,146.38,141.47,143.54,143.54,3973188.0,0.0,1.0
2020-06-11,151.85,152.24,143.05,144.08,144.08,4546784.0,0.0,1.0
2020-06-10,149.96,152.4,149.84,151.0,151.0,4929080.0,0.0,1.0
2020-06-09,149.75,151.75,149.11,149.13,149.13,4302120.0,0.0,1.0
2020-06-08,146.75,149.25,146.52,149.21,149.21,4076385.0,0.0,1.0
2020-06-05,149.7,151.76,148.34,149.21,149.21,4578847.0,0.0,1.0
2020-06-04,152.21,153.54,149.711,150.71,150.71,3328738.0,0.0,1.0
2020-06-03,153.34,154.39,150.85,152.53,152.53,3189436.0,0.0,1.0
2020-06-02,152.08,154.08,151.04,153.86,153.86,3269402.0,0.0,1.0
2020-06-01,154.47,154.99,150.891,152.45,152.45,5233750.0,0.0,1.0
2020-05-29,151.66,153.64,149.94,152.95,152.95,9465949.0,0.0,1.0
2020-05-28,147.43,152.1,146.51,150.65,150.65,3982651.0,0.0,1.0
2020-05-27,148.17,148.17,143.62,145.7,145.7,5376094.0,0.0,1.0
2020-05-26,151.11,151.76,147.16,147.96,147.96,5007932.0,0.0,1.0
2020-05-22,152.22,152.56,150.1672,151.16,151.16,2354960.0,0.0,1.0
2020-05-21,153.15,153.15,149.7208,152.28,152.28,3049755.0,0.0,1.0
2020-05-20,155.27,157.43,151.61,153.13,153.13,3780228.0,0.0,1.0
2020-05-19,156.85,159.13,155.28,156.7,156.7,2339379.0,0.0,1.0
2020-05-18,161.34,162.37,157.11,157.96,157.96,2703651.0,0.0,1.0
2020-05-15,158.63,159.51,156.03,159.23,159.23,2824541.0,0.0,1.0
2020-05-14,155.94,158.95,153.81,158.38,158.38,2392951.0,0.74,1.0
2020-05-13,157.03,159.35,156.04,157.93,157.1955,2649751.0,0.0,1.0
2020-05-12,159.87,161.4,157.59,157.72,156.9865,2329249.0,0.0,1.0
2020-05-11,153.47,159.47,153.08,158.55,157.8127,3196218.0,0.0,1.0
2020-05-08,154.2,154.42,152.55,153.51,152.7961,1966618.0,0.0,1.0
2020-05-07,157.5,157.69,152.72,152.97,152.2586,2330578.0,0.0,1.0
2020-05-06,158.46,158.94,156.35,156.68,155.9513,1964781.0,0.0,1.0
2020-05-05,153.8,159.22,152.75,157.89,157.1557,2862594.0,0.0,1.0
2020-05-04,154.65,156.0,151.26,153.28,152.5672,2228449.0,0.0,1.0
2020-05-01,153.72,154.605,151.57,153.63,152.9155,2576415.0,0.0,1.0
2020-04-30,155.2,156.9785,153.28,154.64,153.9208,4172875.0,0.0,1.0
2020-04-29,157.76,158.03,154.67,155.16,154.4384,3240729.0,0.0,1.0
2020-04-28,160.94,161.9803,156.59,157.3,156.5685,3270176.0,0.0,1.0
2020-04-27,164.0,164.5,160.72,161.29,160.5399,3210349.0,0.0,1.0
2020-04-24,162.0,164.9,160.61,162.93,162.1723,4414022.0,0.0,1.0
2020-04-23,157.18,162.56,154.0,159.93,159.1862,5689915.0,0.0,1.0
2020-04-22,154.61,157.28,153.57,156.71,155.9812,3277855.0,0.0,1.0
2020-04-21,155.41,155.8,151.41,152.67,151.96,4243180.0,0.0,1.0
2020-04-20,156.63,160.1974,155.61,157.79,157.0562,2562180.0,0.0,1.0
2020-04-17,155.42,157.67,153.03,157.29,156.5585,3709851.0,0.0,1.0
2020-04-16,152.89,155.59,152.0,154.73,154.0104,3510517.0,0.0,1.0
2020-04-15,148.94,153.4,148.51,151.18,150.4769,3614354.0,0.0,1.0
2020-04-14,147.28,151.5483,144.05,151.11,150.4073,3808936.0,0.0,1.0
2020-04-13,144.97,146.59,142.88,144.42,143.7484,2287832.0,0.0,1.0
2020-04-09,144.51,146.4,143.55,145.73,145.0523,4415305.0,0.0,1.0
2020-04-08,142.05,147.25,140.5,146.22,145.54,4006516.0,0.0,1.0
2020-04-07,143.13,144.8,140.05,141.88,141.2202,3900633.0,0.0,1.0
2020-04-06,142.27,143.5,140.3,141.61,140.9514,4159109.0,0.0,1.0
2020-04-03,140.92,144.6,138.46,139.66,139.0105,4013151.0,0.0,1.0
2020-04-02,135.35,142.8,133.03,142.18,141.5188,4725045.0,0.0,1.0
2020-04-01,134.0,137.19,132.98,136.42,135.7856,3297291.0,0.0,1.0
2020-03-31,136.96,142.02,134.52,138.72,138.0749,7560106.0,0.0,1.0
