,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,297.86,298.62,290.0229,290.18,290.18,4851009.0,0.0,1.0
2020-07-10,294.0,296.96,291.5,295.68,295.68,3030400.0,0.0,1.0
2020-07-09,299.62,300.72,290.56,294.59,294.59,5042800.0,0.0,1.0
2020-07-08,300.91,301.54,297.4,300.15,300.15,4114900.0,0.4,1.0
2020-07-07,303.19,307.79,299.4,299.91,299.51,3632900.0,0.0,1.0
2020-07-06,306.65,307.32,303.17,305.57,305.16,3012400.0,0.0,1.0
2020-07-02,304.33,306.89,301.31,302.42,302.02,3288700.0,0.0,1.0
2020-07-01,295.96,303.27,295.12,301.17,300.77,3803900.0,0.0,1.0
2020-06-30,293.09,296.6,291.01,295.7,295.31,4282300.0,0.0,1.0
2020-06-29,291.34,293.15,285.15,292.93,292.54,3639500.0,0.0,1.0
2020-06-26,296.88,298.11,289.17,289.34,288.95,4920200.0,0.0,1.0
2020-06-25,294.16,298.39,290.67,298.01,297.61,3292900.0,0.0,1.0
2020-06-24,305.0,305.52,293.06,294.01,293.62,5081400.0,0.0,1.0
2020-06-23,307.03,310.43,304.42,306.88,306.47,3799800.0,0.0,1.0
2020-06-22,299.6,304.95,297.73,304.44,304.03,3486200.0,0.0,1.0
2020-06-19,309.5,309.5,296.5,296.5,296.11,4532000.0,0.0,1.0
2020-06-18,301.83,305.1,300.5,304.85,304.44,2774900.0,0.0,1.0
2020-06-17,305.0,307.48,303.08,303.76,303.36,2562600.0,0.0,1.0
2020-06-16,305.91,309.09,300.11,304.48,304.07,4012800.0,0.0,1.0
2020-06-15,290.0,298.92,288.75,297.17,296.77,5932800.0,0.0,1.0
2020-06-12,298.79,299.99,290.89,297.79,297.39,4509900.0,0.0,1.0
2020-06-11,305.01,306.49,291.06,291.25,290.86,6498500.0,0.0,1.0
2020-06-10,312.39,316.06,310.29,313.15,312.73,4082500.0,0.0,1.0
