,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,185.6,188.95,184.71,184.92,184.92,3206900.0,0.0,1.0
2020-07-10,183.78,185.44,183.01,184.88,184.88,2714100.0,0.0,1.0
2020-07-09,186.22,186.59,182.62,184.33,184.33,2331900.0,0.0,1.0
2020-07-08,185.5,187.23,184.75,185.85,185.85,2775200.0,0.0,1.0
2020-07-07,187.37,187.85,185.25,185.82,185.82,2398200.0,0.0,1.0
2020-07-06,186.0,188.72,184.14,188.5,188.5,3170500.0,0.0,1.0
2020-07-02,187.0,187.0,182.86,183.52,183.52,2689200.0,0.0,1.0
2020-07-01,184.95,186.44,183.72,184.66,184.66,2193000.0,0.0,1.0
2020-06-30,182.92,185.2,181.89,184.47,184.47,3163100.0,0.0,1.0
2020-06-29,180.57,182.83,179.17,182.8,182.8,2621500.0,0.0,1.0
2020-06-26,182.37,182.81,178.88,179.74,179.74,5106402.0,0.0,1.0
2020-06-25,183.51,184.08,180.325,182.76,182.76,3141265.0,0.0,1.0
2020-06-24,184.96,185.71,181.34,184.29,184.29,4144862.0,0.0,1.0
2020-06-23,189.55,189.73,186.32,186.62,186.62,2950934.0,0.0,1.0
2020-06-22,186.0,187.77,184.89,187.46,187.46,3220707.0,0.0,1.0
2020-06-19,192.29,192.3565,186.53,186.56,186.56,6267477.0,0.0,1.0
2020-06-18,190.01,190.74,187.89,189.49,189.49,3152684.0,0.0,1.0
2020-06-17,191.92,192.88,190.42,190.79,190.79,3152759.0,0.0,1.0
2020-06-16,192.0,193.5,187.51,190.32,190.32,5421137.0,0.0,1.0
2020-06-15,184.6,190.1199,184.13,189.49,189.49,4498715.0,0.0,1.0
2020-06-12,191.67,191.67,185.45,189.17,189.17,4107442.0,0.0,1.0
2020-06-11,190.9,192.91,186.33,187.51,187.51,5792914.0,0.0,1.0
2020-06-10,199.13,199.555,195.6699,195.8,195.8,3449002.0,0.0,1.0
2020-06-09,200.37,201.57,199.01,199.52,199.52,3727547.0,0.0,1.0
2020-06-08,195.68,202.73,195.64,202.65,202.65,4442291.0,0.0,1.0
