,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,91.31,94.67,91.04,92.77,92.77,7392200.0,0.0,1.0
2020-07-10,89.68,90.97,89.37,90.81,90.81,4933900.0,0.0,1.0
2020-07-09,91.44,91.79,89.22,90.13,90.13,4061100.0,0.0,1.0
2020-07-08,91.62,92.01,90.64,91.61,91.61,3955300.0,0.0,1.0
2020-07-07,92.07,93.09,91.45,91.67,91.67,4045600.0,0.0,1.0
2020-07-06,94.12,94.82,92.5,93.21,93.21,4366400.0,0.0,1.0
2020-07-02,93.31,94.42,92.97,93.16,93.16,3937800.0,0.0,1.0
2020-07-01,91.78,92.73,91.46,92.32,92.32,4332400.0,0.0,1.0
2020-06-30,90.2,92.17,89.01,91.7,91.7,5463500.0,0.0,1.0
2020-06-29,89.48,90.3,88.46,90.26,90.26,5240100.0,0.0,1.0
2020-06-26,89.0,89.6015,88.19,88.77,88.77,9108169.0,0.0,1.0
2020-06-25,88.2,89.08,87.68,88.86,88.86,5671065.0,0.58,1.0
2020-06-24,92.51,92.61,88.87,88.93,88.3533,10924713.0,0.0,1.0
2020-06-23,94.38,95.13,93.29,93.39,92.7844,5160152.0,0.0,1.0
2020-06-22,93.03,93.72,91.69,93.33,92.7248,5369884.0,0.0,1.0
2020-06-19,96.04,96.38,93.34,93.91,93.301,7084243.0,0.0,1.0
2020-06-18,94.74,95.57,93.95,94.43,93.8176,3692618.0,0.0,1.0
2020-06-17,95.65,96.49,95.0,95.48,94.8608,5360870.0,0.0,1.0
2020-06-16,96.5,96.9,94.63,95.55,94.9304,6500084.0,0.0,1.0
2020-06-15,91.37,94.0,90.68,93.62,93.0129,6025984.0,0.0,1.0
2020-06-12,93.85,95.3,91.75,93.21,92.6056,7333263.0,0.0,1.0
2020-06-11,95.85,95.92,90.79,90.87,90.2807,8828640.0,0.0,1.0
2020-06-10,99.21,99.67,97.15,97.55,96.9174,6096204.0,0.0,1.0
2020-06-09,102.01,103.055,99.0,99.11,98.4673,5622533.0,0.0,1.0
2020-06-08,101.72,103.23,100.86,101.33,100.6729,6928846.0,0.0,1.0
2020-06-05,98.75,103.075,98.0684,102.04,101.3783,10060411.0,0.0,1.0
2020-06-04,96.75,97.67,96.42,96.99,96.361,8784654.0,0.0,1.0
2020-06-03,97.51,98.04,96.97,97.1,96.4703,7507354.0,0.0,1.0
2020-06-02,97.2,97.67,96.47,97.25,96.6194,8362674.0,0.0,1.0
2020-06-01,97.73,98.5,96.91,97.11,96.4803,4859914.0,0.0,1.0
2020-05-29,99.1,99.1,96.22,98.58,97.9407,8956306.0,0.0,1.0
2020-05-28,97.52,99.73,97.2,98.14,97.5036,5444170.0,0.0,1.0
2020-05-27,97.43,98.14,94.91,96.0,95.3775,6163662.0,0.0,1.0
2020-05-26,97.58,98.09,94.82,97.15,96.52,7086288.0,0.0,1.0
2020-05-22,95.52,95.88,92.79,94.72,94.1058,6517323.0,0.0,1.0
2020-05-21,95.1,97.3,94.07,95.41,94.7913,7021370.0,0.0,1.0
2020-05-20,97.89,99.185,96.95,98.08,97.444,4267016.0,0.0,1.0
2020-05-19,99.0,99.88,96.95,97.03,96.4008,4801707.0,0.0,1.0
