,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,77.0,78.58,76.73,77.35,77.35,7742061.0,0.0,1.0
2020-07-10,76.75,77.35,76.4,76.73,76.73,4924100.0,0.0,1.0
2020-07-09,77.94,78.35,76.04,76.69,76.69,7599900.0,0.0,1.0
2020-07-08,78.63,78.96,77.48,77.92,77.92,7835200.0,0.0,1.0
2020-07-07,79.0,79.68,78.59,78.72,78.72,6637800.0,0.0,1.0
2020-07-06,79.24,80.02,78.9,79.58,79.58,7686900.0,0.0,1.0
2020-07-02,78.57,79.31,78.215,78.78,78.78,6513311.0,0.0,1.0
2020-07-01,77.43,78.9399,77.12,78.12,78.12,9496313.0,0.0,1.0
2020-06-30,76.75,77.66,76.2,77.33,77.33,9483835.0,0.0,1.0
2020-06-29,75.9,76.51,75.52,76.12,76.12,6898339.0,0.0,1.0
2020-06-26,76.35,76.73,75.0,75.19,75.19,11764211.0,0.0,1.0
2020-06-25,75.65,76.955,75.31,76.57,76.57,7234697.0,0.0,1.0
2020-06-24,76.73,76.89,75.45,75.87,75.87,7710139.0,0.0,1.0
2020-06-23,77.5,78.62,76.89,77.12,77.12,10904265.0,0.0,1.0
2020-06-22,77.37,77.63,76.43,76.75,76.75,7129085.0,0.0,1.0
2020-06-19,77.13,77.98,75.805,77.9,77.9,16880999.0,0.0,1.0
2020-06-18,75.63,76.28,75.36,76.22,76.22,7320954.0,0.0,1.0
2020-06-17,77.36,77.45,75.625,76.29,76.29,13341024.0,0.0,1.0
2020-06-16,75.38,77.41,74.83,76.97,76.97,20455051.0,0.0,1.0
2020-06-15,74.91,75.37,73.572,74.02,74.02,16873678.0,0.0,1.0
2020-06-12,77.89,77.93,75.47,76.3,76.3,16218182.0,0.61,1.0
2020-06-11,80.81,81.66,77.35,77.35,76.7365,13642394.0,0.0,1.0
2020-06-10,82.44,82.78,80.99,81.77,81.1215,8660053.0,0.0,1.0
2020-06-09,83.19,83.51,82.12,82.26,81.6076,8439541.0,0.0,1.0
2020-06-08,81.15,83.2,81.15,82.9,82.2425,9499159.0,0.0,1.0
2020-06-05,82.11,83.13,81.49,82.26,81.6076,9932540.0,0.0,1.0
2020-06-04,81.27,82.16,80.84,81.55,80.9032,8866287.0,0.0,1.0
2020-06-03,81.0,82.345,80.86,82.06,81.4092,13038684.0,0.0,1.0
2020-06-02,79.54,80.865,78.829,80.84,80.1988,10824229.0,0.0,1.0
2020-06-01,80.18,80.46,79.13,79.56,78.929,5981980.0,0.0,1.0
2020-05-29,79.46,80.94,78.31,80.72,80.0798,12896597.0,0.0,1.0
2020-05-28,78.6,80.29,78.51,79.04,78.4131,12577234.0,0.0,1.0
2020-05-27,77.0,77.64,76.0,77.55,76.9349,12233800.0,0.0,1.0
2020-05-26,78.26,78.6,76.91,77.26,76.6472,18246755.0,0.0,1.0
2020-05-22,76.17,76.66,76.07,76.37,75.7643,6064231.0,0.0,1.0
2020-05-21,76.76,77.03,76.27,76.55,75.9429,8586456.0,0.0,1.0
