,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,258.99,262.41,255.39,256.24,256.24,2385400.0,0.0,1.0
2020-07-10,252.18,261.29,251.77,259.6,259.6,2519600.0,0.0,1.0
2020-07-09,251.23,253.37,248.56,251.99,251.99,1704700.0,0.0,1.0
2020-07-08,246.83,254.14,246.12,253.27,253.27,2408300.0,0.0,1.0
2020-07-07,244.45,248.34,243.64,246.72,246.72,1504300.0,0.0,1.0
2020-07-06,248.19,249.15,244.58,246.96,246.96,1564200.0,0.0,1.0
2020-07-02,248.16,249.72,245.75,246.4,246.4,1495300.0,0.0,1.0
2020-07-01,239.67,247.5,238.31,246.26,246.26,1529800.0,0.0,1.0
2020-06-30,238.91,241.81,237.5,240.17,240.17,2383100.0,0.0,1.0
2020-06-29,237.51,238.49,233.76,238.24,238.24,1448300.0,0.0,1.0
2020-06-26,238.5,242.06,234.81,236.22,236.22,2526219.0,0.0,1.0
2020-06-25,241.32,241.32,235.5701,239.16,239.16,1956163.0,0.0,1.0
2020-06-24,241.34,244.4799,238.52,241.67,241.67,1725194.0,0.0,1.0
2020-06-23,249.17,250.2516,242.313,243.21,243.21,2326509.0,0.0,1.0
2020-06-22,243.2,248.2,240.55,247.04,247.04,1797732.0,0.0,1.0
2020-06-19,251.5,251.64,242.21,242.21,242.21,3613206.0,0.0,1.0
2020-06-18,248.2,249.92,246.35,248.93,248.93,1596161.0,0.0,1.0
2020-06-17,249.99,251.0,245.71,249.0,249.0,1691867.0,0.0,1.0
2020-06-16,253.52,253.68,246.67,248.17,248.17,2014221.0,0.0,1.0
2020-06-15,244.72,250.93,241.33,248.57,248.57,2101106.0,0.0,1.0
2020-06-12,251.77,252.12,244.24,246.91,246.91,2089162.0,0.0,1.0
2020-06-11,254.86,254.96,245.87,248.33,248.33,2429623.0,0.0,1.0
2020-06-10,258.81,260.9,255.57,256.79,256.79,1665365.0,0.0,1.0
2020-06-09,259.11,259.15,254.06,258.67,258.67,1997597.0,0.0,1.0
2020-06-08,253.06,260.74,250.57,260.48,260.48,2036722.0,0.0,1.0
2020-06-05,252.18,258.56,250.01,254.38,254.38,3092709.0,0.0,1.0
2020-06-04,257.66,260.55,248.08,251.89,251.89,3003121.0,0.0,1.0
2020-06-03,258.19,262.2599,256.7,259.58,259.58,1825786.0,0.0,1.0
2020-06-02,255.57,260.33,253.7301,256.6,256.6,2660013.0,0.0,1.0
2020-06-01,254.09,258.335,251.25,255.65,255.65,1663909.0,1.4,1.0
2020-05-29,250.11,256.505,249.5,255.56,254.1681,3827393.0,0.0,1.0
2020-05-28,244.4,252.06,243.64,251.36,249.991,3103944.0,0.0,1.0
2020-05-27,237.75,241.24,234.94,241.13,239.8167,3085840.0,0.0,1.0
2020-05-26,236.34,238.4,233.8,234.31,233.0339,1914736.0,0.0,1.0
2020-05-22,228.83,234.01,227.1529,233.85,232.5764,1497513.0,0.0,1.0
2020-05-21,232.7,233.48,228.065,228.9,227.6533,2077064.0,0.0,1.0
2020-05-20,232.3,236.2264,230.8,232.79,231.5221,1461827.0,0.0,1.0
2020-05-19,233.92,234.725,230.46,230.5,229.2446,1633233.0,0.0,1.0
2020-05-18,233.94,236.9,232.49,235.45,234.1676,2280839.0,0.0,1.0
2020-05-15,230.03,230.875,223.22,227.85,226.609,5058121.0,0.0,1.0
2020-05-14,227.77,233.325,227.29,232.23,230.9652,2898938.0,0.0,1.0
2020-05-13,226.84,230.53,226.0,230.12,228.8667,3519206.0,0.0,1.0
2020-05-12,228.2,229.43,225.27,227.93,226.6886,2391327.0,0.0,1.0
2020-05-11,226.79,228.28,224.11,227.38,226.1416,1963613.0,0.0,1.0
2020-05-08,227.39,230.63,225.74,229.73,228.4788,2827174.0,0.0,1.0
2020-05-07,225.2,228.59,222.78,224.48,223.2574,2172966.0,0.0,1.0
2020-05-06,230.92,231.16,222.62,222.66,221.4473,1844362.0,0.0,1.0
2020-05-05,231.36,234.545,229.39,230.1,228.8468,2010499.0,0.0,1.0
2020-05-04,227.0,231.17,224.94,230.09,228.8368,2269280.0,0.0,1.0
2020-05-01,229.91,230.02,225.0,227.05,225.8134,2292036.0,0.0,1.0
2020-04-30,233.86,233.9,228.9,231.12,229.8612,4483325.0,0.0,1.0
2020-04-29,241.99,242.34,233.29,235.13,233.8494,2475376.0,0.0,1.0
2020-04-28,246.26,246.9,238.1,239.3,237.9967,2116194.0,0.0,1.0
2020-04-27,242.11,246.3169,241.43,243.6,242.2733,2114446.0,0.0,1.0
2020-04-24,241.73,241.95,235.95,239.7,238.3945,2007321.0,0.0,1.0
2020-04-23,246.39,247.7499,240.13,241.14,239.8267,2340084.0,0.0,1.0
2020-04-22,237.93,248.7,237.93,247.17,245.8238,2939864.0,0.0,1.0
2020-04-21,235.07,238.17,231.06,235.42,234.1378,2655351.0,0.0,1.0
2020-04-20,245.45,247.3,237.11,237.61,236.3159,2178623.0,0.0,1.0
2020-04-17,242.51,247.13,238.77,246.26,244.9188,2738166.0,0.0,1.0
2020-04-16,239.98,240.79,235.681,237.48,236.1866,2580580.0,0.0,1.0
2020-04-15,240.04,241.39,235.53,237.22,235.928,2497661.0,0.0,1.0
2020-04-14,241.85,244.98,238.37,242.38,241.0599,2918275.0,0.0,1.0
2020-04-13,242.56,243.865,234.38,236.21,234.9235,2689145.0,0.0,1.0
2020-04-09,235.84,250.87,235.38,245.28,243.9441,4896895.0,0.0,1.0
2020-04-08,229.63,236.19,224.04,233.5,232.2283,4571922.0,0.0,1.0
2020-04-07,240.35,240.99,228.16,228.49,227.2455,2626801.0,0.0,1.0
2020-04-06,230.79,237.04,228.02,234.51,233.2328,3316904.0,0.0,1.0
2020-04-03,223.96,228.565,217.54,221.64,220.4329,2188896.0,0.0,1.0
2020-04-02,215.0,229.54,214.14,226.45,225.2167,2308581.0,0.0,1.0
2020-04-01,230.96,231.99,213.04,218.23,217.0414,3422837.0,0.0,1.0
2020-03-31,242.11,247.9,239.16,240.62,239.3095,4724797.0,0.0,1.0
2020-03-30,237.31,248.23,234.36,246.01,244.6701,4093156.0,0.0,1.0
2020-03-27,225.48,240.32,223.39,231.95,230.6867,4046080.0,0.0,1.0
2020-03-26,210.9,234.17,210.6,231.1,229.8413,3663774.0,0.0,1.0
2020-03-25,205.68,220.25,195.07,210.27,209.1248,4448536.0,0.0,1.0
2020-03-24,187.85,208.48,186.49,206.53,205.4052,4474409.0,0.0,1.0
2020-03-23,186.67,188.57,174.8,181.66,180.6706,5914621.0,0.0,1.0
2020-03-20,205.75,209.9,186.8615,191.75,190.7057,5617469.0,0.0,1.0
2020-03-19,210.01,221.625,200.54,207.1,205.972,4360289.0,0.0,1.0
2020-03-18,209.06,227.99,199.76,210.64,209.4928,5548740.0,0.0,1.0
2020-03-17,205.46,227.47,204.0,221.76,220.5522,5384516.0,0.0,1.0
2020-03-16,198.0,220.66,196.74,201.37,200.2733,5056077.0,0.0,1.0
2020-03-13,220.05,221.99,196.3588,221.56,220.3533,7896543.0,0.0,1.0
2020-03-12,216.13,231.66,206.05,208.89,207.7523,7909286.0,0.0,1.0
2020-03-11,249.2,249.22,238.56,241.26,239.946,4812374.0,0.0,1.0
2020-03-10,265.63,267.32,242.31,255.73,254.3372,5935906.0,0.0,1.0
2020-03-09,254.46,266.32,254.46,261.28,259.857,3891095.0,0.0,1.0
2020-03-06,268.56,272.91,261.695,271.82,270.3396,3639143.0,0.0,1.0
2020-03-05,277.05,279.86,272.44,276.16,274.6559,3102902.0,0.0,1.0
2020-03-04,269.2,282.57,269.2,282.22,280.6829,3677563.0,0.0,1.0
2020-03-03,269.09,274.3,262.885,265.15,263.7059,3908991.0,0.0,1.0
2020-03-02,253.65,268.9,252.33,268.35,266.8885,4826339.0,0.0,1.0
2020-02-28,248.15,253.91,243.08,252.76,251.3834,6867079.0,0.0,1.0
2020-02-27,268.04,270.93,255.61,255.85,254.4565,3650414.0,1.4,1.0
