,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,567.98,575.37,520.96,525.5,525.5,18364523.0,0.0,1.0
2020-07-10,519.73,555.88,511.28,548.73,548.73,21605600.0,0.0,1.0
2020-07-09,508.4,510.0,495.78,507.76,507.76,5840600.0,0.0,1.0
2020-07-08,498.58,505.1,493.81,502.78,502.78,5691900.0,0.0,1.0
2020-07-07,497.31,504.82,490.83,493.16,493.16,5670200.0,0.0,1.0
2020-07-06,480.77,499.5,479.8,493.81,493.81,7839000.0,0.0,1.0
2020-07-02,485.64,492.28,475.5258,476.89,476.89,6351983.0,0.0,1.0
2020-07-01,454.0,488.23,454.0,485.64,485.64,9711520.0,0.0,1.0
2020-06-30,450.02,457.59,447.0,455.04,455.04,4198545.0,0.0,1.0
2020-06-29,445.23,447.67,432.14,447.24,447.24,4843978.0,0.0,1.0
2020-06-26,466.39,468.03,442.24,443.4,443.4,6804726.0,0.0,1.0
2020-06-25,458.86,467.01,454.0,465.91,465.91,4134513.0,0.0,1.0
2020-06-24,468.54,472.36,454.0,457.85,457.85,4826191.0,0.0,1.0
2020-06-23,466.5,474.01,464.5,466.26,466.26,5948436.0,0.0,1.0
2020-06-22,455.01,468.59,454.21,468.04,468.04,6272105.0,0.0,1.0
2020-06-19,449.12,453.97,445.6,453.72,453.72,5933651.0,0.0,1.0
2020-06-18,448.73,452.76,442.8,449.87,449.87,4277627.0,0.0,1.0
2020-06-17,441.82,450.46,439.22,447.77,447.77,6529568.0,0.0,1.0
2020-06-16,425.76,437.96,425.18,436.13,436.13,5514016.0,0.0,1.0
2020-06-15,421.4,426.49,415.4238,425.5,425.5,4471499.0,0.0,1.0
2020-06-12,429.0,434.06,412.45,418.07,418.07,6461127.0,0.0,1.0
2020-06-11,428.2,445.57,424.1601,425.56,425.56,7462868.0,0.0,1.0
2020-06-10,436.0,439.69,430.55,434.48,434.48,4896893.0,0.0,1.0
2020-06-09,421.65,434.73,420.31,434.05,434.05,6796999.0,0.0,1.0
2020-06-08,416.0,420.8,406.5,419.49,419.49,5851453.0,0.0,1.0
2020-06-05,407.29,420.2392,404.25,419.6,419.6,5099561.0,0.0,1.0
2020-06-04,422.39,428.71,410.03,414.33,414.33,5410529.0,0.0,1.0
2020-06-03,426.95,427.1,418.05,421.97,421.97,4316044.0,0.0,1.0
2020-06-02,425.87,427.59,419.46,427.31,427.31,3494801.0,0.0,1.0
2020-06-01,418.83,426.72,415.98,425.92,425.92,3748573.0,0.0,1.0
2020-05-29,417.46,420.295,411.85,419.73,419.73,5270484.0,0.0,1.0
2020-05-28,417.24,422.3717,411.5,413.44,413.44,5660160.0,0.0,1.0
2020-05-27,410.38,420.02,397.86,419.89,419.89,10446339.0,0.0,1.0
2020-05-26,427.77,428.5,413.14,414.77,414.77,7881115.0,0.0,1.0
2020-05-22,437.0,439.09,427.18,429.32,429.32,5422334.0,0.0,1.0
2020-05-21,448.56,448.96,430.25,436.25,436.25,9076150.0,0.0,1.0
2020-05-20,454.25,455.81,444.0,447.67,447.67,5607257.0,0.0,1.0
2020-05-19,453.3965,458.97,450.465,451.04,451.04,4810487.0,0.0,1.0
2020-05-18,451.16,456.36,443.35,452.58,452.58,7780309.0,0.0,1.0
2020-05-15,440.7,455.0,437.51,454.19,454.19,7243998.0,0.0,1.0
2020-05-14,444.9,452.38,432.82,441.95,441.95,9007467.0,0.0,1.0
2020-05-13,435.69,447.0,427.27,438.27,438.27,7014563.0,0.0,1.0
2020-05-12,442.0,444.17,431.36,431.82,431.82,4598211.0,0.0,1.0
2020-05-11,436.33,444.8899,435.56,440.52,440.52,5486037.0,0.0,1.0
2020-05-08,434.14,442.0,433.6389,435.55,435.55,5054308.0,0.0,1.0
2020-05-07,436.89,438.88,430.66,436.53,436.53,5650281.0,0.0,1.0
2020-05-06,429.3,439.77,426.385,434.26,434.26,6660737.0,0.0,1.0
2020-05-05,427.555,431.0,421.56,424.68,424.68,6286293.0,0.0,1.0
2020-05-04,417.78,428.54,414.87,428.15,428.15,7799058.0,0.0,1.0
2020-05-01,415.1,427.97,411.73,415.27,415.27,8299858.0,0.0,1.0
2020-04-30,410.31,424.44,408.0,419.85,419.85,7953975.0,0.0,1.0
2020-04-29,399.53,415.86,393.6,411.89,411.89,9693137.0,0.0,1.0
2020-04-28,419.99,421.0,402.9101,403.83,403.83,10101233.0,0.0,1.0
2020-04-27,425.0,429.0,420.84,421.38,421.38,6277480.0,0.0,1.0
2020-04-24,425.0,427.17,415.88,424.99,424.99,8670362.0,0.0,1.0
2020-04-23,419.26,438.413,419.26,426.7,426.7,13952330.0,0.0,1.0
2020-04-22,429.725,433.0,413.0,421.42,421.42,21123773.0,0.0,1.0
2020-04-21,444.77,447.0,425.6,433.83,433.83,23177550.0,0.0,1.0
2020-04-20,435.17,444.49,430.56,437.49,437.49,12655818.0,0.0,1.0
2020-04-17,431.0,432.0,414.695,422.96,422.96,12616258.0,0.0,1.0
2020-04-16,437.0,449.52,431.61,439.17,439.17,16128666.0,0.0,1.0
2020-04-15,413.0,434.98,412.25,426.75,426.75,13561222.0,0.0,1.0
2020-04-14,397.5,417.82,394.8468,413.55,413.55,11580983.0,0.0,1.0
2020-04-13,371.31,400.51,367.7003,396.72,396.72,11692922.0,0.0,1.0
2020-04-09,371.06,372.1,363.03,370.72,370.72,7711296.0,0.0,1.0
2020-04-08,374.01,378.39,368.31,371.12,371.12,6908879.0,0.0,1.0
2020-04-07,380.0,381.33,369.34,372.28,372.28,7046438.0,0.0,1.0
2020-04-06,365.22,380.29,361.71,379.96,379.96,8183921.0,0.0,1.0
2020-04-03,367.3604,370.9,357.51,361.76,361.76,4860768.0,0.0,1.0
2020-04-02,364.08,370.99,360.06,370.08,370.08,4592477.0,0.0,1.0
2020-04-01,376.05,380.233,361.02,364.08,364.08,6672454.0,0.0,1.0
2020-03-31,367.93,383.01,366.44,375.5,375.5,9366464.0,0.0,1.0
2020-03-30,363.0,377.8,361.17,370.96,370.96,8621964.0,0.0,1.0
2020-03-27,359.09,368.56,353.0,357.12,357.12,7948775.0,0.0,1.0
