,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,98.25,98.94,96.26,96.46,96.46,4823600.0,0.0,1.0
2020-07-10,97.0,98.05,95.72,97.99,97.99,3967000.0,0.0,1.0
2020-07-09,98.55,98.91,96.37,96.99,96.99,6279300.0,0.0,1.0
2020-07-08,97.5,98.98,96.96,98.84,98.84,5633900.0,0.0,1.0
2020-07-07,99.22,99.55,96.92,97.07,97.07,6348800.0,0.0,1.0
2020-07-06,99.62,100.03,99.04,99.95,99.95,4990600.0,0.0,1.0
2020-07-02,98.78,99.66,98.02,98.43,98.43,5354900.0,0.0,1.0
2020-07-01,98.5,98.72,97.11,97.4,97.4,5732000.0,0.0,1.0
2020-06-30,96.0,98.3,95.64,98.05,98.05,9064000.0,0.0,1.0
2020-06-29,93.7,96.0,93.7,95.87,95.87,9616900.0,0.0,1.0
2020-06-26,98.5,98.78,93.57,93.67,93.67,24909494.0,0.0,1.0
2020-06-25,99.23,101.68,98.8,101.4,101.4,11373727.0,0.0,1.0
2020-06-24,100.94,101.85,98.09,100.08,100.08,8561988.0,0.0,1.0
2020-06-23,101.15,102.22,100.71,101.92,101.92,6491104.0,0.0,1.0
2020-06-22,96.85,99.54,96.0162,99.51,99.51,6901256.0,0.0,1.0
2020-06-19,99.97,99.98,95.78,95.78,95.78,10303934.0,0.0,1.0
2020-06-18,98.69,99.42,97.85,98.45,98.45,4390708.0,0.0,1.0
2020-06-17,99.0,100.24,98.89,99.21,99.21,3404611.0,0.0,1.0
2020-06-16,101.25,101.34,97.72,99.04,99.04,6054195.0,0.0,1.0
2020-06-15,93.9,98.08,93.44,97.84,97.84,8644485.0,0.0,1.0
2020-06-12,97.8,97.8,94.7401,96.43,96.43,7415604.0,0.0,1.0
2020-06-11,98.38,98.99,94.88,95.17,95.17,10969987.0,0.0,1.0
2020-06-10,103.0,103.15,101.7127,102.12,102.12,5188347.0,0.0,1.0
2020-06-09,102.82,103.77,102.43,102.63,102.63,5385263.0,0.0,1.0
2020-06-08,103.05,104.3,102.71,104.29,104.29,6163061.0,0.0,1.0
2020-06-05,104.0,104.69,102.125,102.71,102.71,8362547.0,0.0,1.0
2020-06-04,103.66,103.9033,100.47,101.28,101.28,8774482.0,0.0,1.0
2020-06-03,101.26,104.55,101.12,104.11,104.11,5864808.0,0.0,1.0
2020-06-02,99.42,100.88,98.82,100.74,100.74,10797382.0,0.0,1.0
2020-06-01,98.4,99.78,97.89,99.54,99.54,4295217.0,0.0,1.0
2020-05-29,98.19,99.25,96.93,98.58,98.58,10332493.0,0.245,1.0
2020-05-28,100.09,100.69,98.25,98.46,98.2159,7260047.0,0.0,1.0
2020-05-27,98.12,99.99,97.62,99.87,99.6224,7908914.0,0.0,1.0
2020-05-26,95.98,97.43,95.28,96.62,96.3805,7184603.0,0.0,1.0
2020-05-22,94.42,94.65,93.35,93.75,93.5176,4049486.0,0.0,1.0
2020-05-21,92.88,94.38,92.37,94.26,94.0263,7503676.0,0.0,1.0
2020-05-20,93.2,93.86,92.7,92.95,92.7196,6345880.0,0.0,1.0
2020-05-19,90.85,93.82,90.82,91.51,91.2831,6509799.0,0.0,1.0
2020-05-18,90.49,91.6,89.88,91.04,90.8143,8516887.0,0.0,1.0
2020-05-15,85.25,87.23,84.88,86.99,86.7743,9163621.0,0.0,1.0
2020-05-14,85.0,86.58,84.11,86.55,86.3354,7424871.0,0.0,1.0
2020-05-13,87.38,87.74,85.2,86.02,85.8067,6736101.0,0.0,1.0
2020-05-12,91.53,91.67,88.15,88.26,88.0412,5619792.0,0.0,1.0
