,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,423.8,431.6899,401.0,402.09,402.09,11384514.0,0.0,1.0
2020-07-10,423.55,426.21,415.15,419.17,419.17,12441900.0,0.0,1.0
2020-07-09,415.21,422.8,409.34,420.36,420.36,12367700.0,0.0,1.0
2020-07-08,399.75,409.0,398.62,408.64,408.64,9437300.0,0.0,1.0
2020-07-07,397.85,402.8,394.03,394.87,394.87,8945000.0,0.0,1.0
2020-07-06,389.67,396.35,388.5,393.57,393.57,7903900.0,0.0,1.0
2020-07-02,385.56,389.5,383.13,384.49,384.49,9101892.0,0.0,1.0
2020-07-01,380.83,383.0269,376.52,381.2,381.2,8237180.0,0.0,1.0
2020-06-30,372.5597,381.05,370.6601,379.91,379.91,9197300.0,0.0,1.0
2020-06-29,366.79,368.18,356.0,368.0,368.0,8556203.0,0.0,1.0
2020-06-26,380.0,380.0,365.0,366.2,366.2,14802144.0,0.0,1.0
2020-06-25,374.722,380.2,367.29,379.6,379.6,9401800.0,0.0,1.0
2020-06-24,379.05,382.2552,365.7802,369.42,369.42,11234272.0,0.0,1.0
2020-06-23,382.04,385.7,376.3,378.0,378.0,9377685.0,0.0,1.0
2020-06-22,372.0,381.25,370.932,381.07,381.07,9961662.0,0.0,1.0
2020-06-19,369.7,377.8,369.0935,370.45,370.45,13104013.0,0.0,1.0
2020-06-18,369.08,371.3,364.58,368.72,368.72,6360238.0,0.0,1.0
2020-06-17,364.55,371.96,362.81,369.44,369.44,10207641.0,0.0,1.0
2020-06-16,369.0,370.67,353.5501,362.74,362.74,13392875.0,0.0,1.0
2020-06-15,352.61,367.29,349.75,366.95,366.95,10000054.0,0.0,1.0
2020-06-12,366.5,367.49,348.1338,357.3,357.3,14272704.0,0.0,1.0
2020-06-11,366.0,370.45,351.44,351.85,351.85,14591256.0,0.0,1.0
2020-06-10,366.71,380.0,366.14,374.67,374.67,15804537.0,0.0,1.0
2020-06-09,352.0,364.3899,350.05,361.84,361.84,11712221.0,0.0,1.0
2020-06-08,355.09,355.585,347.43,352.2,352.2,9693431.0,0.0,1.0
2020-06-05,351.78,359.88,348.3192,356.8,356.8,12043651.0,0.0,1.0
2020-06-04,349.12,357.73,347.1,350.66,350.66,10606960.0,0.16,1.0
2020-06-03,352.89,354.65,348.0,350.78,350.62,9135972.0,0.0,1.0
2020-06-02,351.85,353.49,346.32,353.01,352.849,9783014.0,0.0,1.0
2020-06-01,353.33,353.63,347.58,352.25,352.0893,9762775.0,0.0,1.0
2020-05-29,342.18,355.02,339.4,355.02,354.8581,18647994.0,0.0,1.0
2020-05-28,336.49,350.42,335.17,339.48,339.3252,18403204.0,0.0,1.0
2020-05-27,345.0,345.31,319.87,341.01,340.8545,29397306.0,0.0,1.0
2020-05-26,366.27,367.27,346.88,348.71,348.551,19269476.0,0.0,1.0
2020-05-22,353.01,363.72,348.53,361.05,360.8853,25969125.0,0.0,1.0
2020-05-21,362.06,362.0962,349.5,351.01,350.8499,17552200.0,0.0,1.0
2020-05-20,359.64,361.72,355.55,358.8,358.6364,14688405.0,0.0,1.0
2020-05-19,351.61,363.5,350.51,352.22,352.0594,17933049.0,0.0,1.0
