,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,57.4,57.84,56.97,57.02,57.02,14568500.0,0.0,1.0
2020-07-10,57.47,57.52,56.69,57.39,57.39,12612700.0,0.0,1.0
2020-07-09,56.99,57.8,56.82,57.53,57.53,15691300.0,0.0,1.0
2020-07-08,56.63,56.68,55.99,56.66,56.66,12581900.0,0.0,1.0
2020-07-07,56.35,56.95,56.22,56.31,56.31,13232100.0,0.0,1.0
2020-07-06,56.2,56.83,56.16,56.6,56.6,15305500.0,0.0,1.0
2020-07-02,55.79,56.43,55.65,55.94,55.94,15477000.0,0.0,1.0
2020-07-01,54.69,55.88,54.68,55.49,55.49,17909100.0,0.0,1.0
2020-06-30,54.8,55.44,54.5,55.27,55.27,18878400.0,0.0,1.0
2020-06-29,54.23,54.96,53.85,54.76,54.76,14365700.0,0.0,1.0
2020-06-26,54.35,54.585,53.628,54.18,54.18,17968423.0,0.0,1.0
2020-06-25,54.4,54.59,53.54,54.53,54.53,16007558.0,0.0,1.0
2020-06-24,55.12,55.68,54.33,54.44,54.44,18287198.0,0.0,1.0
2020-06-23,55.3,55.965,55.13,55.19,55.19,18692487.0,0.0,1.0
2020-06-22,54.09,55.385,53.8802,55.12,55.12,16704672.0,0.0,1.0
2020-06-19,54.21,54.46,52.98,54.4,54.4,33051166.0,0.0,1.0
2020-06-18,51.6,53.995,51.32,53.69,53.69,19248641.0,0.0,1.0
2020-06-17,53.03,53.74,51.5,51.52,51.52,28673685.0,0.0,1.0
2020-06-16,54.46,55.0,53.78,54.59,54.59,19242323.0,0.0,1.0
2020-06-15,50.96,53.43,50.91,53.25,53.25,15999571.0,0.0,1.0
2020-06-12,52.45,53.0,50.982,51.86,51.86,11537145.0,0.0,1.0
2020-06-11,53.25,53.56,51.23,51.31,51.31,12805680.0,0.0,1.0
2020-06-10,54.5,54.66,53.9,54.11,54.11,7423455.0,0.0,1.0
2020-06-09,55.0,55.06,53.88,54.18,54.18,8852366.0,0.0,1.0
2020-06-08,53.35,55.115,53.28,55.1,55.1,11515605.0,0.0,1.0
2020-06-05,53.09,54.27,52.7412,53.98,53.98,12209409.0,0.0,1.0
2020-06-04,53.23,53.689,52.63,52.85,52.85,9696029.0,0.0,1.0
2020-06-03,53.33,53.62,52.985,53.49,53.49,9188613.0,0.0,1.0
2020-06-02,53.24,53.29,52.64,53.28,53.28,8754740.0,0.0,1.0
2020-06-01,53.28,53.385,52.79,53.06,53.06,7363145.0,0.0,1.0
2020-05-29,53.62,53.94,52.99,53.77,53.77,14734816.0,0.0,1.0
2020-05-28,53.76,54.15,53.22,53.62,53.62,9465404.0,0.0,1.0
2020-05-27,53.0,53.25,52.57,53.2,53.2,9227290.0,0.0,1.0
2020-05-26,53.65,53.68,52.65,52.78,52.78,11200606.0,0.0,1.0
2020-05-22,52.34,52.64,52.08,52.62,52.62,7211657.0,0.0,1.0
2020-05-21,52.76,52.94,52.12,52.22,52.22,7464029.0,0.0,1.0
2020-05-20,53.09,53.27,52.645,52.9,52.9,9115868.0,0.0,1.0
2020-05-19,53.18,53.25,52.32,52.34,52.34,9802256.0,0.0,1.0
2020-05-18,53.91,53.95,53.07,53.15,53.15,9901401.0,0.0,1.0
2020-05-15,52.7,53.985,52.52,52.92,52.92,39055171.0,0.0,1.0
2020-05-14,51.14,53.025,50.86,52.91,52.91,13793464.0,0.0,1.0
2020-05-13,52.43,52.49,51.28,51.65,51.65,10273846.0,0.0,1.0
2020-05-12,53.8,53.825,52.25,52.27,52.27,8598849.0,0.0,1.0
2020-05-11,53.13,53.83,53.06,53.53,53.53,8138642.0,0.0,1.0
2020-05-08,53.19,53.78,52.765,53.57,53.57,8130824.0,0.0,1.0
2020-05-07,52.4,52.92,52.27,52.6,52.6,7154669.0,0.0,1.0
2020-05-06,52.43,52.5,51.7,51.86,51.86,7049227.0,0.0,1.0
2020-05-05,52.22,52.86,51.99,52.05,52.05,7271773.0,0.0,1.0
2020-05-04,51.71,51.79,51.1,51.75,51.75,7567842.0,0.0,1.0
2020-05-01,52.38,52.44,51.31,51.79,51.79,8702441.0,0.0,1.0
2020-04-30,53.47,53.595,52.8,52.97,52.97,11807068.0,0.0,1.0
2020-04-29,53.95,54.28,53.69,53.88,53.88,9064071.0,0.0,1.0
2020-04-28,53.9,54.1467,53.13,53.2,53.2,8348779.0,0.0,1.0
2020-04-27,53.36,53.64,53.06,53.37,53.37,9123193.0,0.0,1.0
2020-04-24,52.41,53.05,51.955,53.01,53.01,9403459.0,0.0,1.0
2020-04-23,52.23,52.99,51.45,51.97,51.97,10329953.0,0.0,1.0
2020-04-22,52.03,52.58,51.77,52.27,52.27,9668271.0,0.0,1.0
2020-04-21,53.23,53.34,51.12,51.31,51.31,14050157.0,0.0,1.0
2020-04-20,54.05,54.58,53.8,53.91,53.91,10355660.0,0.0,1.0
2020-04-17,54.52,54.72,53.97,54.62,54.62,13608825.0,0.0,1.0
2020-04-16,53.15,53.87,53.07,53.7,53.7,14092974.0,0.0,1.0
2020-04-15,53.21,53.453,52.81,53.16,53.16,10398060.0,0.0,1.0
2020-04-14,53.71,54.1,53.45,54.0,54.0,11674548.0,0.0,1.0
