,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,136.77,138.07,134.47,134.91,134.91,8957027.0,0.0,1.0
2020-07-10,132.37,134.89,131.28,134.46,134.46,5932800.0,0.0,1.0
2020-07-09,132.9,133.94,131.73,132.71,132.71,4005300.0,0.0,1.0
2020-07-08,134.16,134.69,133.16,134.22,134.22,3798300.0,0.0,1.0
2020-07-07,132.27,134.62,132.17,133.57,133.57,4424500.0,0.0,1.0
2020-07-06,133.08,133.95,132.31,133.3,133.3,4221600.0,0.0,1.0
2020-07-02,133.54,134.17,132.54,132.85,132.85,2770984.0,0.0,1.0
2020-07-01,132.53,133.62,131.94,132.36,132.36,3636043.0,0.0,1.0
2020-06-30,131.83,132.82,130.855,132.26,132.26,4626817.0,0.0,1.0
2020-06-29,130.18,131.4,129.43,131.08,131.08,4173863.0,0.0,1.0
2020-06-26,131.68,132.37,128.06,128.93,128.93,7372682.0,0.0,1.0
2020-06-25,129.14,131.73,128.05,131.41,131.41,4442112.0,0.0,1.0
2020-06-24,130.52,131.07,128.68,129.56,129.56,4853490.0,0.0,1.0
2020-06-23,131.62,132.68,130.98,131.36,131.36,3625580.0,0.0,1.0
2020-06-22,130.55,131.76,129.95,131.05,131.05,3379894.0,0.0,1.0
2020-06-19,134.41,134.82,131.22,131.28,131.28,8296892.0,0.0,1.0
2020-06-18,131.42,133.13,130.63,132.78,132.78,3417168.0,0.0,1.0
2020-06-17,131.89,133.04,131.49,131.76,131.76,3309878.0,0.0,1.0
2020-06-16,132.68,133.06,130.12,131.67,131.67,5198806.0,0.0,1.0
2020-06-15,128.29,130.96,126.53,130.48,130.48,5482111.0,0.0,1.0
2020-06-12,129.15,129.93,127.43,129.0,129.0,7039513.0,0.0,1.0
2020-06-11,134.22,135.14,127.46,127.84,127.84,8540975.0,0.0,1.0
2020-06-10,133.28,135.16,133.17,134.13,134.13,7069852.0,0.0,1.0
2020-06-09,131.83,133.15,131.05,132.97,132.97,6447278.0,0.0,1.0
2020-06-08,131.38,132.465,131.235,132.21,132.21,5613020.0,0.0,1.0
2020-06-05,131.0,133.52,130.77,132.44,132.44,7075650.0,0.0,1.0
2020-06-04,131.59,133.56,130.18,130.57,130.57,5229737.0,1.0225,1.0
2020-06-03,133.24,134.275,132.6,132.82,131.788,5421190.0,0.0,1.0
2020-06-02,133.05,133.81,131.12,132.63,131.5994,5327465.0,0.0,1.0
2020-06-01,131.6,133.9461,131.19,132.99,131.9566,4050410.0,0.0,1.0
2020-05-29,132.01,132.24,130.32,131.55,130.5278,13338796.0,0.0,1.0
2020-05-28,131.21,132.73,130.11,132.29,131.2621,4976408.0,0.0,1.0
2020-05-27,129.72,130.84,128.58,130.81,129.7936,5686547.0,0.0,1.0
2020-05-26,131.94,132.05,129.4,129.75,128.7418,5579269.0,0.0,1.0
2020-05-22,129.61,130.63,129.17,130.48,129.4661,3429228.0,0.0,1.0
2020-05-21,130.98,131.44,129.61,130.21,129.1982,4839651.0,0.0,1.0
2020-05-20,132.54,132.6841,130.34,131.26,130.2401,8213135.0,0.0,1.0
2020-05-19,134.43,134.76,131.4,131.73,130.7064,6640343.0,0.0,1.0
2020-05-18,136.85,137.99,135.06,135.52,134.467,8480600.0,0.0,1.0
2020-05-15,133.77,137.66,132.787,135.95,134.8936,20338620.0,0.0,1.0
2020-05-14,132.71,133.56,130.15,133.08,132.0459,5522343.0,0.0,1.0
2020-05-13,133.18,134.47,131.45,132.96,131.9269,5168826.0,0.0,1.0
2020-05-12,134.755,136.38,132.86,132.94,131.907,3914614.0,0.0,1.0
2020-05-11,133.43,136.2,133.17,134.38,133.3358,3591078.0,0.0,1.0
2020-05-08,133.07,135.16,132.46,134.23,133.187,4209378.0,0.0,1.0
2020-05-07,131.55,132.0,130.12,131.55,130.5278,5529573.0,0.0,1.0
2020-05-06,131.58,132.23,130.69,130.78,129.7638,4192492.0,0.0,1.0
2020-05-05,131.64,133.33,130.77,131.67,130.6469,3580084.0,0.0,1.0
2020-05-04,130.17,131.35,129.325,130.92,129.9027,5245315.0,0.0,1.0
2020-05-01,131.12,132.225,129.52,130.14,129.1288,4488160.0,0.0,1.0
2020-04-30,132.41,133.17,130.42,132.29,131.2621,6782989.0,0.0,1.0
2020-04-29,136.77,136.98,132.9,133.36,132.3238,6706841.0,0.0,1.0
2020-04-28,136.78,137.68,134.66,136.32,135.2608,6674220.0,0.0,1.0
2020-04-27,134.42,135.21,133.89,134.46,133.4152,4009205.0,0.0,1.0
2020-04-24,130.87,134.82,130.65,134.36,133.316,4065533.0,0.0,1.0
2020-04-23,132.5,134.14,130.03,130.26,129.2479,5527717.0,0.0,1.0
2020-04-22,132.44,133.67,131.22,132.62,131.5895,4085122.0,0.0,1.0
2020-04-21,132.14,132.94,130.59,130.94,129.9226,4359534.0,0.0,1.0
2020-04-20,136.9355,137.38,134.51,134.55,133.5045,3995378.0,0.0,1.0
2020-04-17,137.73,138.0,134.91,137.55,136.4812,4866512.0,0.0,1.0
2020-04-16,136.9662,136.9662,133.85,135.64,134.5861,4563973.0,0.0,1.0
2020-04-15,137.14,137.56,133.7,135.03,133.9808,5773136.0,0.0,1.0
2020-04-14,133.22,138.63,132.35,138.4,137.3246,6278696.0,0.0,1.0
2020-04-13,131.69,133.3499,129.43,130.89,129.873,3785013.0,0.0,1.0
2020-04-09,132.09,135.08,131.51,133.63,132.5917,5502555.0,0.0,1.0
2020-04-08,129.64,133.295,129.13,132.61,131.5796,5241109.0,0.0,1.0
