,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,34.73,35.72,34.52,35.21,35.21,53607915.0,0.0,1.0
2020-07-10,33.66,34.04,33.49,33.83,33.83,23192200.0,0.0,1.0
2020-07-09,33.73,33.88,33.1,33.46,33.46,19304700.0,0.0,1.0
2020-07-08,34.01,34.37,33.57,33.75,33.75,23004200.0,0.0,1.0
2020-07-07,34.05,34.35,33.96,34.03,34.03,23847800.0,0.0,1.0
2020-07-06,34.95,34.99,34.38,34.51,34.51,25740600.0,0.0,1.0
2020-07-02,34.64,34.847,34.04,34.51,34.51,42869084.0,0.0,1.0
2020-07-01,34.54,34.54,33.72,33.74,33.74,69515313.0,0.0,1.0
2020-06-30,32.53,32.88,32.23,32.7,32.7,24137473.0,0.0,1.0
2020-06-29,32.46,32.67,32.2,32.64,32.64,22718396.0,0.0,1.0
2020-06-26,32.25,32.28,31.61,32.04,32.04,39985027.0,0.0,1.0
2020-06-25,32.11,32.38,31.83,32.32,32.32,26005122.0,0.0,1.0
2020-06-24,32.71,32.73,32.0,32.19,32.19,29229383.0,0.0,1.0
2020-06-23,33.2,33.25,32.74,32.77,32.77,35737691.0,0.0,1.0
2020-06-22,33.33,33.36,32.91,33.11,33.11,22125379.0,0.0,1.0
2020-06-19,33.69,33.74,33.115,33.42,33.42,41732293.0,0.0,1.0
2020-06-18,33.27,33.47,32.98,33.24,33.24,30311780.0,0.0,1.0
2020-06-17,33.59,33.765,33.315,33.56,33.56,26086623.0,0.0,1.0
2020-06-16,33.59,33.96,32.72,33.4,33.4,52745100.0,0.0,1.0
2020-06-15,33.3,33.718,32.76,33.36,33.36,34358322.0,0.0,1.0
2020-06-12,34.08,34.105,33.045,33.75,33.75,35951788.0,0.0,1.0
2020-06-11,35.6,35.68,33.28,33.3,33.3,59896312.0,0.0,1.0
2020-06-10,36.36,36.45,35.89,35.92,35.92,27969730.0,0.0,1.0
2020-06-09,36.5,36.66,36.17,36.21,36.21,20560780.0,0.0,1.0
2020-06-08,35.8,36.6,35.68,36.59,36.59,28635192.0,0.0,1.0
2020-06-05,36.24,36.49,35.88,35.99,35.99,34805872.0,0.0,1.0
2020-06-04,35.71,36.29,35.7,36.01,36.01,25618898.0,0.0,1.0
2020-06-03,36.29,36.41,35.54,36.16,36.16,36749848.0,0.0,1.0
2020-06-02,35.53,36.16,35.25,36.16,36.16,40491678.0,0.0,1.0
2020-06-01,35.5,35.73,34.91,35.46,35.46,72942802.0,0.0,1.0
2020-05-29,38.27,38.43,37.58,38.19,38.19,45824136.0,0.0,1.0
2020-05-28,37.84,38.44,37.72,38.18,38.18,21367361.0,0.0,1.0
2020-05-27,37.41,37.54,36.97,37.41,37.41,24571849.0,0.0,1.0
2020-05-26,37.65,37.87,37.45,37.49,37.49,22064146.0,0.0,1.0
2020-05-22,37.11,37.53,36.96,37.5,37.5,14971429.0,0.0,1.0
2020-05-21,37.57,37.65,37.05,37.26,37.26,16855209.0,0.0,1.0
2020-05-20,37.95,38.2,37.545,37.63,37.63,16601128.0,0.0,1.0
2020-05-19,37.85,38.02,37.31,37.68,37.68,18458657.0,0.0,1.0
2020-05-18,38.34,38.46,37.63,38.07,38.07,21475185.0,0.0,1.0
2020-05-15,37.96,38.17,37.385,37.76,37.76,24152391.0,0.0,1.0
2020-05-14,36.8,37.96,36.78,37.92,37.92,21200432.0,0.0,1.0
2020-05-13,37.31,37.425,36.585,37.05,37.05,23327808.0,0.0,1.0
2020-05-12,38.12,38.24,37.34,37.36,37.36,18336674.0,0.0,1.0
2020-05-11,37.25,38.21,37.16,38.1,38.1,24291987.0,0.0,1.0
2020-05-08,37.25,37.38,37.04,37.22,37.22,18874178.0,0.0,1.0
2020-05-07,38.41,38.49,36.89,36.96,36.96,31802924.0,0.38,1.0
2020-05-06,38.97,39.01,38.51,38.51,38.1181,22798144.0,0.0,1.0
2020-05-05,38.81,38.86,38.27,38.51,38.1181,22784969.0,0.0,1.0
2020-05-04,37.6,37.92,37.41,37.62,37.2372,18872636.0,0.0,1.0
2020-05-01,37.85,37.9397,37.385,37.64,37.2569,21504869.0,0.0,1.0
2020-04-30,38.0,38.51,37.36,38.36,37.9696,27930431.0,0.0,1.0
2020-04-29,38.46,38.55,37.71,38.12,37.7321,25123467.0,0.0,1.0
2020-04-28,39.05,39.22,37.375,37.91,37.5242,33824210.0,0.0,1.0
