,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,124.0,125.585,123.34,124.05,124.05,7680620.0,0.0,1.0
2020-07-10,122.57,124.5,122.47,123.89,123.89,6752400.0,0.0,1.0
2020-07-09,122.82,123.98,121.81,122.48,122.48,5340500.0,0.0,1.0
2020-07-08,122.15,123.24,122.0,122.89,122.89,6493400.0,0.0,1.0
2020-07-07,121.3,123.25,120.89,122.22,122.22,6866300.0,0.0,1.0
2020-07-06,121.77,122.41,120.88,121.63,121.63,6022500.0,0.0,1.0
2020-07-02,121.0,122.57,120.53,120.88,120.88,6149897.0,0.0,1.0
2020-07-01,119.65,120.39,118.9,119.98,119.98,6506575.0,0.0,1.0
2020-06-30,117.97,119.99,117.8,119.57,119.57,7818006.0,0.0,1.0
2020-06-29,116.51,118.05,116.35,117.66,117.66,6866013.0,0.0,1.0
2020-06-26,117.59,118.47,115.04,115.23,115.23,23210656.0,0.0,1.0
2020-06-25,116.99,118.03,116.025,117.89,117.89,5487088.0,0.0,1.0
2020-06-24,117.22,117.96,116.28,116.42,116.42,6546633.0,0.0,1.0
2020-06-23,118.67,119.19,117.65,117.73,117.73,5340314.0,0.0,1.0
2020-06-22,118.78,119.08,117.34,117.75,117.75,5694412.0,0.0,1.0
2020-06-19,120.49,121.82,118.83,118.92,118.92,17506157.0,0.0,1.0
2020-06-18,117.46,119.96,117.37,119.28,119.28,6171958.0,0.0,1.0
2020-06-17,118.39,119.11,117.44,117.93,117.93,6320712.0,0.0,1.0
2020-06-16,118.53,118.97,116.93,118.13,118.13,8165082.0,0.0,1.0
2020-06-15,114.55,117.28,113.76,116.69,116.69,8785764.0,0.0,1.0
2020-06-12,116.59,118.05,115.26,115.62,115.62,7998450.0,0.0,1.0
2020-06-11,118.81,119.57,116.0,116.26,116.26,8936160.0,0.0,1.0
2020-06-10,119.0,119.89,118.11,119.23,119.23,6673363.0,0.0,1.0
2020-06-09,119.4,119.76,118.15,118.34,118.34,5560941.0,0.0,1.0
2020-06-08,117.44,119.12,116.84,119.05,119.05,6924600.0,0.0,1.0
2020-06-05,116.25,118.83,116.05,118.33,118.33,7335646.0,0.0,1.0
2020-06-04,118.0,118.825,115.57,116.05,116.05,6895807.0,0.0,1.0
2020-06-03,118.1,119.19,117.95,118.53,118.53,6170865.0,0.0,1.0
2020-06-02,117.07,118.14,116.815,118.06,118.06,6327113.0,0.0,1.0
2020-06-01,116.0,117.5,115.26,117.25,117.25,5104644.0,0.0,1.0
2020-05-29,116.13,116.72,114.62,115.92,115.92,7867972.0,0.0,1.0
2020-05-28,115.53,116.99,114.8995,116.06,116.06,6586712.0,0.0,1.0
2020-05-27,112.5,113.97,111.82,113.89,113.89,8277750.0,0.0,1.0
2020-05-26,114.15,114.15,111.68,112.03,112.03,10431551.0,0.0,1.0
2020-05-22,112.29,113.6,111.76,112.6,112.6,5571923.0,0.0,1.0
2020-05-21,112.8,113.2,111.43,111.62,111.62,6602530.0,0.0,1.0
2020-05-20,113.0,113.77,112.13,113.28,113.28,6592844.0,0.0,1.0
2020-05-19,115.09,115.635,112.34,112.44,112.44,8043648.0,0.0,1.0
2020-05-18,116.03,116.99,114.71,116.21,116.21,10020526.0,0.0,1.0
2020-05-15,113.93,114.79,112.05,114.61,114.61,10694802.0,0.0,1.0
2020-05-14,113.54,114.45,111.25,113.81,113.81,9309637.0,0.0,1.0
2020-05-13,114.28,115.35,113.725,113.92,113.92,9310900.0,0.0,1.0
2020-05-12,115.2,115.9,114.14,114.55,114.55,6731018.0,0.0,1.0
2020-05-11,115.75,116.01,114.92,115.31,115.31,6946063.0,0.0,1.0
2020-05-08,113.52,116.3,113.39,115.95,115.95,9279935.0,0.0,1.0
2020-05-07,114.06,114.14,111.82,112.17,112.17,8762781.0,0.0,1.0
2020-05-06,115.54,116.14,112.89,113.1,113.1,7889029.0,0.0,1.0
2020-05-05,115.8,117.26,115.21,116.01,116.01,5425171.0,0.0,1.0
2020-05-04,117.09,117.2,115.0,115.77,115.77,5635194.0,0.0,1.0
2020-05-01,117.6,118.37,116.32,116.82,116.82,7366312.0,0.0,1.0
2020-04-30,115.92,118.28,115.66,117.87,117.87,10023428.0,0.0,1.0
2020-04-29,117.52,118.045,115.0761,117.08,117.08,8702944.0,0.0,1.0
2020-04-28,117.1,117.91,116.17,116.89,116.89,9956368.0,0.0,1.0
2020-04-27,119.19,119.19,116.9,117.45,117.45,10632967.0,0.0,1.0
2020-04-24,119.1,119.76,118.62,118.78,118.78,12750998.0,0.0,1.0
2020-04-23,118.65,119.67,118.05,119.4,119.4,17275037.0,0.7907,1.0
2020-04-22,119.99,120.28,118.78,119.4,118.6145,10258797.0,0.0,1.0
2020-04-21,119.5,120.3,118.43,119.68,118.8927,9463683.0,0.0,1.0
2020-04-20,121.47,123.23,120.54,120.6,119.8066,10827744.0,0.0,1.0
2020-04-17,122.45,124.99,120.54,124.69,123.8697,15897890.0,0.0,1.0
2020-04-16,122.35,122.5,119.9,121.5,120.7007,11975467.0,0.0,1.0
2020-04-15,120.86,123.42,119.59,121.22,120.4225,14174723.0,0.0,1.0
2020-04-14,118.76,121.47,116.25,120.96,120.1642,10470763.0,0.0,1.0
2020-04-13,113.61,116.75,113.16,115.95,115.1872,7911132.0,0.0,1.0
2020-04-09,115.26,118.655,114.2,114.66,113.9057,12747011.0,0.0,1.0
2020-04-08,114.39,117.3,111.86,115.1,114.3428,12563977.0,0.0,1.0
2020-04-07,116.71,120.06,112.5,112.77,112.0281,14435950.0,0.0,1.0
2020-04-06,117.0,119.0,114.58,117.81,117.035,16846908.0,0.0,1.0
2020-04-03,113.74,115.9,113.01,115.08,114.3229,7768513.0,0.0,1.0
2020-04-02,107.69,114.99,107.5,114.4,113.6474,9167662.0,0.0,1.0
2020-04-01,107.95,112.18,107.0,109.33,108.6107,11092492.0,0.0,1.0
2020-03-31,113.5,114.29,108.95,110.0,109.2763,21684183.0,0.0,1.0
2020-03-30,113.9,115.79,110.2001,115.0,114.2434,14568010.0,0.0,1.0
2020-03-27,106.49,114.29,106.49,110.17,109.4452,16072583.0,0.0,1.0
2020-03-26,103.88,108.31,102.53,107.38,106.6736,15794283.0,0.0,1.0
2020-03-25,100.51,104.7,98.6,100.92,100.2561,13787436.0,0.0,1.0
2020-03-24,101.23,104.0,96.07,103.27,102.5906,14622330.0,0.0,1.0
2020-03-23,100.19,103.75,94.34,97.7,97.0573,17772190.0,0.0,1.0
2020-03-20,109.19,109.7,101.59,102.43,101.7561,19918850.0,0.0,1.0
2020-03-19,116.61,118.0,109.7901,110.83,110.1009,16427034.0,0.0,1.0
2020-03-18,113.02,121.5,112.09,117.45,116.6773,23060349.0,0.0,1.0
2020-03-17,111.45,119.7,110.7701,118.24,117.4621,19431050.0,0.0,1.0
2020-03-16,101.75,115.95,101.0,108.5,107.7862,17354933.0,0.0,1.0
2020-03-13,106.5,114.63,105.4123,114.07,113.3196,17232526.0,0.0,1.0
2020-03-12,103.0,111.58,101.0,101.84,101.17,20977097.0,0.0,1.0
2020-03-11,117.6,118.44,110.68,111.59,110.8559,16405659.0,0.0,1.0
2020-03-10,118.96,120.82,114.44,120.55,119.7569,11418302.0,0.0,1.0
2020-03-09,115.27,120.03,115.12,116.06,115.2965,13108047.0,0.0,1.0
2020-03-06,118.03,122.61,117.55,121.66,120.8596,9816841.0,0.0,1.0
2020-03-05,121.3,122.9,120.28,121.63,120.8298,9363472.0,0.0,1.0
2020-03-04,119.88,124.69,119.6,124.5,123.681,9459193.0,0.0,1.0
2020-03-03,119.73,121.84,117.135,118.17,117.3926,12510139.0,0.0,1.0
2020-03-02,113.19,119.79,112.55,119.56,118.7734,12396701.0,0.0,1.0
2020-02-28,109.46,113.23,106.67,113.23,112.4851,22784231.0,0.0,1.0
2020-02-27,119.12,119.92,113.43,113.5,112.7533,13296811.0,0.0,1.0
2020-02-26,121.42,122.39,119.85,120.16,119.3695,6889333.0,0.0,1.0
2020-02-25,123.02,123.96,120.88,121.43,120.6311,8903063.0,0.0,1.0
2020-02-24,125.26,126.585,123.14,123.3,122.4888,7533813.0,0.0,1.0
2020-02-21,126.13,128.07,125.98,126.7,125.8665,8723867.0,0.0,1.0
2020-02-20,125.47,126.76,125.13,126.58,125.7473,6094584.0,0.0,1.0
2020-02-19,124.85,126.47,124.65,125.44,124.6148,4733009.0,0.0,1.0
2020-02-18,125.83,126.18,124.83,124.87,124.0485,6767599.0,0.0,1.0
2020-02-14,125.29,126.15,124.79,126.14,125.3102,5889118.0,0.0,1.0
2020-02-13,123.73,125.28,123.52,124.96,124.1379,7158978.0,0.0,1.0
2020-02-12,123.68,123.97,122.85,123.45,122.6379,6031715.0,0.0,1.0
2020-02-11,126.27,126.27,124.03,124.16,123.3432,6104952.0,0.0,1.0
2020-02-10,126.46,126.83,125.76,126.17,125.34,5216051.0,0.0,1.0
2020-02-07,127.19,127.27,126.05,126.08,125.2506,5915099.0,0.0,1.0
2020-02-06,126.9,128.09,126.6,127.14,126.3036,9101130.0,0.0,1.0
2020-02-05,125.91,127.06,125.4,126.81,125.9758,6125374.0,0.0,1.0
2020-02-04,125.71,127.35,125.36,125.66,124.8333,6511673.0,0.0,1.0
2020-02-03,124.66,125.95,124.49,125.11,124.2869,6052347.0,0.0,1.0
2020-01-31,125.99,126.95,124.46,124.62,123.8002,6612044.0,0.0,1.0
2020-01-30,124.79,126.06,124.42,125.95,125.1214,5894323.0,0.0,1.0
2020-01-29,125.91,126.07,125.025,125.06,124.2373,5271002.0,0.0,1.0
2020-01-28,125.93,126.98,125.72,126.03,125.2009,6200225.0,0.0,1.0
2020-01-27,124.75,126.39,124.75,125.69,124.8631,9338366.0,0.0,1.0
2020-01-24,125.22,126.79,124.77,125.14,124.3167,9507926.0,0.0,1.0
2020-01-23,124.3,126.55,123.65,124.99,124.1677,11094894.0,0.7459,1.0
2020-01-22,126.33,126.6795,125.83,126.31,124.7347,7389885.0,0.0,1.0
2020-01-21,126.41,126.62,124.84,126.09,124.5174,8553058.0,0.0,1.0
2020-01-17,126.35,127.0,125.88,126.41,124.8334,11314279.0,0.0,1.0
2020-01-16,126.11,126.78,125.59,126.07,124.4977,6233709.0,0.0,1.0
2020-01-15,125.06,126.12,125.01,125.96,124.389,4843703.0,0.0,1.0
2020-01-14,124.65,125.2,124.48,124.69,123.1349,7829661.0,0.0,1.0
2020-01-13,124.0,124.9,123.81,124.88,123.3225,8409206.0,0.0,1.0
2020-01-10,123.9,124.32,123.295,123.97,122.4239,3927056.0,0.0,1.0
2020-01-09,122.51,123.88,122.51,123.85,122.3053,5943993.0,0.0,1.0
2020-01-08,122.19,123.4299,122.0003,122.51,120.9821,5385050.0,0.0,1.0
2020-01-07,122.88,123.2059,121.87,121.99,120.4685,7583952.0,0.0,1.0
2020-01-06,122.57,123.19,122.3787,122.75,121.2191,6668540.0,0.0,1.0
2020-01-03,122.16,123.53,121.86,122.58,121.0512,7970514.0,0.0,1.0
2020-01-02,124.5,124.73,122.94,123.41,121.8708,8130493.0,0.0,1.0
2019-12-31,124.43,124.99,123.95,124.9,123.3423,4798910.0,0.0,1.0
2019-12-30,125.76,125.98,124.14,124.47,122.9176,3884343.0,0.0,1.0
2019-12-27,125.56,126.295,125.39,126.09,124.5174,5192014.0,0.0,1.0
2019-12-26,125.1,125.745,124.87,125.22,123.6583,4760426.0,0.0,1.0
2019-12-24,124.79,125.3099,124.58,125.22,123.6583,2022053.0,0.0,1.0
2019-12-23,125.52,125.82,124.685,124.9,123.3423,6619530.0,0.0,1.0
2019-12-20,126.15,126.6,125.03,125.36,123.7965,16250519.0,0.0,1.0
2019-12-19,124.16,125.2,123.9,124.92,123.362,6629092.0,0.0,1.0
2019-12-18,125.31,125.87,123.69,124.01,122.4634,8607594.0,0.0,1.0
2019-12-17,125.59,125.98,124.31,125.31,123.7471,8832191.0,0.0,1.0
2019-12-16,125.47,126.35,125.35,125.56,123.994,8281916.0,0.0,1.0
2019-12-13,124.21,125.74,123.79,125.47,123.9051,5471590.0,0.0,1.0
2019-12-12,124.78,125.76,123.88,124.57,123.0164,5897381.0,0.0,1.0
2019-12-11,124.27,125.27,124.07,124.66,123.1052,4717202.0,0.0,1.0
2019-12-10,124.78,124.87,124.1232,124.27,122.7201,4740134.0,0.0,1.0
2019-12-09,124.31,125.14,124.18,124.87,123.3126,7452765.0,0.0,1.0
2019-12-06,124.73,125.45,123.89,124.19,122.6411,7150870.0,0.0,1.0
2019-12-05,124.27,124.63,123.66,124.62,123.0657,7029171.0,0.0,1.0
2019-12-04,122.75,124.58,122.69,124.53,122.9769,6857345.0,0.0,1.0
2019-12-03,122.31,122.96,121.795,122.95,121.4166,6492697.0,0.0,1.0
2019-12-02,121.94,122.78,120.9602,122.72,121.1894,6146195.0,0.0,1.0
2019-11-29,121.99,122.63,121.71,122.06,120.5377,2927290.0,0.0,1.0
2019-11-27,122.42,122.44,120.96,121.76,120.2414,3751060.0,0.0,1.0
2019-11-26,120.73,122.35,120.41,122.26,120.7352,8238615.0,0.0,1.0
2019-11-25,120.44,120.92,120.02,120.51,119.007,5134268.0,0.0,1.0
2019-11-22,120.23,120.61,119.39,120.29,118.7897,4414949.0,0.0,1.0
2019-11-21,121.78,122.54,120.2756,120.34,118.8391,7094106.0,0.0,1.0
2019-11-20,121.42,122.375,120.93,122.29,120.7648,6479595.0,0.0,1.0
2019-11-19,121.93,122.78,121.125,121.42,119.9057,5988953.0,0.0,1.0
2019-11-18,120.25,122.56,120.17,121.89,120.3698,7493694.0,0.0,1.0
2019-11-15,120.99,120.99,119.97,120.54,119.0366,7108585.0,0.0,1.0
2019-11-14,120.62,121.17,120.114,120.5,118.9971,5188323.0,0.0,1.0
2019-11-13,119.9,121.05,119.87,120.65,119.1453,7279454.0,0.0,1.0
2019-11-12,119.49,119.6,118.545,119.27,117.7825,4759405.0,0.0,1.0
2019-11-11,119.48,120.0,119.09,119.33,117.8417,3850358.0,0.0,1.0
2019-11-08,119.85,120.59,119.16,119.7,118.2071,4249862.0,0.0,1.0
2019-11-07,120.34,120.34,118.81,119.62,118.1281,8909742.0,0.0,1.0
2019-11-06,119.1,120.35,118.66,120.32,118.8194,6755900.0,0.0,1.0
2019-11-05,118.83,119.585,118.2368,118.9,117.4171,9234478.0,0.0,1.0
2019-11-04,123.92,123.92,118.64,119.07,117.585,10350034.0,0.0,1.0
2019-11-01,124.83,125.138,123.245,123.87,122.3251,6010114.0,0.0,1.0
2019-10-31,124.79,125.448,123.355,124.51,122.9571,6399419.0,0.0,1.0
2019-10-30,123.99,125.17,123.5,124.94,123.3818,4734422.0,0.0,1.0
2019-10-29,123.2,124.56,123.1,123.6,122.0585,5659825.0,0.0,1.0
2019-10-28,123.48,124.12,122.6,123.48,121.94,5459130.0,0.0,1.0
2019-10-25,124.82,124.82,123.17,123.25,121.7128,6092239.0,0.0,1.0
2019-10-24,123.76,125.77,123.34,124.79,123.2336,6745650.0,0.0,1.0
2019-10-23,121.99,123.73,121.84,123.0,121.4659,8319580.0,0.0,1.0
2019-10-22,124.0,124.22,121.6,122.18,120.6562,14487778.0,0.0,1.0
2019-10-21,117.42,119.12,117.35,119.08,117.5948,7218664.0,0.0,1.0
2019-10-18,116.55,117.75,116.1713,117.47,116.0049,9016429.0,0.0,1.0
2019-10-17,117.31,117.64,116.55,116.63,115.1754,5993352.0,0.7459,1.0
2019-10-16,117.67,117.77,116.505,117.53,115.3266,7997695.0,0.0,1.0
2019-10-15,120.19,120.56,116.7,117.2,115.0028,11174737.0,0.0,1.0
2019-10-14,121.62,121.62,119.58,120.05,117.7994,7383413.0,0.0,1.0
2019-10-11,122.04,122.06,120.82,121.09,118.8199,6301551.0,0.0,1.0
2019-10-10,121.33,122.19,120.8,121.94,119.6539,4117890.0,0.0,1.0
2019-10-09,121.81,122.39,121.4299,121.98,119.6932,3789785.0,0.0,1.0
2019-10-08,122.66,122.93,120.88,120.93,118.6629,6193542.0,0.0,1.0
2019-10-07,123.53,123.89,122.68,122.84,120.5371,4783788.0,0.0,1.0
