,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,180.42,180.66,170.74,171.51,171.51,10227435.0,0.0,1.0
2020-07-10,181.63,182.52,177.13,178.4,178.4,7583200.0,0.0,1.0
2020-07-09,183.4,183.99,179.15,183.23,183.23,6340000.0,0.0,1.0
2020-07-08,178.89,182.64,178.5,181.57,181.57,7234400.0,0.0,1.0
2020-07-07,177.69,179.95,176.31,177.28,177.28,5529500.0,0.0,1.0
2020-07-06,180.29,181.24,174.46,176.18,176.18,8360200.0,0.0,1.0
2020-07-02,179.69,179.8,176.72,177.21,177.21,5944556.0,0.0,1.0
2020-07-01,174.625,178.2348,172.56,177.43,177.43,6871374.0,0.0,1.0
2020-06-30,170.7,174.69,169.41,174.23,174.23,6831902.0,0.0,1.0
2020-06-29,171.48,171.48,165.56,168.35,168.35,5423702.0,0.0,1.0
2020-06-26,173.71,173.71,168.6,170.87,170.87,8158658.0,0.0,1.0
2020-06-25,169.0,172.78,168.19,172.5,172.5,6650737.0,0.0,1.0
2020-06-24,170.595,173.48,164.29,168.0,168.0,8931751.0,0.0,1.0
2020-06-23,172.0,175.4,170.4,172.79,172.79,7693874.0,0.0,1.0
2020-06-22,165.58,170.9,165.55,170.26,170.26,7793821.0,0.0,1.0
2020-06-19,170.6,171.12,164.01,164.36,164.36,11332668.0,0.0,1.0
2020-06-18,164.72,168.83,164.31,168.05,168.05,8583734.0,0.0,1.0
2020-06-17,162.84,164.9597,161.66,163.83,163.83,5582620.0,0.0,1.0
2020-06-16,160.19,162.83,158.3,161.22,161.22,6539467.0,0.0,1.0
2020-06-15,152.6404,157.92,152.22,157.55,157.55,5117394.0,0.0,1.0
2020-06-12,157.06,157.21,151.89,155.26,155.26,7038068.0,0.0,1.0
2020-06-11,158.34,159.5,152.915,153.04,153.04,9041718.0,0.0,1.0
2020-06-10,157.6,160.89,157.6,159.91,159.91,5881831.0,0.0,1.0
2020-06-09,155.79,158.21,155.5949,156.86,156.86,7265620.0,0.0,1.0
2020-06-08,154.28,156.21,153.11,156.09,156.09,5494431.0,0.0,1.0
2020-06-05,152.98,156.34,150.0,156.0,156.0,8446143.0,0.0,1.0
2020-06-04,156.7,159.4799,153.635,154.6,154.6,7554487.0,0.0,1.0
2020-06-03,157.49,158.271,155.12,156.78,156.78,6732830.0,0.0,1.0
2020-06-02,156.0,157.6,154.61,157.49,157.49,6344432.0,0.0,1.0
2020-06-01,154.9,155.97,153.05,154.53,154.53,5658288.0,0.0,1.0
2020-05-29,150.5,155.33,148.93,155.01,155.01,10156091.0,0.0,1.0
2020-05-28,144.73,151.945,144.51,148.79,148.79,10050679.0,0.0,1.0
2020-05-27,145.48,146.4,140.02,145.96,145.96,9554775.0,0.0,1.0
2020-05-26,154.12,154.55,146.29,147.0,147.0,10267534.0,0.0,1.0
2020-05-22,148.26,151.0,147.36,150.86,150.86,5724145.0,0.0,1.0
2020-05-21,150.58,150.74,148.04,148.22,148.22,5578930.0,0.0,1.0
2020-05-20,148.0,151.08,147.9,150.94,150.94,7811268.0,0.0,1.0
2020-05-19,146.7497,149.72,145.22,145.39,145.39,7779063.0,0.0,1.0
2020-05-18,148.125,149.18,145.99,146.24,146.24,8580542.0,0.0,1.0
2020-05-15,142.9,145.89,141.63,145.51,145.51,8361165.0,0.0,1.0
2020-05-14,142.07,144.7,141.43,144.41,144.41,9272877.0,0.0,1.0
