,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,30.16,30.17,29.64,29.76,29.76,40961792.0,0.0,1.0
2020-07-10,29.5,30.23,29.45,30.13,30.13,36890200.0,0.0,1.0
2020-07-09,29.87,29.88,29.39,29.54,29.54,39347000.0,0.52,1.0
2020-07-08,30.46,30.55,30.15,30.46,29.93,38860800.0,0.0,1.0
2020-07-07,30.3,30.45,30.23,30.32,29.8,27546300.0,0.0,1.0
2020-07-06,30.54,30.6,30.24,30.49,29.96,33698300.0,0.0,1.0
2020-07-02,30.11,30.5,30.02,30.08,29.56,37702800.0,0.0,1.0
2020-07-01,30.13,30.48,29.85,29.9,29.38,30976200.0,0.0,1.0
2020-06-30,30.01,30.34,29.71,30.23,29.71,43757900.0,0.0,1.0
2020-06-29,29.33,29.93,29.29,29.91,29.39,37495800.0,0.0,1.0
2020-06-26,29.56,29.56,28.92,29.08,28.58,76550800.0,0.0,1.0
2020-06-25,29.49,29.81,29.21,29.72,29.21,36517700.0,0.0,1.0
2020-06-24,30.03,30.04,29.16,29.42,28.91,65532600.0,0.0,1.0
2020-06-23,30.3,30.68,30.2,30.25,29.73,38886900.0,0.0,1.0
2020-06-22,30.18,30.3,30.0,30.11,29.59,29535200.0,0.0,1.0
2020-06-19,30.69,30.75,29.98,30.31,29.79,74991400.0,0.0,1.0
2020-06-18,30.06,30.41,29.95,30.35,29.82,28334200.0,0.0,1.0
2020-06-17,30.78,30.82,30.21,30.26,29.74,31438400.0,0.0,1.0
2020-06-16,31.42,31.47,30.36,30.78,30.25,41583500.0,0.0,1.0
2020-06-15,29.99,30.65,29.52,30.5,29.97,40215000.0,0.0,1.0
2020-06-12,31.02,31.08,30.01,30.5,29.97,36265800.0,0.0,1.0
2020-06-11,31.2,31.32,30.12,30.17,29.65,49810200.0,0.0,1.0
2020-06-10,32.57,32.62,32.1,32.14,31.58,27240900.0,0.0,1.0
2020-06-09,32.81,32.86,32.35,32.62,32.06,32195700.0,0.0,1.0
2020-06-08,33.0,33.24,32.69,33.23,32.66,34261200.0,0.0,1.0
2020-06-05,32.54,33.0,32.23,32.77,32.2,46689300.0,0.0,1.0
2020-06-04,31.39,31.8,31.28,31.8,31.25,30741200.0,0.0,1.0
2020-06-03,31.3,31.66,31.28,31.51,30.96,27839100.0,0.0,1.0
2020-06-02,31.05,31.1,30.71,30.99,30.45,28424200.0,0.0,1.0
2020-06-01,30.75,31.24,30.6,30.93,30.39,24944700.0,0.0,1.0
2020-05-29,30.55,30.96,30.33,30.86,30.33,43731300.0,0.0,1.0
2020-05-28,32.03,32.07,30.97,31.06,30.52,39676800.0,0.0,1.0
2020-05-27,31.74,31.98,31.53,31.85,31.3,43418200.0,0.0,1.0
2020-05-26,30.64,31.12,30.57,30.82,30.29,41364800.0,0.0,1.0
2020-05-22,29.78,29.91,29.43,29.88,29.36,26629500.0,0.0,1.0
2020-05-21,29.79,30.06,29.53,29.77,29.26,39339600.0,0.0,1.0
2020-05-20,29.27,29.82,29.01,29.59,29.08,37876700.0,0.0,1.0
2020-05-19,29.46,29.52,28.9,28.96,28.46,35194300.0,0.0,1.0
2020-05-18,28.99,29.69,28.93,29.45,28.94,34924500.0,0.0,1.0
2020-05-15,28.28,28.46,28.07,28.31,27.82,32221800.0,0.0,1.0
2020-05-14,27.98,28.6,27.61,28.58,28.09,39808700.0,0.0,1.0
2020-05-13,28.8,28.92,28.0,28.09,27.6,49203000.0,0.0,1.0
2020-05-12,29.51,29.67,28.89,28.89,28.39,35173100.0,0.0,1.0
2020-05-11,29.65,29.65,29.15,29.38,28.87,29206400.0,0.0,1.0
2020-05-08,29.29,29.85,29.21,29.79,29.27,24036200.0,0.0,1.0
2020-05-07,29.17,29.2,28.83,28.89,28.39,31793400.0,0.0,1.0
2020-05-06,29.82,29.87,28.79,28.79,28.29,45061800.0,0.0,1.0
2020-05-05,29.74,30.18,29.72,29.74,29.23,24615200.0,0.0,1.0
2020-05-04,29.75,29.75,29.22,29.6,29.09,35151700.0,0.0,1.0
2020-05-01,30.77,30.79,29.75,29.9,29.38,36837500.0,0.0,1.0
2020-04-30,31.0,31.05,30.28,30.47,29.94,40716100.0,0.0,1.0
2020-04-29,31.13,31.87,31.07,31.43,30.89,33137400.0,0.0,1.0
2020-04-28,31.0,31.12,30.62,30.65,30.12,30905700.0,0.0,1.0
2020-04-27,29.99,30.68,29.74,30.54,30.01,33310800.0,0.0,1.0
2020-04-24,29.59,29.95,29.15,29.71,29.2,35544500.0,0.0,1.0
2020-04-23,29.44,30.05,29.33,29.5,28.99,33981800.0,0.0,1.0
2020-04-22,30.9,30.9,29.31,29.47,28.96,50741200.0,0.0,1.0
2020-04-21,30.51,30.52,29.64,29.87,29.35,43106700.0,0.0,1.0
2020-04-20,30.85,31.42,30.7,30.98,30.44,30552100.0,0.0,1.0
2020-04-17,30.85,31.25,30.7,31.23,30.69,34635500.0,0.0,1.0
2020-04-16,30.28,30.28,29.71,30.16,29.64,32388900.0,0.0,1.0
2020-04-15,30.63,30.96,29.96,30.09,29.57,37495600.0,0.0,1.0
2020-04-14,30.69,31.16,30.35,31.13,30.59,31918500.0,0.0,1.0
2020-04-13,30.5,30.72,29.9,30.19,29.67,34136600.0,0.0,1.0
2020-04-09,30.0,30.94,29.99,30.73,30.2,50300800.0,0.0,1.0
2020-04-08,29.95,30.0,29.1,29.89,29.37,40560700.0,0.52,1.0
2020-04-07,30.44,30.97,30.07,30.08,29.05,54226600.0,0.0,1.0
2020-04-06,28.4,29.68,28.31,29.44,28.44,53469400.0,0.0,1.0
2020-04-03,28.53,28.74,27.25,27.46,26.52,53402100.0,0.0,1.0
2020-04-02,28.0,28.87,28.0,28.76,27.78,33782100.0,0.0,1.0
2020-04-01,28.38,28.58,27.7,28.05,27.09,54627100.0,0.0,1.0
2020-03-31,30.04,30.13,29.05,29.15,28.16,69735200.0,0.0,1.0
2020-03-30,29.9,30.41,29.48,30.23,29.2,41625400.0,0.0,1.0
2020-03-27,29.69,30.82,29.22,29.84,28.82,46366600.0,0.0,1.0
2020-03-26,28.68,30.96,28.68,30.6,29.56,64032100.0,0.0,1.0
2020-03-25,28.08,29.93,27.37,28.4,27.43,67990900.0,0.0,1.0
2020-03-24,28.0,28.3,26.84,28.09,27.13,76224400.0,0.0,1.0
2020-03-23,27.39,27.71,26.08,26.77,25.86,96760000.0,0.0,1.0
2020-03-20,30.46,30.5,28.18,28.45,27.48,116617000.0,0.0,1.0
2020-03-19,31.36,32.49,30.5,31.15,30.09,60784100.0,0.0,1.0
2020-03-18,32.0,32.91,30.25,32.85,31.73,75959000.0,0.0,1.0
2020-03-17,32.12,34.06,32.01,33.74,32.59,59621400.0,0.0,1.0
2020-03-16,31.0,33.89,30.92,31.81,30.73,58743500.0,0.0,1.0
2020-03-13,32.92,34.61,31.86,34.47,33.29,64612400.0,0.0,1.0
2020-03-12,31.86,33.43,31.06,31.33,30.26,83597900.0,0.0,1.0
2020-03-11,34.85,35.07,34.16,34.52,33.34,45294900.0,0.0,1.0
2020-03-10,35.51,35.89,34.24,35.85,34.63,56620000.0,0.0,1.0
2020-03-09,35.01,36.15,34.38,34.69,33.51,67883200.0,0.0,1.0
2020-03-06,36.71,37.25,36.18,37.03,35.77,48871700.0,0.0,1.0
2020-03-05,37.4,37.92,36.97,37.18,35.91,45289300.0,0.0,1.0
2020-03-04,37.02,38.22,36.72,38.18,36.88,42063600.0,0.0,1.0
2020-03-03,37.26,37.96,35.87,36.3,35.06,63790800.0,0.0,1.0
2020-03-02,35.37,37.42,35.29,37.18,35.91,68404200.0,0.0,1.0
2020-02-28,34.0,35.72,33.01,35.22,34.02,120896800.0,0.0,1.0
2020-02-27,36.58,36.91,35.36,35.73,34.51,66289200.0,0.0,1.0
2020-02-26,37.19,37.78,36.92,37.1,35.83,40261400.0,0.0,1.0
2020-02-25,38.11,38.28,37.26,37.35,36.08,48855300.0,0.0,1.0
2020-02-24,37.99,38.51,37.98,38.05,36.75,34875600.0,0.0,1.0
2020-02-21,38.52,38.68,38.37,38.55,37.24,28464900.0,0.0,1.0
2020-02-20,38.4,38.67,38.31,38.61,37.29,27168200.0,0.0,1.0
2020-02-19,38.24,38.65,38.16,38.44,37.13,22598400.0,0.0,1.0
2020-02-18,38.18,38.32,38.04,38.26,36.96,24273900.0,0.0,1.0
2020-02-14,38.28,38.47,38.11,38.25,36.95,27386000.0,0.0,1.0
2020-02-13,37.88,38.43,37.85,38.31,37.0,24619700.0,0.0,1.0
2020-02-12,38.19,38.33,38.02,38.04,36.74,31288400.0,0.0,1.0
2020-02-11,38.49,38.82,37.9,38.17,36.87,31973700.0,0.0,1.0
2020-02-10,38.42,38.54,38.1,38.34,37.03,18239100.0,0.0,1.0
2020-02-07,38.45,38.72,38.36,38.45,37.14,25194900.0,0.0,1.0
2020-02-06,37.86,38.48,37.86,38.44,37.13,26208800.0,0.0,1.0
2020-02-05,37.73,37.95,37.52,37.81,36.52,24624100.0,0.0,1.0
2020-02-04,37.08,37.74,36.94,37.63,36.35,31956300.0,0.0,1.0
2020-02-03,37.96,37.97,36.8,36.96,35.7,40779800.0,0.0,1.0
2020-01-31,37.32,37.76,37.25,37.62,36.34,41149700.0,0.0,1.0
2020-01-30,36.47,37.45,36.32,37.43,36.15,50674300.0,0.0,1.0
2020-01-29,38.5,38.56,37.03,37.05,35.79,57950700.0,0.0,1.0
2020-01-28,38.32,38.8,38.27,38.58,37.26,30835400.0,0.0,1.0
2020-01-27,38.02,38.57,38.01,38.25,36.95,35217700.0,0.0,1.0
2020-01-24,38.6,38.78,38.23,38.5,37.19,34459300.0,0.0,1.0
2020-01-23,38.96,38.99,38.55,38.63,37.31,28997700.0,0.0,1.0
2020-01-22,38.68,39.14,38.64,39.04,37.71,36111000.0,0.0,1.0
2020-01-21,38.35,38.64,38.18,38.52,37.21,43746700.0,0.0,1.0
2020-01-17,38.05,38.44,37.98,38.38,37.07,33590400.0,0.0,1.0
2020-01-16,37.99,38.13,37.77,38.03,36.73,27316800.0,0.0,1.0
2020-01-15,37.97,38.03,37.79,37.87,36.58,26074000.0,0.0,1.0
2020-01-14,38.06,38.19,37.95,38.09,36.79,26532200.0,0.0,1.0
2020-01-13,38.54,38.55,38.02,38.1,36.8,33066100.0,0.0,1.0
2020-01-10,38.81,38.95,38.57,38.57,37.25,29719900.0,0.0,1.0
2020-01-09,38.92,39.0,38.55,38.8,37.48,39446800.0,0.52,1.0
2020-01-08,39.33,39.55,39.29,39.37,37.52,40514400.0,0.0,1.0
2020-01-07,39.08,39.3,38.98,39.25,37.41,28201900.0,0.0,1.0
