,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,132.0,133.59,128.49,128.82,128.82,4790800.0,0.0,1.0
2020-07-10,130.22,131.24,128.96,130.53,130.53,2659300.0,0.0,1.0
2020-07-09,128.79,131.99,126.9,130.43,130.43,4977400.0,0.0,1.0
2020-07-08,129.67,129.74,127.69,129.26,129.26,3584300.0,0.0,1.0
2020-07-07,128.73,129.47,128.25,128.6,128.6,3778500.0,0.0,1.0
2020-07-06,127.51,130.53,126.2,129.53,129.53,4957000.0,0.0,1.0
2020-07-02,126.39,127.17,125.02,125.81,125.81,4799700.0,0.0,1.0
2020-07-01,126.6,126.86,124.67,124.8,124.8,4023800.0,0.0,1.0
2020-06-30,124.4,127.7,124.35,126.97,126.97,5572400.0,0.0,1.0
2020-06-29,123.85,124.95,122.42,124.77,124.77,3540100.0,0.0,1.0
2020-06-26,124.8908,124.8908,122.3965,123.37,123.37,9870946.0,0.0,1.0
2020-06-25,124.0,125.34,122.35,125.06,125.06,2617173.0,0.0,1.0
2020-06-24,125.29,126.8,123.13,123.99,123.99,4747121.0,0.0,1.0
2020-06-23,126.63,128.095,126.0,126.62,126.62,4679048.0,0.0,1.0
2020-06-22,124.77,125.46,123.11,125.23,125.23,3677664.0,0.0,1.0
2020-06-19,128.06,128.24,123.97,124.885,124.885,10376887.0,0.0,1.0
2020-06-18,125.73,126.63,125.09,125.98,125.98,3062581.0,0.0,1.0
2020-06-17,127.06,127.865,125.79,126.22,126.22,2934184.0,0.0,1.0
2020-06-16,128.27,129.13,124.475,126.11,126.11,3529595.0,0.0,1.0
2020-06-15,121.57,124.53,120.8,124.23,124.23,5152867.0,0.0,1.0
2020-06-12,127.266,127.74,122.4,123.97,123.97,5950875.0,0.0,1.0
2020-06-11,129.05,129.2208,124.33,124.61,124.61,6014011.0,0.0,1.0
2020-06-10,132.45,132.79,130.99,131.4,131.4,4005725.0,0.0,1.0
2020-06-09,131.35,132.91,130.15,132.12,132.12,4449968.0,0.0,1.0
2020-06-08,130.66,133.285,129.63,132.86,132.86,5602583.0,0.0,1.0
2020-06-05,130.96,135.68,130.55,131.44,131.44,7788781.0,0.0,1.0
2020-06-04,126.38,129.0,126.29,128.58,128.58,5052550.0,0.0,1.0
2020-06-03,126.67,128.47,125.64,127.21,127.21,7650633.0,0.0,1.0
2020-06-02,118.6,122.93,117.84,122.67,122.67,7277681.0,0.0,1.0
2020-06-01,117.77,118.4,116.83,117.86,117.86,2842695.0,0.0,1.0
2020-05-29,116.81,119.26,115.66,118.74,118.74,5953578.0,0.0,1.0
2020-05-28,117.76,118.69,115.51,115.87,115.87,3798358.0,0.0,1.0
2020-05-27,116.43,117.97,115.54,117.82,117.82,4079439.0,0.0,1.0
2020-05-26,115.81,117.61,115.51,115.73,115.73,4822042.0,0.0,1.0
2020-05-22,113.53,113.87,112.32,113.43,113.43,3061595.0,0.0,1.0
2020-05-21,116.44,117.33,113.38,113.46,113.46,4361476.0,0.0,1.0
2020-05-20,115.14,118.83,114.64,117.48,117.48,4961617.0,0.0,1.0
2020-05-19,114.02,115.34,112.53,112.68,112.68,4595070.0,0.0,1.0
2020-05-18,111.1829,115.15,110.26,114.42,114.42,6527364.0,0.0,1.0
2020-05-15,106.54,108.37,105.45,108.24,108.24,7237711.0,0.0,1.0
2020-05-14,109.0,110.44,106.42,110.35,110.35,4396124.0,0.0,1.0
2020-05-13,112.92,112.92,107.38,109.07,109.07,4653232.0,0.0,1.0
2020-05-12,115.14,115.87,111.34,111.69,111.69,3547084.0,0.0,1.0
2020-05-11,113.41,115.77,113.41,114.88,114.88,2723621.0,0.0,1.0
2020-05-08,113.96,115.54,112.75,115.0,115.0,4331296.0,0.0,1.0
2020-05-07,113.89,114.93,112.62,113.65,113.65,3610293.0,0.0,1.0
2020-05-06,112.4,113.85,111.98,112.42,112.42,3701441.0,0.0,1.0
2020-05-05,111.5,113.19,110.8,111.54,111.54,5242554.0,0.0,1.0
2020-05-04,108.92,110.66,107.84,110.5,110.5,4987070.0,0.0,1.0
2020-05-01,112.38,113.25,109.45,109.71,109.71,5839885.0,0.9,1.0
2020-04-30,117.75,117.99,115.19,116.07,115.1256,5781032.0,0.0,1.0
2020-04-29,115.93,119.68,115.87,119.4,118.4285,4936870.0,0.0,1.0
2020-04-28,118.12,119.805,114.07,114.24,113.3105,5762275.0,0.0,1.0
2020-04-27,114.0,116.24,113.02,115.78,114.8379,4728247.0,0.0,1.0
2020-04-24,111.35,114.0,111.04,113.93,113.003,5570209.0,0.0,1.0
2020-04-23,111.74,113.9,110.18,110.46,109.5612,5374254.0,0.0,1.0
2020-04-22,109.68,112.46,108.61,111.98,111.0689,10961262.0,0.0,1.0
2020-04-21,110.2,110.75,106.5,106.84,105.9707,8799824.0,0.0,1.0
2020-04-20,111.52,115.12,111.3,111.53,110.6225,7957252.0,0.0,1.0
2020-04-17,111.61,114.06,110.73,113.55,112.6261,6100164.0,0.0,1.0
2020-04-16,109.42,111.91,107.81,111.39,110.4837,5777685.0,0.0,1.0
2020-04-15,109.08,109.14,106.76,107.98,107.1014,5381347.0,0.0,1.0
