,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,292.09,304.52,291.77,299.71,299.71,4262090.0,0.0,1.0
2020-07-10,294.24,294.24,287.1,291.23,291.23,2391600.0,0.0,1.0
2020-07-09,295.1,298.55,287.5,291.16,291.16,3061000.0,0.0,1.0
2020-07-08,297.35,300.87,295.68,298.36,298.36,1986600.0,0.0,1.0
2020-07-07,300.66,303.56,295.95,296.65,296.65,2075300.0,0.0,1.0
2020-07-06,303.0,303.49,299.33,302.81,302.81,2394500.0,0.0,1.0
2020-07-02,300.5,303.08,297.1783,298.26,298.26,1971686.0,0.0,1.0
2020-07-01,295.83,300.4,295.24,297.73,297.73,2306448.0,0.0,1.0
2020-06-30,288.57,296.45,287.66,294.95,294.95,2931403.0,0.0,1.0
2020-06-29,288.45,292.28,286.615,289.76,289.76,2355324.0,0.0,1.0
2020-06-26,295.14,296.58,285.82,286.88,286.88,5043217.0,0.0,1.0
2020-06-25,288.28,296.78,286.06,296.22,296.22,3111352.0,0.0,1.0
2020-06-24,293.99,297.1,285.57,289.18,289.18,3398554.0,0.0,1.0
2020-06-23,294.01,299.28,291.07,297.6,297.6,4023359.0,0.0,1.0
2020-06-22,289.79,293.0,286.26,292.67,292.67,2170290.0,0.0,1.0
2020-06-19,294.43,296.52,290.91,291.24,291.24,5172840.0,1.25,1.0
2020-06-18,290.43,291.78,286.6,291.48,290.2343,2922872.0,0.0,1.0
2020-06-17,295.1,295.1,291.23,292.6,291.3495,2537809.0,0.0,1.0
2020-06-16,295.44,297.565,287.44,293.0,291.7478,4245320.0,0.0,1.0
2020-06-15,278.02,287.0,273.71,286.28,285.0565,4494376.0,0.0,1.0
2020-06-12,290.65,294.1,278.7,285.15,283.9314,5416185.0,0.0,1.0
2020-06-11,303.36,303.36,280.8,283.73,282.5174,6637443.0,0.0,1.0
2020-06-10,308.94,310.31,302.86,305.75,304.4433,3293695.0,0.0,1.0
2020-06-09,309.9,312.655,307.33,309.21,307.8885,3061520.0,0.0,1.0
2020-06-08,308.64,315.84,307.93,309.48,308.1574,4633521.0,0.0,1.0
2020-06-05,304.0,314.2825,300.5,311.85,310.5173,5553228.0,0.0,1.0
2020-06-04,303.18,304.47,294.2944,298.08,296.8061,4373644.0,0.0,1.0
2020-06-03,307.85,310.12,302.74,305.35,304.045,4360043.0,0.0,1.0
2020-06-02,305.58,308.1,301.73,306.31,305.0009,2756763.0,0.0,1.0
2020-06-01,304.02,305.98,300.563,305.93,304.6226,2893945.0,0.0,1.0
2020-05-29,304.72,308.37,300.85,304.85,303.5472,6251466.0,0.0,1.0
2020-05-28,305.95,309.66,303.29,303.97,302.6709,4387457.0,0.0,1.0
2020-05-27,297.42,303.8,290.8,303.77,302.4718,5617624.0,0.0,1.0
2020-05-26,296.5,297.03,292.5,294.89,293.6297,4567935.0,0.0,1.0
2020-05-22,287.3,290.24,284.7938,289.94,288.7009,2922192.0,0.0,1.0
2020-05-21,286.04,290.13,284.9301,286.91,285.6838,3604782.0,0.0,1.0
2020-05-20,292.9,292.9,286.7,287.99,286.7592,3199609.0,0.0,1.0
2020-05-19,290.74,294.63,288.88,289.05,287.8147,3058582.0,0.0,1.0
2020-05-18,298.48,299.72,292.02,293.36,292.1063,4014769.0,0.0,1.0
2020-05-15,292.41,300.0,290.72,290.96,289.7165,12182186.0,0.0,1.0
2020-05-14,275.93,292.449,275.64,290.61,289.368,5704273.0,0.0,1.0
2020-05-13,284.49,286.4,275.56,278.0,276.8119,5472173.0,0.0,1.0
2020-05-12,291.77,293.15,287.7,287.7,286.4705,4211716.0,0.0,1.0
2020-05-11,285.56,290.1032,285.255,288.69,287.4562,3490697.0,0.0,1.0
2020-05-08,289.49,290.0,285.66,287.0,285.7735,3199949.0,0.0,1.0
2020-05-07,291.06,292.29,284.516,285.0,283.782,3162328.0,0.0,1.0
2020-05-06,295.1,297.68,288.44,288.77,287.5359,2578448.0,0.0,1.0
2020-05-05,289.96,296.0,287.29,293.04,291.7876,2500455.0,0.0,1.0
2020-05-04,284.49,287.94,282.11,287.54,286.3112,2894192.0,0.0,1.0
2020-05-01,288.39,289.0,279.6,284.51,283.2941,3526099.0,0.0,1.0
2020-04-30,286.65,295.0,285.52,292.47,291.2201,7629191.0,0.0,1.0
2020-04-29,292.0,292.75,286.1,287.65,286.4207,4254069.0,0.0,1.0
2020-04-28,298.0,298.25,285.62,288.36,287.1277,3861362.0,0.0,1.0
2020-04-27,293.21,296.86,290.63,293.98,292.7236,3705579.0,0.0,1.0
2020-04-24,287.29,291.9,284.0,291.29,290.0451,3264950.0,0.0,1.0
2020-04-23,279.06,288.46,278.54,285.33,284.1106,4417842.0,0.0,1.0
2020-04-22,279.58,283.82,276.71,277.02,275.8361,3663332.0,0.0,1.0
2020-04-21,274.95,280.0,273.25,274.19,273.0182,3975331.0,0.0,1.0
2020-04-20,285.3,289.0086,281.27,282.14,280.9342,4071143.0,0.0,1.0
2020-04-17,300.99,304.0,287.1,290.56,289.3182,5856978.0,0.0,1.0
2020-04-16,283.44,300.0,280.01,298.43,297.1546,7735550.0,0.0,1.0
2020-04-15,276.33,282.99,270.68,281.68,280.4762,7839788.0,0.0,1.0
2020-04-14,269.0,273.07,267.0001,270.5,269.344,4772207.0,0.0,1.0
2020-04-13,262.06,264.96,258.18,263.51,262.3839,2964686.0,0.0,1.0
2020-04-09,265.0,270.4,261.6,264.13,263.0012,4922000.0,0.0,1.0
2020-04-08,247.69,269.16,246.26,267.83,266.6854,6385882.0,0.0,1.0
2020-04-07,259.81,266.71,246.54,248.04,246.98,4982587.0,0.0,1.0
2020-04-06,240.0,249.29,235.12,248.34,247.2787,6365311.0,0.0,1.0
2020-04-03,238.32,239.337,227.27,229.49,228.5092,4649266.0,0.0,1.0
2020-04-02,235.3,242.0,226.03,240.44,239.4124,4336650.0,0.0,1.0
2020-04-01,238.69,246.605,235.44,237.32,236.3058,4546746.0,0.0,1.0
2020-03-31,243.48,254.5297,243.0,249.38,248.3142,5449215.0,0.0,1.0
2020-03-30,242.64,254.09,242.64,251.28,250.2061,5327921.0,0.0,1.0
2020-03-27,242.94,251.6,238.24,242.45,241.4139,4879463.0,0.0,1.0
2020-03-26,234.03,257.96,232.3,255.39,254.2986,7517518.0,0.0,1.0
2020-03-25,219.09,247.51,216.0,234.49,233.4879,10012757.0,0.0,1.0
2020-03-24,202.14,220.27,199.0,219.8,218.8607,8885537.0,0.0,1.0
2020-03-23,202.04,205.75,187.72,194.86,194.0272,10651402.0,0.0,1.0
2020-03-20,223.18,232.64,203.46,206.59,205.7071,9362637.0,0.0,1.0
2020-03-19,216.98,226.12,208.9425,219.8,218.8607,8062892.0,0.0,1.0
2020-03-18,225.75,231.45,200.19,217.06,216.1324,12655441.0,0.0,1.0
2020-03-17,230.82,248.76,228.2901,244.22,243.1763,9640576.0,0.0,1.0
2020-03-16,243.92,245.68,223.95,225.04,224.0783,10294054.0,0.0,1.0
2020-03-13,260.99,273.22,242.27,272.04,270.8774,9302268.0,1.08,1.0
2020-03-12,260.0,272.23,250.0,250.41,248.3539,10361301.0,0.0,1.0
2020-03-11,274.76,285.24,273.26,277.78,275.4991,7724616.0,0.0,1.0
2020-03-10,279.72,283.9,272.5,280.0,277.7009,7363915.0,0.0,1.0
2020-03-09,264.465,281.44,259.24,273.44,271.1948,8057145.0,0.0,1.0
2020-03-06,275.42,284.97,271.9,283.87,281.5391,5361322.0,0.0,1.0
2020-03-05,281.6,289.42,279.94,282.96,280.6366,5907644.0,0.0,1.0
