,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,193.61,195.19,188.7,189.02,189.02,8557965.0,0.0,1.0
2020-07-10,191.65,192.82,189.44,192.55,192.55,7671600.0,0.0,1.0
2020-07-09,195.0,195.49,189.95,192.21,192.21,8545200.0,0.0,1.0
2020-07-08,195.08,195.52,193.12,195.07,195.07,8366100.0,0.0,1.0
2020-07-07,196.81,198.9,193.81,194.2,194.2,7659700.0,0.0,1.0
2020-07-06,198.73,199.18,195.68,197.76,197.76,7288100.0,0.0,1.0
2020-07-02,196.0,197.9164,195.0,195.67,195.67,6296321.0,0.0,1.0
2020-07-01,193.85,195.35,192.6592,193.78,193.78,6395503.0,0.0,1.0
2020-06-30,191.49,193.75,190.16,193.17,193.17,9038173.0,0.0,1.0
2020-06-29,189.91,191.45,187.3001,191.38,191.38,8018451.0,0.0,1.0
2020-06-26,193.1,194.125,189.08,189.27,189.27,11831320.0,0.0,1.0
2020-06-25,191.1,194.24,189.9,193.98,193.98,9932334.0,0.0,1.0
2020-06-24,197.02,197.48,190.69,191.41,191.41,9434593.0,0.0,1.0
2020-06-23,196.25,200.1499,195.82,197.97,197.97,9858094.0,0.0,1.0
2020-06-22,191.99,196.36,191.29,194.96,194.96,6670968.0,0.0,1.0
2020-06-19,196.89,197.1,191.37,192.2,192.2,11473377.0,0.0,1.0
2020-06-18,192.6,194.25,192.11,193.91,193.91,5801324.0,0.0,1.0
2020-06-17,193.66,195.37,193.06,193.56,193.56,5962474.0,0.0,1.0
2020-06-16,196.86,198.38,191.795,192.88,192.88,11045642.0,0.0,1.0
2020-06-15,187.0,192.484,186.21,191.76,191.76,6752298.0,0.0,1.0
2020-06-12,194.21,195.0,187.85,192.26,192.26,11700070.0,0.0,1.0
2020-06-11,195.14,196.36,188.75,188.88,188.88,11968519.0,0.0,1.0
2020-06-10,199.9,202.18,198.95,200.48,200.48,8370093.0,0.0,1.0
2020-06-09,198.36,201.67,198.24,199.08,199.08,6889059.0,0.0,1.0
2020-06-08,199.58,199.96,197.13,199.6,199.6,7623097.0,0.0,1.0
2020-06-05,196.2,199.77,195.475,199.61,199.61,8558113.0,0.0,1.0
2020-06-04,195.98,196.46,193.12,193.64,193.64,7826908.0,0.0,1.0
2020-06-03,198.0,198.14,195.57,196.87,196.87,8877680.0,0.0,1.0
2020-06-02,195.94,197.52,194.92,196.36,196.36,8457672.0,0.0,1.0
2020-06-01,194.71,195.88,193.52,194.35,194.35,6011214.0,0.0,1.0
2020-05-29,194.5,196.74,193.28,195.24,195.24,10211737.0,0.0,1.0
2020-05-28,193.54,198.29,192.7101,194.26,194.26,8351749.0,0.0,1.0
2020-05-27,194.31,194.31,188.52,192.82,192.82,7647759.0,0.0,1.0
2020-05-26,195.8,196.27,192.76,193.22,193.22,9660885.0,0.0,1.0
2020-05-22,191.0,191.37,189.23,190.86,190.86,5606143.0,0.0,1.0
2020-05-21,193.5,193.616,190.02,190.62,190.62,11333071.0,0.0,1.0
2020-05-20,193.0,194.99,192.41,193.86,193.86,9543409.0,0.0,1.0
2020-05-19,191.14,194.5,189.23,189.36,189.36,7444676.0,0.0,1.0
2020-05-18,188.0,192.83,187.4708,191.38,191.38,11801730.0,0.0,1.0
2020-05-15,179.98,184.14,178.87,183.49,183.49,10782119.0,0.0,1.0
2020-05-14,175.94,181.05,173.82,180.9,180.9,9691904.0,0.0,1.0
2020-05-13,178.5,181.09,175.039,177.09,177.09,13367687.0,0.3,1.0
2020-05-12,183.56,183.99,179.37,179.47,179.1665,8203242.0,0.0,1.0
2020-05-11,183.87,184.62,181.43,183.56,183.2496,8679845.0,0.0,1.0
2020-05-08,185.03,185.75,183.62,185.09,184.777,6469771.0,0.0,1.0
2020-05-07,181.75,184.98,181.71,182.72,182.411,9248909.0,0.0,1.0
2020-05-06,179.72,180.51,177.88,178.78,178.4776,8537276.0,0.0,1.0
2020-05-05,179.09,181.102,178.26,178.44,178.1382,13511634.0,0.0,1.0
2020-05-04,172.95,176.94,171.72,176.15,175.8521,9384871.0,0.0,1.0
2020-05-01,174.45,179.64,174.27,175.57,175.2731,10106699.0,0.0,1.0
2020-04-30,181.78,181.83,177.655,178.72,178.4178,11290991.0,0.0,1.0
2020-04-29,176.85,182.25,176.1,181.79,181.4826,12842669.0,0.0,1.0
2020-04-28,175.0,175.01,170.3848,171.25,170.9604,8611407.0,0.0,1.0
2020-04-27,168.65,172.35,168.55,171.76,171.4695,9892471.0,0.0,1.0
2020-04-24,168.44,168.75,164.01,167.32,167.037,8391222.0,0.0,1.0
2020-04-23,167.88,170.41,166.21,166.38,166.0986,11400677.0,0.0,1.0
2020-04-22,164.66,167.7,162.92,166.59,166.3083,14502074.0,0.0,1.0
2020-04-21,162.0,162.57,159.15,160.53,160.2585,10552912.0,0.0,1.0
2020-04-20,167.33,167.43,163.2,164.22,163.9423,10496461.0,0.0,1.0
2020-04-17,169.65,170.989,164.95,169.54,169.2533,15369745.0,0.0,1.0
2020-04-16,167.11,168.0,159.8,162.42,162.1453,20211894.0,0.0,1.0
2020-04-15,168.7,169.36,164.95,165.96,165.6793,12101328.0,0.0,1.0
2020-04-14,173.09,175.43,170.83,174.62,174.3247,9969437.0,0.0,1.0
2020-04-13,172.26,172.32,166.15,168.99,168.7042,14035182.0,0.0,1.0
2020-04-09,176.27,177.19,172.85,173.69,173.3963,12224980.0,0.0,1.0
2020-04-08,171.01,176.0,167.9303,174.94,174.6441,11142029.0,0.0,1.0
2020-04-07,177.76,178.7996,168.1,168.59,168.3049,15372055.0,0.0,1.0
2020-04-06,159.94,170.73,158.25,169.44,169.1534,16464574.0,0.0,1.0
2020-04-03,155.56,157.72,150.6,151.85,151.5932,11988426.0,0.0,1.0
2020-04-02,152.53,158.35,151.29,157.39,157.1238,14046678.0,0.0,1.0
