,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,54.75,54.765,54.14,54.45,54.45,15281278.0,0.0,1.0
2020-07-10,53.84,54.58,53.84,54.49,54.49,15650800.0,0.0,1.0
2020-07-09,54.65,54.65,53.75,53.94,53.94,17614900.0,0.615,1.0
2020-07-08,55.11,55.44,54.82,55.38,54.76,15312900.0,0.0,1.0
2020-07-07,54.92,55.33,54.8,55.04,54.42,13313600.0,0.0,1.0
2020-07-06,55.35,55.43,54.91,55.24,54.62,11225700.0,0.0,1.0
2020-07-02,55.05,55.41,54.74,54.79,54.17,15807300.0,0.0,1.0
2020-07-01,55.09,55.33,54.58,54.67,54.05,12841200.0,0.0,1.0
2020-06-30,54.92,55.29,54.36,55.13,54.51,17413000.0,0.0,1.0
2020-06-29,53.31,54.71,53.31,54.69,54.07,15920800.0,0.0,1.0
2020-06-26,54.04,54.06,52.85,53.16,52.56,30204000.0,0.0,1.0
2020-06-25,53.91,54.39,53.34,54.28,53.67,17118400.0,0.0,1.0
2020-06-24,54.54,54.56,53.46,53.93,53.32,24787000.0,0.0,1.0
2020-06-23,55.75,55.85,54.91,54.94,54.32,20709000.0,0.0,1.0
2020-06-22,55.91,56.26,55.61,55.66,55.03,12320700.0,0.0,1.0
2020-06-19,57.35,57.47,56.0,56.16,55.53,28868200.0,0.0,1.0
2020-06-18,56.5,56.96,56.37,56.89,56.25,9012400.0,0.0,1.0
2020-06-17,57.14,57.17,56.51,56.65,56.01,10649800.0,0.0,1.0
2020-06-16,56.83,57.32,56.24,56.92,56.28,15020700.0,0.0,1.0
2020-06-15,55.73,56.54,55.28,56.15,55.52,14826600.0,0.0,1.0
2020-06-12,56.63,56.81,55.79,56.53,55.89,17128900.0,0.0,1.0
2020-06-11,57.48,57.94,56.4,56.45,55.81,23404700.0,0.0,1.0
2020-06-10,57.9,58.23,57.7,58.05,57.4,13615700.0,0.0,1.0
2020-06-09,57.75,58.13,57.37,57.86,57.21,14526900.0,0.0,1.0
2020-06-08,57.65,58.2,57.27,58.09,57.44,14953800.0,0.0,1.0
2020-06-05,57.75,58.12,57.08,57.74,57.09,17102300.0,0.0,1.0
2020-06-04,56.74,57.37,56.51,57.22,56.57,16144400.0,0.0,1.0
2020-06-03,56.52,56.98,56.3,56.83,56.19,16082600.0,0.0,1.0
2020-06-02,55.82,56.46,55.54,56.4,55.76,17293400.0,0.0,1.0
2020-06-01,56.7,56.9,55.75,55.78,55.15,18155800.0,0.0,1.0
2020-05-29,55.33,57.79,54.89,57.38,56.73,34226200.0,0.0,1.0
2020-05-28,55.58,55.79,55.16,55.72,55.09,15427200.0,0.0,1.0
2020-05-27,54.61,55.22,54.43,55.14,54.52,17062400.0,0.0,1.0
2020-05-26,54.9,55.25,54.18,54.3,53.69,20824000.0,0.0,1.0
2020-05-22,53.96,54.29,53.67,54.1,53.49,19954800.0,0.0,1.0
2020-05-21,54.43,54.64,53.86,53.97,53.36,18192700.0,0.0,1.0
2020-05-20,54.54,54.9,54.05,54.26,53.65,21348600.0,0.0,1.0
2020-05-19,55.43,55.55,54.32,54.38,53.77,18459300.0,0.0,1.0
2020-05-18,55.65,56.2,55.04,55.72,55.09,15735600.0,0.0,1.0
2020-05-15,54.63,54.76,54.21,54.71,54.09,10172500.0,0.0,1.0
2020-05-14,54.5,54.93,53.85,54.91,54.29,15852200.0,0.0,1.0
2020-05-13,55.16,55.55,54.56,54.85,54.23,20601300.0,0.0,1.0
2020-05-12,56.75,56.75,55.45,55.46,54.83,13112800.0,0.0,1.0
2020-05-11,56.87,56.91,56.24,56.4,55.76,12635700.0,0.0,1.0
2020-05-08,56.22,57.03,56.03,57.0,56.36,11097900.0,0.0,1.0
2020-05-07,56.1,56.15,55.18,55.58,54.95,14082900.0,0.0,1.0
2020-05-06,56.36,56.66,55.54,55.64,55.01,12455000.0,0.0,1.0
2020-05-05,56.0,56.94,56.0,56.51,55.87,10901000.0,0.0,1.0
2020-05-04,56.85,57.03,55.8,56.24,55.61,11827900.0,0.0,1.0
2020-05-01,57.76,57.79,56.53,56.83,56.19,13855000.0,0.0,1.0
2020-04-30,57.83,57.96,57.21,57.45,56.8,17527200.0,0.0,1.0
2020-04-29,58.38,58.6,57.7,58.12,57.46,17813900.0,0.0,1.0
2020-04-28,57.82,58.38,57.62,57.83,57.18,13390300.0,0.0,1.0
2020-04-27,57.93,58.29,57.2,57.81,57.16,16048500.0,0.0,1.0
2020-04-24,57.64,57.99,56.83,57.93,57.28,15371000.0,0.0,1.0
2020-04-23,58.12,58.66,57.47,57.59,56.94,15679000.0,0.0,1.0
2020-04-22,57.41,58.57,57.23,57.99,57.34,12699900.0,0.0,1.0
2020-04-21,57.39,58.04,56.72,56.82,56.18,14227300.0,0.0,1.0
2020-04-20,58.1,58.91,57.96,58.13,57.47,14000500.0,0.0,1.0
2020-04-17,58.06,58.68,57.74,58.46,57.8,15047600.0,0.0,1.0
