,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,131.33,133.63,128.89,129.52,129.52,14105496.0,0.0,1.0
2020-07-10,128.74,131.37,127.26,130.68,130.68,14738600.0,0.0,1.0
2020-07-09,125.61,128.18,124.95,127.75,127.75,14231500.0,0.0,1.0
2020-07-08,128.0,128.13,124.4,124.44,124.44,17350200.0,0.0,1.0
2020-07-07,118.45,127.55,118.22,126.95,126.95,31078600.0,0.0,1.0
2020-07-06,119.8,119.87,118.22,118.89,118.89,7225500.0,0.0,1.0
2020-07-02,120.09,120.88,118.86,119.21,119.21,5892639.0,0.0,1.0
2020-07-01,119.45,119.92,118.66,119.69,119.69,6579844.0,0.0,1.0
2020-06-30,119.22,120.13,118.54,119.78,119.78,6834631.0,0.0,1.0
2020-06-29,118.5,119.68,118.215,119.06,119.06,5494442.0,0.0,1.0
2020-06-26,119.6,120.84,118.02,118.32,118.32,8993309.0,0.0,1.0
2020-06-25,119.76,120.16,118.38,119.71,119.71,6853555.0,0.0,1.0
2020-06-24,120.74,121.1153,119.58,120.3,120.3,6848178.0,0.0,1.0
2020-06-23,122.75,122.85,120.9606,121.07,121.07,6573083.0,0.0,1.0
2020-06-22,120.97,122.09,120.4,121.68,121.68,9104574.0,0.0,1.0
2020-06-19,118.89,120.3,117.75,119.85,119.85,13359428.0,0.0,1.0
2020-06-18,118.54,119.06,117.66,117.99,117.99,6684980.0,0.0,1.0
2020-06-17,119.86,120.13,118.4,119.03,119.03,6714841.0,0.0,1.0
2020-06-16,119.8,120.2299,118.54,119.65,119.65,8388944.0,0.0,1.0
2020-06-15,118.4,118.68,117.01,118.08,118.08,10887503.0,0.0,1.0
2020-06-12,120.51,120.75,117.06,117.74,117.74,10780486.0,0.0,1.0
2020-06-11,120.99,122.58,119.48,120.09,120.09,11382043.0,0.0,1.0
2020-06-10,121.56,122.5,121.1301,121.16,121.16,9351067.0,0.0,1.0
2020-06-09,121.6,122.0,120.56,121.35,121.35,6909977.0,0.0,1.0
2020-06-08,119.75,121.24,119.46,121.24,121.24,9442642.0,0.0,1.0
2020-06-05,122.57,122.68,119.91,121.56,121.56,13106357.0,0.0,1.0
2020-06-04,122.8,123.887,121.82,122.11,122.11,7998768.0,0.0,1.0
2020-06-03,123.9,123.99,122.66,123.47,123.47,6747267.0,0.0,1.0
2020-06-02,123.59,124.1525,122.81,123.94,123.94,6392688.0,0.0,1.0
2020-06-01,123.44,124.41,122.36,123.96,123.96,6847773.0,0.0,1.0
2020-05-29,124.24,124.705,121.93,124.06,124.06,9770135.0,0.0,1.0
2020-05-28,123.72,124.95,123.16,123.69,123.69,8141315.0,0.0,1.0
2020-05-27,123.97,124.49,121.03,122.48,122.48,10351764.0,0.0,1.0
2020-05-26,124.34,125.51,123.63,123.86,123.86,7903797.0,0.0,1.0
2020-05-22,125.1,125.35,123.77,124.33,124.33,7450636.0,0.0,1.0
2020-05-21,124.89,126.14,124.25,124.99,124.99,7506494.0,0.0,1.0
2020-05-20,126.49,126.59,124.63,125.45,125.45,10743039.0,0.0,1.0
2020-05-19,131.75,131.99,124.81,124.95,124.95,24887982.0,0.0,1.0
2020-05-18,127.5,128.555,126.1,127.66,127.66,12874143.0,0.0,1.0
2020-05-15,123.47,125.94,123.09,125.94,125.94,10572857.0,0.0,1.0
