,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
2020-07-13,42.98,43.287,42.225,42.66,42.66,20019671.0,0.0,1.0
2020-07-10,41.12,42.71,41.1,42.65,42.65,19025100.0,0.0,1.0
2020-07-09,42.9,43.1,41.29,41.36,41.36,25855300.0,0.0,1.0
2020-07-08,43.15,43.93,42.84,43.14,43.14,18274200.0,0.0,1.0
2020-07-07,43.9,44.0,43.11,43.24,43.24,17395700.0,0.0,1.0
2020-07-06,44.67,45.08,43.84,44.39,44.39,22675900.0,0.0,1.0
2020-07-02,44.62,45.185,43.93,44.08,44.08,18195676.0,0.0,1.0
2020-07-01,44.49,45.38,43.67,43.71,43.71,17286012.0,0.0,1.0
2020-06-30,43.43,44.97,43.16,44.72,44.72,22137425.0,0.0,1.0
2020-06-29,43.81,44.575,43.54,44.32,44.32,17035902.0,0.0,1.0
2020-06-26,44.88,44.94,43.5,43.62,43.62,31499943.0,0.0,1.0
2020-06-25,44.05,45.24,43.69,45.17,45.17,19341190.0,0.0,1.0
2020-06-24,45.91,45.96,44.25,44.5,44.5,27600359.0,0.0,1.0
2020-06-23,46.9,47.22,46.5,46.7,46.7,18909040.0,0.0,1.0
2020-06-22,45.69,46.44,45.4,46.42,46.42,17525225.0,0.0,1.0
2020-06-19,48.22,48.26,45.98,45.98,45.98,48884429.0,0.0,1.0
2020-06-18,46.11,47.33,45.77,46.92,46.92,21450189.0,0.0,1.0
2020-06-17,48.0,48.13,46.6,46.63,46.63,19250188.0,0.0,1.0
2020-06-16,49.57,49.75,47.24,48.2,48.2,26182560.0,0.0,1.0
2020-06-15,45.35,47.76,44.75,47.14,47.14,27901804.0,0.0,1.0
2020-06-12,48.04,48.6233,45.905,47.17,47.17,30967104.0,0.0,1.0
2020-06-11,47.53,48.84,46.1,46.18,46.18,39140649.0,0.0,1.0
2020-06-10,53.5,53.5,50.6,50.65,50.65,31082370.0,0.0,1.0
2020-06-09,52.88,53.9699,52.45,53.52,53.52,27259803.0,0.0,1.0
2020-06-08,54.72,55.36,53.46,54.74,54.74,33520524.0,0.0,1.0
2020-06-05,51.65,53.45,51.6,53.08,53.08,41303989.0,0.0,1.0
2020-06-04,48.88,49.145,48.16,49.1,49.1,18719003.0,0.0,1.0
2020-06-03,48.0,49.4,47.95,49.24,49.24,23397616.0,0.0,1.0
2020-06-02,46.86,47.45,46.7474,47.31,47.31,22308069.0,0.0,1.0
2020-06-01,45.32,46.45,44.8,46.28,46.28,19029621.0,0.0,1.0
2020-05-29,44.82,45.69,44.37,45.47,45.47,25874036.0,0.0,1.0
2020-05-28,46.43,46.46,44.93,45.04,45.04,19694827.0,0.0,1.0
2020-05-27,46.66,47.14,45.405,46.24,46.24,20768927.0,0.0,1.0
2020-05-26,45.74,46.3,45.47,45.91,45.91,20348031.0,0.0,1.0
2020-05-22,44.05,44.67,43.45,44.6,44.6,15394716.0,0.0,1.0
2020-05-21,45.44,45.79,44.39,44.56,44.56,19116217.0,0.0,1.0
2020-05-20,44.62,45.58,44.5701,45.37,45.37,19335385.0,0.0,1.0
2020-05-19,45.55,46.63,43.93,43.94,43.94,21756956.0,0.0,1.0
2020-05-18,44.3999,45.58,44.06,45.34,45.34,32024144.0,0.0,1.0
